代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000665	湖北广电	10.06	0.00	影视音像	65741	8.94	--  	--  	68222	50	          1.07	2.99	9.19	9.19	0.324㈢	    21.29	62549400	  0.90	         58.46亿	湖北	8.95	9.17	50761	17460	  2.91	9.19	0	  7.70	
600037	歌华有线	10.05	0.00	影视音像	64882	10.90	--  	--  	306784	346	          2.20	7.70	11.72	11.72	0.393㈢	    22.37	351976064	  2.26	        163.12亿	北京	11.40	11.47	166803	139981	  1.19	11.72	0	  8.93	
300556	丝路视觉	10.00	0.00	软件服务	1111	19.85	--  	--  	119758	390	         19.12	7.68	21.34	21.34	0.360㈢	    44.39	251636400	  2.16	         13.36亿	深圳	20.60	21.01	60169	59588	  1.01	21.34	0	  7.64	
600604	市北高新	9.98	0.00	园区开发	50851	11.88	--  	--  	2454147	472	         18.39	9.48	13.00	13.00	0.031㈢	   318.89	3099451392	  1.42	        173.44亿	上海	12.34	12.63	1308396	1145751	  1.14	13.00	0	  8.86	
002488	金固股份	9.96	0.00	汽车配件	104402	8.50	--  	--  	309618	63	          4.03	1.40	8.61	8.61	0.125㈢	    51.62	266358416	  1.13	         66.19亿	浙江	8.61	8.60	171676	137941	  1.24	8.61	0	  7.60	
601929	吉视传媒	9.84	0.00	影视音像	42908	2.64	--  	--  	1617891	1146	          5.20	5.91	2.79	2.79	0.060㈢	    36.39	445395392	  2.86	         86.79亿	吉林	2.71	2.75	892326	725564	  1.23	2.79	0	  8.72	
300339	润和软件	9.30	0.07	软件服务	322	12.49	--  	13.52	436013	2620	          6.11	8.98	13.60	13.51	0.230㈢	    45.09	575138048	  1.59	         96.41亿	江苏	12.66	13.19	214311	221702	  0.97	13.51	20	  6.94	
300638	广和通	7.91	-1.01	通信设备	23	44.00	--  	46.50	68312	567	         17.12	7.89	47.40	46.50	0.480㈢	    73.16	313722912	  1.20	         18.55亿	深圳	44.18	45.93	31887	36424	  0.88	46.45	213	  5.55	
000503	国新健康	6.97	-0.04	医疗保健	333	20.09	--  	21.32	415544	3091	          4.62	9.08	21.90	21.32	-0.126㈢	--  	878107008	  1.48	        191.63亿	海南	20.39	21.13	197691	217852	  0.91	21.31	465	  4.61	
300020	银江股份	6.58	0.72	软件服务	263	7.96	--  	8.42	353750	4387	          5.63	6.71	8.49	8.42	0.019㈢	   335.03	291571008	  1.46	         52.88亿	浙江	8.10	8.24	164225	189524	  0.87	8.41	1292	  4.22	
000156	华数传媒	5.96	0.09	影视音像	391	10.55	--  	10.68	250282	2182	          1.95	4.47	11.00	10.67	0.337㈢	    23.76	268807840	  1.92	        136.61亿	浙江	10.70	10.74	134064	116218	  1.15	10.67	479	  3.59	
