代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300353	东土科技	10.04	0.00	通信设备	11286	11.03	--  	--  	535813	609	         15.26	9.40	12.06	12.06	0.088㈢	   102.92	631186752	  1.97	         42.34亿	北京	11.26	11.78	277638	258175	  1.08	12.06	0	  7.67	
300491	通合科技	10.02	0.00	电气设备	18745	16.56	--  	--  	69985	67	         12.23	10.02	18.22	18.22	0.022㈢	   611.71	123142280	  1.53	         10.43亿	河北	16.56	17.60	31341	38644	  0.81	18.22	0	  7.66	
600776	东方通信	10.02	0.00	通信设备	68051	27.30	--  	--  	1151946	970	         12.05	11.28	30.42	30.42	0.061㈢	   373.60	3360540928	  0.89	        290.82亿	浙江	27.82	29.17	552184	599762	  0.92	30.42	0	  8.90	
600756	浪潮软件	10.01	0.00	软件服务	54650	20.17	--  	--  	411468	412	         12.70	4.85	21.10	21.10	0.309㈢	    51.17	857275456	  1.80	         68.38亿	山东	21.10	20.83	218839	192628	  1.14	21.10	0	  8.89	
300556	丝路视觉	10.00	0.00	软件服务	1111	19.85	--  	--  	119758	390	         19.12	7.68	21.34	21.34	0.360㈢	    44.39	251636400	  2.16	         13.36亿	深圳	20.60	21.01	60169	59588	  1.01	21.34	0	  7.64	
000711	京蓝科技	9.98	0.00	软件服务	74008	6.05	--  	--  	237667	845	          5.85	9.32	6.61	6.61	0.170㈢	    33.25	154655232	  1.04	         26.86亿	黑龙江	6.05	6.51	170765	66901	  2.55	6.61	0	  7.62	
300070	碧水源	9.97	0.10	环境保护	1543	9.61	--  	10.48	1258299	8844	          6.24	9.13	10.48	10.48	0.182㈢	    43.19	1291084160	  1.90	        211.22亿	北京	9.62	10.26	614239	644060	  0.95	10.47	12904	  7.60	
600629	华建集团	7.10	-0.13	建筑施工	210	13.30	--  	14.49	71407	1314	          1.92	11.09	14.80	14.48	0.481㈢	    22.57	100707400	  1.62	         53.99亿	上海	13.39	14.10	32074	39333	  0.82	14.48	50	  5.98	
002573	清新环境	6.87	0.00	环境保护	3379	8.71	--  	9.33	483336	4388	          4.48	9.85	9.57	9.33	0.458㈢	    15.28	444100640	  1.65	        100.64亿	北京	8.80	9.19	232727	250608	  0.93	9.32	120	  4.51	
002308	威创股份	6.80	-0.67	电脑设备	389	5.58	--  	5.82	776704	7054	          8.61	7.35	5.98	5.81	0.162㈢	    26.97	448492032	  1.79	         52.39亿	广东	5.80	5.77	403509	373194	  1.08	5.81	2765	  4.44	
