代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000722	湖南发展	8.64	-0.12	水力发电	234	7.32	--  	7.92	313570	1389	          6.76	9.60	8.02	7.92	0.169㈢	    35.14	245619120	  1.67	         36.76亿	湖南	7.34	7.83	142819	170750	  0.84	7.91	792	  6.28	
600172	黄河旋风	6.23	0.47	矿物制品	5850	4.02	--  	4.27	1064048	9776	          9.30	7.73	4.33	4.26	0.070㈢	    45.66	443104544	  1.68	         48.76亿	河南	4.02	4.16	486986	577061	  0.84	4.26	2899	  5.11	
600739	辽宁成大	3.86	0.00	商贸代理	213	13.79	--  	14.00	673614	6065	          4.40	6.01	14.60	14.00	0.457㈢	    22.99	951783936	  1.29	        214.16亿	辽宁	13.90	14.13	343364	330250	  1.04	13.99	665	  2.74	
300228	富瑞特装	3.43	0.32	化工机械	1605	6.15	--  	6.33	385190	5211	          9.49	6.54	6.55	6.33	-0.084㈢	--  	243682208	  1.17	         25.71亿	江苏	6.18	6.33	178022	207168	  0.86	6.32	668	  1.07	
600247	*ST成城	3.38	0.00	商贸代理	57	5.83	--  	6.11	42101	67	          1.25	6.43	6.21	6.11	0.044㈢	   104.20	25755914	  1.07	         20.56亿	吉林	5.93	6.12	18337	23763	  0.77	6.10	25	  2.26	
300157	恒泰艾普	2.29	-0.19	石油开采	1950	4.80	--  	4.93	305646	1353	          4.98	4.37	5.01	4.92	0.045㈢	    82.02	150006256	  1.16	         30.19亿	北京	4.83	4.91	151974	153672	  0.99	4.92	1249	 -0.08	
002278	神开股份	2.09	0.41	化工机械	172	7.14	--  	7.34	119783	742	          3.48	3.62	7.40	7.34	0.041㈢	   135.88	87261688	  1.47	         25.25亿	上海	7.22	7.28	59447	60336	  0.99	7.33	425	 -0.28	
002444	巨星科技	1.45	0.00	轻工机械	372	11.07	--  	11.19	161332	1171	          1.59	3.45	11.45	11.18	0.526㈢	    15.93	181731360	  1.22	        113.13亿	浙江	11.07	11.26	70319	91012	  0.77	11.18	100	 -0.91	
000656	金科股份	1.31	0.00	区域地产	10206	6.09	--  	6.17	468504	2980	          0.89	4.43	6.36	6.17	0.400㈢	    11.28	290681824	  1.92	        324.81亿	重庆	6.14	6.20	213256	255247	  0.84	6.16	208	 -1.05	
002629	仁智股份	1.26	-0.98	石油开采	851	3.91	--  	4.02	162013	5297	          4.70	5.05	4.11	4.01	-0.051㈢	--  	65251268	  1.34	         13.82亿	浙江	3.91	4.03	64722	97291	  0.67	4.01	95	 -1.10	
300471	厚普股份	1.24	0.15	专用机械	1009	6.47	--  	6.54	154730	1679	          5.66	5.27	6.81	6.53	-0.418㈢	--  	102135488	  1.37	         17.84亿	四川	6.50	6.60	75833	78897	  0.96	6.53	625	 -1.12	
000883	湖北能源	1.21	0.48	火力发电	576	4.11	--  	4.17	196711	1212	          0.30	2.67	4.22	4.17	0.267㈢	    11.70	82140512	  1.05	        271.24亿	湖北	4.12	4.18	94887	101823	  0.93	4.16	422	 -1.15	
600106	重庆路桥	1.15	0.00	路桥	1467	3.48	--  	3.54	339612	1148	          3.09	4.87	3.65	3.53	0.196㈢	    13.50	120271696	  0.92	         38.77亿	重庆	3.50	3.54	172228	167384	  1.03	3.53	2035	  0.02	
601798	*ST蓝科	1.07	-0.34	化工机械	317	5.56	--  	5.68	46716	159	          1.32	2.85	5.72	5.67	-0.257㈢	--  	26211296	  1.28	         20.10亿	甘肃	5.64	5.61	25047	21668	  1.16	5.67	160	 -0.05	
600509	天富能源	1.06	0.42	火力发电	1699	4.61	--  	4.76	412677	3407	          4.56	4.88	4.84	4.76	0.056㈢	    63.56	195175872	  0.88	         43.11亿	新疆	4.71	4.73	207557	205119	  1.01	4.75	730	 -0.06	
002535	林州重机	1.01	0.50	工程机械	831	3.95	--  	3.99	223794	1679	          3.79	2.03	4.03	3.99	0.092㈢	    32.60	89302904	  0.94	         23.56亿	河南	3.98	3.99	99518	124275	  0.80	3.98	1447	 -1.35	
002554	惠博普	1.00	0.00	石油开采	4191	2.99	--  	3.03	273813	1809	          3.56	2.67	3.07	3.03	0.027㈢	    83.86	83099824	  0.92	         23.32亿	北京	3.01	3.03	127770	146042	  0.87	3.02	5126	 -1.36	
000852	石化机械	0.96	-0.11	化工机械	557	8.30	--  	8.44	224367	2487	          3.75	5.03	8.72	8.43	-0.061㈢	--  	189890496	  1.34	         50.42亿	湖北	8.38	8.46	121856	102510	  1.19	8.43	580	 -1.41	
300309	吉艾科技	0.81	0.00	多元金融	311	7.37	--  	7.43	276856	3936	          3.71	3.53	7.63	7.43	0.350㈢	    15.91	206916256	  1.07	         55.50亿	北京	7.49	7.47	144313	132542	  1.09	7.42	1119	 -1.55	
300084	海默科技	0.67	-0.16	石油开采	166	5.92	--  	5.99	164516	2226	          5.42	2.69	6.08	5.98	-0.063㈢	--  	98737232	  0.87	         18.15亿	甘肃	5.95	6.00	86395	78120	  1.11	5.98	784	 -1.69	
603727	博迈科	0.65	0.29	石油开采	177	13.91	--  	13.99	25049	165	          2.64	2.45	14.25	13.98	-0.126㈢	--  	35303600	  1.01	         13.26亿	天津	14.03	14.09	11686	13363	  0.87	13.98	70	 -0.47	
002490	山东墨龙	0.64	0.21	化工机械	84	4.70	--  	4.76	116591	1544	          4.04	2.97	4.84	4.75	0.100㈢	    35.73	55601400	  1.02	         13.72亿	山东	4.72	4.77	55510	61081	  0.91	4.75	687	 -1.73	
002021	中捷资源	0.62	-0.61	纺织机械	4163	3.16	--  	3.22	297929	4507	          4.33	5.62	3.34	3.22	0.034㈢	    71.07	96648152	  0.85	         22.14亿	浙江	3.19	3.24	152737	145191	  1.05	3.21	83	 -1.74	
600744	华银电力	0.61	-0.29	火力发电	202	3.28	--  	3.32	182238	1124	          2.20	3.65	3.40	3.31	-0.001㈢	--  	60477788	  0.78	         27.39亿	湖南	3.28	3.32	101575	80662	  1.26	3.31	1335	 -0.51	
600378	天科股份	0.58	0.29	化工原料	242	10.30	--  	10.38	29345	136	          0.99	2.52	10.56	10.38	0.130㈢	   163.84	30605498	  1.36	         30.85亿	四川	10.34	10.43	16149	13196	  1.22	10.37	89	 -0.54	
600987	航民股份	0.55	0.00	纺织	646	9.03	--  	9.10	86905	621	          1.37	2.32	9.24	9.10	0.660㈢	    12.11	79510344	  1.62	         57.81亿	浙江	9.08	9.15	41178	45726	  0.90	9.09	207	 -0.57	
002478	常宝股份	0.54	0.00	钢加工	103	5.53	--  	5.60	169651	621	          2.86	2.16	5.65	5.59	0.380㈢	    10.94	95016352	  1.62	         33.18亿	江苏	5.56	5.60	84692	84958	  1.00	5.59	800	 -1.82	
603722	阿科力	0.50	0.04	化工原料	27	23.71	--  	23.90	23982	282	          5.89	2.36	24.27	23.89	0.367㈢	    48.76	57557580	  0.81	          9.73亿	江苏	24.09	24.00	12731	11250	  1.13	23.89	145	 -0.62	
300191	潜能恒信	0.47	-0.11	石油开采	268	16.92	--  	17.19	54237	1083	          2.62	3.74	17.56	17.18	0.033㈢	   386.29	93587072	  1.11	         35.57亿	北京	17.00	17.26	25520	28716	  0.89	17.18	31	 -1.90	
600256	广汇能源	0.47	0.47	石油开采	6675	4.26	--  	4.32	1320972	10227	          1.96	2.56	4.37	4.32	0.220㈢	    16.18	570051584	  1.13	        291.04亿	新疆	4.30	4.32	712563	608409	  1.17	4.31	9106	 -0.66	
002221	东华能源	0.45	0.00	石油贸易	6889	8.77	--  	8.88	192265	817	          1.27	3.06	9.04	8.87	0.560㈢	    12.16	171857072	  1.12	        134.70亿	江苏	8.81	8.94	103613	88652	  1.17	8.87	237	 -1.91	
002828	贝肯能源	0.41	0.08	石油开采	355	12.24	--  	12.40	68237	658	          6.91	2.67	12.57	12.39	0.270㈢	    35.28	84661672	  1.12	         12.24亿	新疆	12.32	12.41	37970	30267	  1.25	12.39	345	 -1.96	
002476	宝莫股份	0.38	0.19	化工原料	563	5.29	--  	5.36	186825	1534	          3.19	3.38	5.47	5.35	-0.042㈢	--  	100668480	  0.74	         31.37亿	山东	5.34	5.39	108037	78788	  1.37	5.35	311	 -1.99	
300610	晨化股份	0.37	-0.14	化工原料	30	13.41	--  	13.51	25454	309	          5.12	2.60	13.76	13.51	0.424㈢	    23.90	34621172	  0.82	          6.72亿	江苏	13.46	13.60	12285	13168	  0.93	13.50	25	 -1.99	
000875	吉电股份	0.35	0.00	火力发电	6658	2.86	--  	2.88	566144	4192	          2.90	2.79	2.94	2.88	0.000㈢	  4945.11	164050960	  0.94	         56.28亿	吉林	2.88	2.90	315867	250277	  1.26	2.87	7547	 -2.02	
600387	海越能源	0.34	0.00	石油贸易	393	8.75	--  	8.81	176593	809	          4.58	2.74	8.99	8.80	0.616㈢	    10.71	156599568	  1.22	         33.94亿	浙江	8.82	8.87	85755	90837	  0.94	8.80	1035	 -0.78	
603800	道森股份	0.31	0.08	专用机械	415	12.83	--  	12.93	63463	751	          3.05	3.57	13.29	12.93	0.295㈢	    32.84	82679808	  1.22	         26.89亿	江苏	12.90	13.03	34285	29177	  1.18	12.92	307	 -0.81	
300540	深冷股份	0.31	0.08	专用机械	118	12.84	--  	12.94	26433	181	          4.13	2.40	13.15	12.94	0.050㈢	   194.14	34294488	  1.02	          8.29亿	四川	12.89	12.97	12602	13831	  0.91	12.93	639	 -2.05	
000777	中核科技	0.14	0.07	机械基件	1083	14.37	--  	14.39	203515	2400	          5.31	3.69	14.90	14.39	0.140㈢	    76.94	296887104	  1.06	         55.17亿	江苏	14.56	14.59	108008	95507	  1.13	14.38	271	 -2.23	
300164	通源石油	0.00	-0.13	石油开采	1768	7.03	--  	7.13	275035	2115	          8.67	3.09	7.25	7.12	0.230㈢	    23.35	196174432	  1.26	         22.59亿	陕西	7.05	7.13	135298	139737	  0.97	7.12	1011	 -2.36	
002353	杰瑞股份	0.00	0.10	化工机械	238	19.88	--  	20.00	137877	610	          2.05	2.70	20.42	20.00	0.379㈢	    39.61	277303488	  1.17	        134.60亿	山东	20.08	20.11	64222	73654	  0.87	19.99	295	 -2.36	
300023	宝德股份	-0.39	0.39	专用机械	490	7.55	--  	7.63	199118	2319	         13.79	6.27	8.03	7.63	-0.058㈢	--  	154916160	  0.96	         11.02亿	陕西	7.86	7.78	100318	98799	  1.02	7.62	393	 -2.76	
000968	蓝焰控股	-0.52	-0.06	煤炭开采	1	13.28	--  	13.41	75189	423	          1.46	3.86	13.80	13.39	0.494㈢	    20.32	101423960	  0.85	         68.79亿	山西	13.31	13.49	38777	36412	  1.06	13.39	79	 -2.88	
600157	永泰能源	-0.92	0.00	煤炭开采	45803	2.13	--  	2.16	4922681	36890	          3.96	4.61	2.23	2.15	0.003㈢	   644.62	1071315776	  1.00	        267.15亿	山西	2.18	2.18	2452348	2470332	  0.99	2.15	52680	 -2.04	
数据来源:通达信
