代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
300197	铁汉生态	9.93	0.00	环境保护	33263	4.40	--  	--  	1381418	1480	          9.21	10.61	4.87	4.87	0.160㈢	    22.86	659535936	  1.76	         73.01亿	深圳	4.50	4.77	695340	686077	  1.01	4.87	0	  7.57	
300355	蒙草生态	9.75	0.97	环境保护	8070	4.72	--  	5.19	1212431	20895	         10.27	9.96	5.19	5.18	0.203㈢	    19.16	613284800	  2.02	         61.17亿	内蒙	4.79	5.06	618254	594177	  1.04	5.18	27124	  7.38	
002679	福建金森	5.25	1.47	林业	1	21.65	--  	22.85	88035	766	          3.73	7.74	23.33	22.85	0.054㈢	   314.61	197237744	  2.22	         53.87亿	福建	21.80	22.40	33634	54401	  0.62	22.74	8	  2.89	
600189	吉林森工	3.39	0.00	林业	744	4.41	--  	4.57	104773	2087	          2.46	3.85	4.58	4.57	0.049㈢	    69.37	47171604	  1.24	         19.45亿	吉林	4.44	4.50	40657	64115	  0.63	4.56	5	  2.27	
000663	永安林业	2.54	0.16	林业	32	6.30	--  	6.46	59054	914	          2.65	2.54	6.46	6.46	-0.205㈢	--  	37724780	  0.89	         14.40亿	福建	6.32	6.39	26499	32555	  0.81	6.45	39	  0.18	
300021	大禹节水	1.71	1.36	农业综合	100	5.80	--  	5.96	250278	9929	          3.86	2.73	5.96	5.96	0.072㈢	    62.26	147242288	  1.37	         38.64亿	甘肃	5.88	5.88	117776	132501	  0.89	5.93	775	 -0.66	
600963	岳阳林纸	0.88	0.22	造纸	1718	4.51	--  	4.57	307948	2315	          2.95	3.09	4.65	4.57	0.244㈢	    14.05	141132096	  1.10	         47.67亿	湖南	4.53	4.58	154625	153323	  1.01	4.56	111	 -0.24	
600265	ST景谷	0.77	-0.22	林业	25	26.11	--  	26.20	1771	27	          0.14	3.96	27.14	26.20	-0.163㈢	--  	4691985	  0.61	         34.01亿	云南	26.11	26.50	907	863	  1.05	26.15	24	 -0.35	
601996	丰林集团	0.59	0.59	林业	529	3.38	--  	3.40	128204	1229	          1.36	2.37	3.46	3.40	0.120㈢	    26.58	43767356	  0.98	         32.13亿	广西	3.41	3.41	70827	57377	  1.23	3.39	696	 -0.53	
600277	亿利洁能	0.47	-0.14	综合类	183	6.39	--  	6.48	274550	1833	          1.03	2.64	6.56	6.48	0.197㈢	    24.73	177449792	  0.89	        173.28亿	内蒙	6.43	6.46	138786	135763	  1.02	6.47	638	 -0.66	
000592	平潭发展	-0.24	0.00	林业	2519	3.96	--  	4.10	1413091	11715	          7.38	5.12	4.17	4.09	0.041㈢	    74.12	575841216	  0.94	         78.28亿	福建	4.04	4.08	705684	707406	  1.00	4.09	6571	 -2.61	
数据来源:通达信
