代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
002581	未名医药	10.05	0.00	生物制药	30752	7.40	--  	--  	206577	10	          5.15	10.86	8.21	8.21	0.019㈢	   322.59	165538240	  1.78	         32.90亿	山东	7.48	8.01	119400	87176	  1.37	8.21	0	  7.69	
002458	益生股份	10.01	0.00	农业综合	5549	38.11	--  	--  	192977	27	          9.24	7.50	40.90	40.90	1.075㈣	    38.03	777012800	  0.90	         85.40亿	山东	38.64	40.26	110440	82536	  1.34	40.90	0	  7.64	
600766	园城黄金	9.95	0.00	黄金	15780	8.53	--  	--  	474130	2728	         21.17	12.36	9.61	9.61	0.003㈢	  2522.42	435165984	  1.45	         21.52亿	山东	8.56	9.18	201201	272929	  0.74	9.61	0	  8.83	
002526	山东矿机	9.93	0.00	工程机械	39870	2.78	--  	--  	3670136	4575	         22.59	11.35	3.10	3.10	0.063㈢	    36.85	1102100224	  2.84	         50.37亿	山东	2.83	3.00	1531973	2138162	  0.72	3.10	0	  7.56	
300175	朗源股份	9.92	0.00	食品	131312	5.65	--  	--  	30486	2696	          0.66	0.00	5.65	5.65	0.097㈢	    43.65	17224590	  0.25	         26.08亿	山东	5.65	5.65	23451	7035	  3.33	5.65	0	  7.56	
000677	恒天海龙	8.36	0.60	化纤	356	3.05	--  	3.38	575658	2935	          6.66	11.90	3.42	3.37	0.004㈢	   644.98	190424176	  3.40	         29.12亿	山东	3.11	3.31	306304	269354	  1.14	3.37	572	  6.00	
002675	东诚药业	6.63	-0.08	化学制药	284	11.10	--  	11.58	165369	549	          2.62	6.26	11.78	11.58	0.370㈣	    33.13	190070656	  1.43	         72.99亿	山东	11.10	11.49	63270	102098	  0.62	11.57	468	  4.27	
600783	鲁信创投	5.44	0.09	矿物制品	1198	22.30	--  	23.46	640983	6708	          8.61	7.33	23.93	23.46	0.291㈢	    60.38	1484397696	  1.00	        174.63亿	山东	23.11	23.16	327642	313341	  1.05	23.45	267	  4.32	
002537	海联金汇	5.29	0.77	汽车整车	402	11.10	--  	11.76	141209	2903	          1.18	6.09	11.78	11.75	0.231㈢	    38.12	162097472	  1.25	        140.41亿	山东	11.17	11.48	61058	80151	  0.76	11.75	596	  2.92	
002217	合力泰	5.13	0.40	元器件	7065	7.26	--  	7.58	2162561	29375	          8.44	6.10	7.70	7.58	0.381㈢	    14.91	1621293184	  1.37	        194.15亿	山东	7.26	7.50	960298	1202262	  0.80	7.57	10649	  2.77	
300099	精准信息	5.12	0.75	电器仪表	329	5.10	--  	5.34	276893	5013	          7.07	7.28	5.47	5.34	0.036㈢	   110.36	145772416	  1.51	         20.92亿	山东	5.10	5.26	124006	152887	  0.81	5.33	597	  2.75	
002359	北讯集团	3.06	0.31	通信设备	3111	9.55	--  	9.76	631043	5192	          8.91	4.54	9.98	9.76	0.493㈢	    14.85	618415552	  0.91	         69.11亿	深圳	9.55	9.80	315354	315688	  1.00	9.75	731	  0.70	
600180	瑞茂通	3.02	0.00	仓储物流	640	8.56	--  	8.89	121755	2126	          1.20	8.47	9.29	8.88	0.372㈢	    17.92	109712600	  1.59	         90.26亿	山东	8.66	9.01	64727	57027	  1.14	8.88	166	  1.89	
000880	潍柴重机	2.63	0.67	机械基件	377	8.76	--  	8.99	55361	638	          4.10	4.00	9.11	8.99	0.220㈢	    30.62	49210640	  1.31	         12.15亿	山东	8.77	8.89	26742	28618	  0.93	8.96	1617	  0.26	
600735	新华锦	2.57	0.31	商贸代理	135	6.23	--  	6.39	234767	3182	          6.24	6.43	6.63	6.38	0.155㈢	    30.84	149678576	  1.25	         23.99亿	山东	6.27	6.38	112719	122047	  0.92	6.38	249	  1.45	
002242	九阳股份	2.46	0.21	家用电器	388	18.40	--  	19.14	112666	385	          1.48	6.86	19.68	19.13	0.742㈢	    19.35	216367728	  1.19	        145.76亿	山东	18.66	19.20	48247	64418	  0.75	19.13	55	  0.10	
002589	瑞康医药	2.33	0.95	医药商业	553	7.30	--  	7.46	592108	6002	          5.46	4.39	7.62	7.46	0.554㈢	    10.10	439610368	  1.35	         80.92亿	山东	7.33	7.42	259146	332962	  0.78	7.45	2569	 -0.03	
600986	科达股份	2.30	0.00	互联网	2737	5.25	--  	5.33	723155	5745	          5.69	5.18	5.52	5.33	0.430㈢	    11.83	387530656	  0.93	         67.79亿	山东	5.25	5.36	371426	351729	  1.06	5.32	462	  1.18	
