代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
601212	白银有色	10.00	0.00	铜	67047	3.66	--  	--  	520258	2723	          2.65	8.33	3.96	3.96	-0.035㈢	--  	201867216	  1.17	         77.80亿	甘肃	3.68	3.88	314098	206160	  1.52	3.96	0	  8.88	
600766	园城黄金	9.95	0.00	黄金	15780	8.53	--  	--  	474130	2728	         21.17	12.36	9.61	9.61	0.003㈢	  2522.42	435165984	  1.45	         21.52亿	山东	8.56	9.18	201201	272929	  0.74	9.61	0	  8.83	
600086	东方金钰	9.94	0.00	服饰	20374	4.80	--  	--  	1508841	23234	         14.28	12.58	5.42	5.42	-0.053㈢	--  	778561728	  1.04	         57.28亿	湖北	4.88	5.16	724312	784529	  0.92	5.42	0	  8.82	
600311	荣华实业	7.99	0.51	黄金	3787	3.57	--  	3.92	669498	13478	         10.06	10.47	3.95	3.92	-0.085㈢	--  	251223824	  1.68	         26.09亿	甘肃	3.60	3.75	297601	371896	  0.80	3.91	3738	  6.87	
600531	豫光金铅	3.71	0.18	铅锌	2495	5.46	--  	5.60	383485	4219	          3.52	6.12	5.79	5.59	0.029㈢	   146.05	215326320	  0.68	         60.94亿	河南	5.46	5.61	178579	204905	  0.87	5.59	2215	  2.59	
002716	金贵银业	3.68	0.87	小金属	4928	7.66	--  	8.17	895486	20633	         16.51	6.35	8.16	8.16	0.340㈢	    28.05	712157184	  1.17	         44.26亿	湖南	7.70	7.95	425524	469962	  0.91	8.16	438	  1.32	
000426	兴业矿业	2.77	0.45	铅锌	605	6.42	--  	6.68	935369	13135	          7.03	4.77	6.73	6.68	0.304㈢	    16.51	616447808	  0.64	         88.87亿	内蒙	6.50	6.59	461636	473733	  0.97	6.67	1725	  0.40	
600687	刚泰控股	2.75	0.21	黄金	6777	4.67	--  	4.86	610209	8781	          4.10	5.51	4.93	4.85	0.031㈢	   115.63	293344288	  0.92	         72.20亿	甘肃	4.68	4.81	298862	311347	  0.96	4.85	3912	  1.63	
600655	豫园股份	2.71	0.58	百货	1128	8.49	--  	8.72	205643	1722	          1.43	4.25	8.85	8.71	0.330㈢	    22.24	178680784	  1.58	        125.19亿	上海	8.52	8.69	93978	111664	  0.84	8.71	335	  1.59	
600490	鹏欣资源	2.48	0.70	铜	6587	5.62	--  	5.79	712271	9125	          4.78	4.96	5.90	5.78	0.150㈢	    30.71	409313440	  0.95	         86.20亿	上海	5.65	5.75	322529	389741	  0.83	5.78	2924	  1.36	
