代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
300392	腾信股份	3.96	0.85	互联网	990	8.49	9.45	0.85	231321	5604	          8.95	10.79	9.47	9.44	-0.171㈢	--  	206862832	  1.20	         24.41亿	北京	9.10	8.94	117153	114167	  1.03	9.44	1877	  5.78	          2.59	0.36	         36.25亿	   2770	--  	     84	        0.0032	20190213	20140910	          3.84	--  	--  	17.34	4.08	          0.01	76.41	12.89	1.34	0.26	13.25	0.82	0.00	8.81	11.01	10.72	-0.78	-0.00	-0.77	-0.65	-0.66	-1.04	-0.86	-0.35	28683.00	          5730	5.41万	-460.95	-7.00	          8.88	-42.12	3.29	9.08	          1.06	0.00	          0.21	         -0.27	         23.55	 -16.04㈢	          2.65	         -7.08	         -5.95	300392	--  	--  	--  	
300226	上海钢联	-8.81	0.71	互联网	50	76.49	77.60	0.71	58123	400	          3.83	8.84	84.00	77.50	0.608㈢	    95.61	458949248	  0.87	        117.61亿	上海	82.50	78.96	29084	29039	  1.00	77.50	1	 -7.00	          1.52	-7.49	        123.33亿	   2886	--  	     20	        0.0013	20181203	20110608	          1.59	--  	--  	112.95	9.40	         14.63	78.73	109.07	1.92	0.32	88.59	7.41	39.17	15.32	721.13	715.93	1.63	-0.04	1.65	1.53	0.97	0.18	0.26	-1.20	13381.00	          8344	64.67万	185.25	39.51	         13.12	479.52	0.17	84.99	          5.91	0.00	          4.66	          0.11	          8.32	  10.29㈢	          0.72	          0.23	          0.13	300226	20180227	63.33	22.37	
002517	恺英网络	-7.75	0.63	互联网	3210	4.65	4.77	0.63	1109029	10381	          9.16	8.72	5.10	4.76	0.229㈢	    15.61	534936992	  0.67	         57.63亿	福建	5.09	4.82	596972	512056	  1.17	4.76	1969	 -5.94	         12.11	-0.40	        102.46亿	   4178	--  	    265	        0.0022	20190313	20101207	         21.53	--  	--  	65.17	51.33	          3.29	16.19	24.59	0.22	0.47	10.53	7.40	0.24	12.13	17.35	4.81	6.07	0.71	6.07	5.90	4.92	28.53	6.52	-5.88	60184.00	         17650	8.40万	-53.43	-17.18	          2.13	15.72	5.91	5.16	          2.23	2.23	          0.34	          1.33	         78.76	   9.59㈢	         72.28	         35.01	         28.38	002517	--  	--  	--  	
002235	安妮股份	-6.94	0.60	互联网	948	6.56	6.70	0.60	439492	5300	          8.78	8.61	7.18	6.70	0.107㈢	    46.77	298092992	  0.62	         33.52亿	福建	7.11	6.78	250114	189378	  1.32	6.69	659	 -5.13	          5.00	-0.50	         41.73亿	   3861	--  	    114	        0.0023	20190107	20080516	          6.23	--  	--  	25.40	22.58	         -0.01	11.12	12.22	1.69	0.74	2.63	17.64	0.42	1.97	4.71	3.35	0.68	0.20	0.69	0.66	0.67	-3.07	-1.67	-1.64	58951.00	          6779	4.54万	5.86	7.66	          1.85	-24.97	8.87	7.20	          3.63	0.00	          2.83	         -0.49	         88.91	   2.96㈢	         28.74	         14.50	         14.22	002235	20180227	11.03	-8.88	
002095	生 意 宝	-4.43	0.60	互联网	40	27.82	28.47	0.60	81548	847	          3.24	5.98	29.60	28.46	0.125㈢	   170.77	232181712	  0.55	         71.62亿	浙江	29.28	28.47	44113	37435	  1.18	28.46	35	 -2.62	          2.52	-1.32	         71.92亿	   3117	--  	     26	        0.0010	20190213	20061215	          2.53	--  	--  	15.03	8.47	          2.40	27.65	13.47	0.69	0.00	4.13	3.26	0.06	0.10	3.24	2.08	0.43	0.01	0.43	0.34	0.32	2.26	-0.21	-0.29	34652.00	          3190	9.08万	56.14	22.86	          8.49	-345.58	22.20	29.78	          3.35	0.00	          1.29	          0.90	         56.36	   3.73㈢	         35.78	         13.36	          9.75	002095	20170908	42.21	-32.46	
002131	利欧股份	-9.16	0.44	互联网	4454	2.26	2.29	0.44	5699394	45519	         14.67	6.77	2.43	2.28	0.050㈢	    41.29	1318102784	  0.68	         88.55亿	浙江	2.38	2.31	2790323	2909071	  0.96	2.28	19834	 -7.35	         38.84	-0.23	        138.11亿	   4716	--  	   1209	        0.0031	20190104	20070427	         60.57	--  	--  	162.70	83.39	          0.70	48.31	89.27	13.26	4.02	57.28	9.40	4.50	53.50	98.63	87.82	2.79	0.13	2.99	2.56	2.51	18.56	-5.19	8.03	150471.00	         25811	5.88万	-43.67	27.37	          1.52	-26.62	1.40	2.51	          1.50	1.50	          0.16	          0.31	         51.25	   3.01㈢	         10.96	          2.83	          2.54	002131	--  	--  	--  	
600634	*ST富控	-3.58	0.37	互联网	187	2.66	2.70	0.37	115574	978	          2.01	5.73	2.82	2.69	-0.781㈢	--  	31690124	  0.75	         15.49亿	上海	2.77	2.74	61965	53609	  1.16	2.69	869	 -2.39	          5.76	-0.10	         15.49亿	   1241	--  	     93	        0.0016	20190213	19930304	          5.76	--  	--  	60.03	15.46	          0.12	74.04	17.04	0.35	1.07	40.01	9.87	0.01	0.87	5.97	1.01	-0.06	0.00	-4.25	-4.50	-4.50	-0.79	-6.57	-12.97	53728.00	          7185	1.93万	-764.66	-4.04	          1.00	-2.36	2.60	2.79	          2.69	0.00	          1.72	         -0.14	         25.76	 -29.07㈢	         83.02	         -1.07	        -75.32	600634	--  	--  	--  	
603258	电魂网络	-4.56	0.33	互联网	30	17.85	18.21	0.33	24729	470	          2.12	7.13	19.21	18.21	0.365㈢	    37.37	45291984	  0.73	         21.22亿	浙江	19.19	18.32	12895	11834	  1.09	18.20	14	 -3.36	          1.17	-0.87	         44.26亿	   1733	--  	     14	        0.0012	20181119	20161026	          2.43	--  	--  	19.03	16.56	          0.04	12.76	13.30	2.47	0.16	2.41	8.76	0.00	0.13	3.20	0.57	0.92	0.41	0.92	0.83	0.89	4.46	0.23	-0.74	24311.00	          2747	5.00万	-37.71	-11.94	          2.67	190.17	13.84	19.08	          6.81	0.00	          3.60	          1.83	         87.03	   5.36㈢	         82.18	         28.81	         27.79	603258	20170907	40.51	-54.54	
300031	宝通科技	-4.19	0.33	互联网	201	14.90	15.16	0.33	73841	1156	          2.88	9.51	16.40	15.11	0.559㈢	    20.29	114324688	  0.67	         38.79亿	江苏	16.11	15.48	41703	32137	  1.30	15.11	100	 -2.37	          2.57	-0.66	         59.95亿	   2498	--  	     30	        0.0012	20190213	20091225	          3.97	--  	--  	33.33	22.37	          0.45	31.53	14.55	2.49	0.27	7.29	9.77	2.25	4.41	15.47	6.90	2.58	0.01	2.57	2.42	2.22	8.01	1.68	-1.26	13228.00	         17700	26.74万	38.04	32.20	          2.68	35.68	3.87	15.77	          5.64	0.00	          2.46	          2.02	         67.11	   9.91㈢	         55.43	         16.65	         14.32	300031	--  	--  	--  	
002148	北纬科技	-6.10	0.28	互联网	495	6.90	7.09	0.28	283176	3032	          6.38	7.69	7.48	7.08	0.068㈢	    77.94	202444912	  0.68	         31.44亿	北京	7.43	7.15	157849	125327	  1.26	7.08	435	 -4.29	          4.44	-0.46	         40.14亿	   2985	--  	     95	        0.0021	20190114	20070810	          5.67	--  	--  	12.76	11.60	          0.24	7.25	6.49	1.99	0.01	0.83	2.40	0.02	0.20	1.87	0.83	0.41	0.16	0.42	0.37	0.39	3.72	0.34	-0.94	59238.00	          6991	4.95万	-65.14	-57.36	          3.46	117.21	21.43	7.54	          2.05	0.00	          0.42	          0.66	         90.90	   3.33㈢	         55.90	         21.74	         20.62	002148	--  	--  	--  	
