代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
000058	深 赛 格	-5.19	4.17	元器件	24	7.11	7.49	4.17	285762	10533	          5.31	7.47	7.70	7.49	0.112㈢	    50.28	208718208	  1.04	         40.30亿	深圳	7.60	7.30	174437	111325	  1.57	7.48	720	 -3.37	          5.38	-0.41	         92.55亿	   2966	--  	     96	        0.0018	20190311	19961226	         12.36	          2.46	--  	62.19	19.78	          6.29	58.08	45.00	0.59	0.32	26.58	1.57	27.24	0.95	14.45	9.94	3.02	0.59	2.92	1.99	1.38	4.47	0.88	-0.38	71086.00	          7522	5.63万	99.54	68.55	          4.68	104.68	6.41	7.90	          1.60	0.00	          0.13	          0.36	         31.81	   6.98㈢	         31.16	         20.92	          9.56	000058	--  	--  	--  	
300083	劲胜智能	-7.87	1.99	元器件	2625	4.01	4.10	1.99	782271	9682	          6.26	8.54	4.39	4.10	-0.071㈢	--  	322740960	  1.15	         51.20亿	广东	4.35	4.13	443844	338427	  1.31	4.09	425	 -6.05	         12.49	-0.35	         58.67亿	   3034	--  	    258	        0.0021	20190117	20100520	         14.31	--  	--  	114.52	54.96	          0.29	51.75	74.60	15.98	2.39	52.66	36.69	41.50	16.90	41.65	35.25	-0.49	-0.10	-0.49	-1.03	-1.02	3.39	-2.28	0.46	42726.00	         22166	9.09万	-124.35	-10.76	          1.07	-25.77	1.41	4.45	          3.84	0.00	          2.56	          0.24	         48.00	  -1.85㈢	         15.37	         -1.18	         -2.45	300083	--  	--  	--  	
300205	天喻信息	-1.70	1.32	元器件	5	10.99	11.55	1.32	121682	1591	          2.86	8.17	11.95	11.55	0.177㈢	    48.96	138700880	  0.83	         49.20亿	湖北	11.79	11.40	57411	64271	  0.89	11.52	204	  0.11	          4.26	-0.20	         49.67亿	   2265	--  	     54	        0.0013	20190223	20110421	          4.30	--  	--  	22.50	12.68	         -0.01	43.66	17.40	1.86	0.42	9.59	4.10	3.08	8.35	16.24	12.15	0.98	0.01	0.97	0.79	0.76	2.70	-2.36	0.32	24253.00	          8942	10.33万	130.31	11.93	          3.91	-21.05	3.06	11.75	          2.96	2.96	          0.95	          0.63	         56.38	   6.00㈢	         25.18	          6.05	          4.68	300205	--  	--  	--  	
300227	光韵达	-5.83	1.27	元器件	688	12.51	12.77	1.27	120026	2605	          7.91	9.30	13.77	12.76	0.277㈢	    34.52	155341808	  0.63	         19.37亿	深圳	13.48	12.94	63441	56584	  1.12	12.76	20	 -4.01	          1.52	-0.79	         28.39亿	   2122	--  	     57	        0.0037	20190313	20110608	          2.22	--  	--  	11.62	7.57	          0.06	34.29	4.85	3.93	0.67	3.56	2.72	0.92	2.44	4.32	2.37	0.71	0.00	0.73	0.63	0.62	2.57	0.98	0.20	15462.00	          9816	12.53万	24.93	25.82	          3.69	29.07	6.56	13.55	          3.46	3.46	          1.22	          1.15	         65.15	   8.14㈢	         45.18	         16.51	         14.26	300227	--  	--  	--  	
002808	恒久科技	1.08	1.15	元器件	34	15.76	16.78	1.15	52471	1086	          5.99	6.99	16.92	16.78	0.123㈢	   102.61	85787032	  0.76	         14.69亿	江苏	16.65	16.35	25956	26515	  0.98	16.77	226	  2.90	          0.88	0.18	         32.22亿	   1590	--  	     33	        0.0038	20190213	20160812	          1.92	--  	--  	6.98	5.55	          0.00	20.49	5.07	1.03	0.16	1.42	1.32	1.22	1.34	2.25	1.81	0.28	0.01	0.28	0.24	0.24	1.99	-0.61	-0.50	14623.00	          5986	10.05万	19.29	7.75	          5.80	-52.88	14.33	16.60	          2.89	0.00	          0.69	          1.04	         79.51	   4.24㈢	         19.47	         12.54	         10.47	002808	--  	--  	--  	
002141	贤丰控股	-1.49	1.15	元器件	490	4.92	5.29	1.15	427256	7790	          6.71	7.09	5.30	5.28	0.007㈢	   590.00	218587504	  0.95	         33.61亿	广东	5.29	5.12	225245	202011	  1.12	5.28	579	  0.32	          6.37	-0.08	         59.91亿	   3515	--  	    122	        0.0019	20190213	20070720	         11.35	--  	--  	18.82	13.17	          0.92	25.15	5.41	1.76	0.12	4.40	0.94	1.33	1.89	7.34	6.51	0.07	0.38	0.08	0.07	0.08	0.67	-0.09	0.33	52266.00	          9135	4.82万	31.50	-12.81	          4.55	-681.49	8.16	5.36	          1.16	0.00	          0.08	          0.06	         69.94	   0.58㈢	         11.28	          0.95	          1.04	002141	20180731	4.54	16.30	
002056	横店东磁	-2.48	1.14	元器件	722	6.91	7.08	1.14	333652	6649	          2.03	6.20	7.36	7.08	0.419㈣	    16.89	236793280	  0.80	        116.28亿	浙江	7.20	7.10	172011	161640	  1.06	7.07	527	 -0.66	         16.42	-0.18	        116.37亿	   3489	--  	     96	        0.0006	20190311	20060802	         16.44	--  	--  	67.97	47.32	          0.07	30.28	41.10	21.72	2.90	18.79	0.06	7.71	0.00	64.89	49.07	7.89	0.05	7.84	6.89	6.89	26.60	6.89	-1.24	78600.00	          9255	6.55万	13.27	3.04	          2.46	16.90	1.79	7.26	          2.88	0.00	          0.00	          1.62	         69.62	  14.56㈣	         24.37	         12.16	         10.62	002056	20170907	10.39	-30.90	
600207	安彩高科	-7.97	1.12	元器件	1999	5.31	5.43	1.12	258714	2079	          3.75	7.97	5.78	5.43	-0.030㈢	--  	142030672	  1.02	         37.47亿	河南	5.50	5.49	149433	109281	  1.37	5.42	86	 -6.77	          6.90	-0.47	         46.86亿	   3150	--  	     82	        0.0012	20190213	19990714	          8.63	--  	--  	21.97	18.80	          0.24	13.32	10.32	6.55	1.92	2.39	28.81	1.50	3.10	15.86	14.71	-0.15	0.03	-0.15	-0.23	-0.26	-22.57	0.96	-0.44	53709.00	          5254	2.85万	-305.29	13.91	          2.49	48.80	2.96	5.90	          2.18	0.00	          3.34	         -2.62	         85.57	  -1.39㈢	          7.21	         -0.92	         -1.65	600207	20171214	6.89	-21.19	
300701	森霸传感	-3.88	0.98	元器件	57	36.24	37.14	0.98	25711	226	         11.34	6.55	38.77	37.14	0.653㈢	    42.65	95717640	  0.70	          8.42亿	河南	37.79	37.23	14388	11323	  1.27	37.13	21	 -2.07	          0.23	-1.50	         29.71亿	   1836	--  	     14	        0.0062	20190213	20170915	          0.80	--  	--  	4.83	4.59	          0.00	4.95	4.16	0.44	0.08	0.22	2.23	0.25	0.15	1.32	0.63	0.60	0.11	0.62	0.52	0.52	1.34	0.42	-0.12	12508.00	          1813	6.73万	21.66	4.55	          6.47	70.57	22.44	38.64	          5.74	0.00	          2.79	          1.67	         95.05	  11.38㈢	         52.11	         44.98	         39.47	300701	20171016	54.23	-30.82	
300220	金运激光	0.87	0.93	元器件	223	14.68	15.16	0.93	67266	614	          5.38	7.66	15.83	15.15	0.057㈣	   267.28	102515192	  1.31	         18.93亿	湖北	15.03	15.24	35540	31725	  1.12	15.15	14	  2.68	          1.25	0.13	         19.09亿	   1801	--  	     37	        0.0030	20190311	20110525	          1.26	--  	--  	3.55	2.51	          0.07	27.49	2.12	0.78	0.11	0.97	0.85	0.86	0.00	2.13	1.42	0.10	-0.00	0.10	0.08	0.07	0.28	0.30	-0.06	13300.00	          4690	7.11万	116.87	15.05	          7.62	64.27	8.97	15.02	          1.99	0.00	          0.68	          0.22	         70.53	   2.85㈣	         33.42	          4.60	          3.36	300220	20171117	23.20	-34.70	
