代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600975	新五丰	-7.00	2.09	农业综合	2986	9.00	9.31	2.09	479728	8286	          7.35	9.00	9.90	9.30	-0.067㈢	--  	448943392	  0.55	         60.70亿	湖南	9.55	9.36	237841	241886	  0.98	9.30	19	 -5.80	          6.53	-0.70	         60.70亿	   3830	--  	    125	        0.0019	20190213	20040609	          6.53	--  	--  	16.29	10.95	          0.62	29.03	9.11	5.36	0.79	3.52	2.52	4.62	0.23	12.15	11.94	-0.37	0.02	-0.40	-0.43	-0.43	1.17	-0.67	0.15	59427.00	          5831	5.42万	-182.61	-6.28	          5.54	-90.99	4.99	10.00	          1.68	0.00	          0.39	          0.18	         67.19	  -3.97㈢	          1.79	         -3.06	         -3.58	600975	20171026	7.18	30.92	
600354	敦煌种业	-5.01	1.28	种植业	121	4.55	4.74	1.28	280460	3110	          5.31	6.01	4.85	4.74	-0.235㈢	--  	130919136	  0.82	         25.02亿	甘肃	4.55	4.67	150130	130329	  1.15	4.73	2031	 -3.81	          5.28	-0.25	         25.02亿	   2317	--  	    121	        0.0023	20190213	20040115	          5.28	--  	--  	22.22	7.92	          1.66	56.88	14.62	4.82	1.87	11.36	8.99	5.22	1.73	3.67	3.26	-1.58	0.07	-1.57	-1.58	-1.24	-6.65	-1.41	-2.59	63641.00	          5815	2.76万	-199.81	81.19	          3.16	-17.77	6.83	4.99	          1.50	0.00	          1.70	         -1.26	         35.66	 -15.64㈢	         11.08	        -43.10	        -33.82	600354	20180205	6.61	-28.29	
002746	仙坛股份	-5.02	0.97	农业综合	395	26.58	28.03	0.97	234919	1567	          9.69	14.71	30.92	28.02	0.711㈢	    29.57	675671872	  1.58	         67.90亿	山东	29.65	28.76	125013	109905	  1.14	28.02	5	 -3.20	          2.42	-1.48	         86.62亿	   4293	--  	     55	        0.0023	20190213	20150216	          3.09	--  	--  	28.45	22.66	          0.32	19.21	18.31	8.56	0.73	5.43	10.60	3.48	0.44	17.59	15.28	2.21	0.30	2.28	2.28	2.20	8.48	1.87	2.66	29189.00	          4743	13.29万	236.65	12.42	          3.82	46.34	4.92	29.50	          7.33	0.00	          3.43	          2.74	         79.65	   9.70㈢	         13.14	         12.59	         12.49	002746	--  	--  	--  	
002891	中宠股份	-4.62	0.92	饲料	30	37.51	38.44	0.92	12676	150	          2.35	6.10	39.97	38.44	0.420㈢	    68.65	48757516	  1.35	         20.70亿	山东	39.97	38.46	8037	4639	  1.73	38.35	9	 -2.80	          0.54	-1.86	         38.44亿	   1321	--  	     10	        0.0018	20190304	20170821	          1.00	--  	--  	12.64	7.33	          0.93	34.64	6.44	2.25	0.27	4.32	4.05	2.64	2.27	10.10	7.92	0.68	-0.01	0.68	0.50	0.42	2.02	-0.37	-1.26	7928.00	          4080	15.69万	-29.27	39.07	          5.10	-104.89	3.80	40.30	          7.53	7.53	          4.05	          2.02	         57.98	   5.73㈢	         21.57	          6.75	          4.16	002891	--  	--  	--  	
600371	万向德农	-6.05	0.91	种植业	124	7.57	7.77	0.91	73558	732	          3.27	8.34	8.26	7.77	0.147㈢	    39.71	57348340	  0.86	         17.49亿	黑龙江	8.26	7.80	41876	31681	  1.32	7.76	290	 -4.85	          2.25	-0.50	         17.49亿	   2066	--  	     36	        0.0016	20190213	20020916	          2.25	--  	--  	7.86	4.57	          0.47	35.83	5.38	1.08	0.13	2.68	0.34	0.77	0.00	1.77	0.97	0.75	0.13	0.37	0.37	0.33	1.43	0.80	0.81	21585.00	          5343	4.15万	-1.08	8.46	          3.82	21.81	9.90	8.27	          2.03	0.00	          0.15	          0.64	         58.23	   7.22㈢	         45.17	         42.39	         18.69	600371	--  	--  	--  	
600265	ST景谷	-1.06	0.72	林业	50	27.21	28.23	0.72	2070	57	          0.16	4.88	28.59	28.00	-0.163㈢	--  	5748658	  0.86	         36.34亿	云南	28.59	27.77	1166	903	  1.29	28.00	7	  0.14	          1.30	-0.30	         36.34亿	    179	--  	     12	        0.0009	20190213	20000825	          1.30	--  	--  	3.18	0.08	         -0.03	98.57	2.18	0.58	0.21	1.14	2.83	1.89	0.06	0.54	0.54	-0.23	0.00	-0.21	-0.21	-0.21	-4.19	0.04	0.03	4037.00	         13341	37.36万	-12.76	19.43	        481.90	811.90	67.33	28.30	          0.06	0.00	          2.18	         -3.23	          2.37	-280.28㈢	         -0.31	        -42.28	        -39.16	600265	--  	--  	--  	
002548	金新农	-8.14	0.50	饲料	36	9.85	10.06	0.50	180473	951	          5.33	7.13	10.63	10.05	-0.140㈢	--  	182343136	  0.68	         34.02亿	深圳	10.49	10.10	113386	67087	  1.69	10.05	924	 -6.32	          3.38	-0.89	         38.25亿	   3176	--  	     57	        0.0017	20190306	20110218	          3.81	--  	--  	42.41	16.19	          2.16	56.75	16.85	8.55	2.20	18.97	8.72	3.06	4.44	21.55	18.67	-0.39	0.37	-0.48	-0.42	-0.55	2.29	-1.41	0.18	29408.00	          6466	6.50万	-159.73	-10.89	          2.89	-27.07	1.77	10.94	          3.48	3.48	          2.29	          0.60	         38.16	  -3.38㈢	         13.34	         -1.83	         -2.54	002548	--  	--  	--  	
000735	罗 牛 山	-5.57	0.49	农业综合	4715	11.92	12.22	0.49	876435	6902	          8.27	7.27	12.86	12.21	0.338㈢	    27.06	1083579008	  0.66	        129.38亿	海南	12.70	12.36	498411	378024	  1.32	12.21	2857	 -3.75	         10.60	-0.72	        140.60亿	   4599	--  	    191	        0.0018	20190311	19970611	         11.52	--  	--  	62.76	39.22	          1.20	35.60	15.72	21.40	3.32	10.21	15.89	7.10	0.12	8.79	6.49	4.11	3.79	4.17	3.93	3.90	10.87	0.49	-2.94	157300.00	          6061	7.40万	162.80	-17.77	          3.58	288.76	16.00	12.93	          3.41	0.00	          1.38	          0.94	         62.49	   9.94㈢	         26.16	         46.76	         44.35	000735	20180417	11.97	2.01	
002100	天康生物	-9.62	0.47	饲料	533	8.51	8.56	0.47	406344	4428	          4.22	8.35	9.30	8.55	0.270㈢	    23.82	356344864	  0.82	         82.37亿	新疆	9.25	8.77	230765	175578	  1.31	8.55	1076	 -7.80	          9.63	-0.91	         82.37亿	   3543	--  	    115	        0.0012	20190312	20061226	          9.63	--  	--  	67.84	31.49	          0.79	52.41	42.59	16.66	1.64	23.07	5.66	8.04	6.03	37.11	29.33	2.72	0.01	2.72	2.51	2.59	14.09	0.79	2.28	49956.00	          9303	7.95万	-19.12	7.06	          2.46	103.94	2.22	9.46	          3.47	3.47	          0.59	          1.46	         46.42	   8.23㈢	         20.97	          7.32	          6.99	002100	--  	--  	--  	
000702	正虹科技	-4.60	0.47	饲料	102	6.24	6.44	0.47	120938	380	          4.54	6.82	6.70	6.43	0.185㈢	    26.11	78339168	  0.66	         17.14亿	湖南	6.62	6.48	73582	47356	  1.55	6.43	1160	 -2.78	          2.67	-0.31	         17.14亿	   2183	--  	     55	        0.0021	20190213	19970318	          2.67	--  	--  	7.52	5.15	          0.00	31.45	3.64	2.33	0.21	2.22	1.83	1.68	0.05	10.46	9.67	0.56	-0.00	0.65	0.47	0.49	0.20	0.36	0.69	28378.00	          7034	4.52万	185.49	7.81	          3.33	47.47	1.64	6.74	          1.93	0.00	          0.68	          0.08	         68.50	   9.56㈢	          7.59	          5.32	          4.71	000702	--  	--  	--  	
