代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
603226	菲林格尔	0.05	1.29	家居用品	62	18.40	18.80	1.29	11330	663	          3.86	3.78	19.11	18.80	0.840㈢	    21.07	21186266	  0.60	          5.51亿	上海	18.80	18.70	5115	6214	  0.82	18.76	79	  1.25	          0.29	0.01	         21.90亿	    805	--  	     14	        0.0048	20190131	20170615	          1.16	--  	--  	10.53	7.89	          0.00	25.05	5.26	2.74	0.57	2.57	3.48	1.39	0.01	6.26	4.31	0.88	0.11	0.92	0.78	0.78	3.24	0.97	0.76	8119.00	          3611	6.79万	27.00	5.45	          2.77	22.55	3.50	18.79	          6.78	0.00	          2.99	          2.79	         74.95	   9.88㈢	         31.21	         14.00	         12.45	603226	--  	--  	--  	
603313	梦百合	2.38	0.90	家居用品	5	24.03	25.85	0.90	31801	521	          3.86	8.00	26.05	25.85	0.460㈢	    42.44	79976528	  1.05	         21.29亿	江苏	25.00	25.15	16762	15039	  1.11	25.84	106	  3.57	          0.82	0.60	         62.48亿	   2130	--  	     15	        0.0018	20190222	20161013	          2.42	--  	--  	28.24	16.38	          0.27	41.05	17.85	5.49	1.24	11.40	8.90	3.82	4.73	21.04	14.71	1.50	-0.00	1.55	1.17	1.10	4.30	0.43	0.07	19492.00	          4225	10.92万	-23.84	26.84	          3.79	144.93	2.97	25.25	          6.82	6.82	          3.68	          1.78	         58.00	   6.74㈢	         30.10	          7.15	          5.25	603313	--  	--  	--  	
603848	好太太	-0.40	0.87	家居用品	195	17.00	17.36	0.87	25685	395	          3.61	2.41	17.42	17.35	0.464㈢	    28.02	44273492	  0.94	         12.34亿	广东	17.40	17.24	13312	12372	  1.08	17.35	10	  0.80	          0.71	-0.07	         69.57亿	   1006	--  	     26	        0.0036	20181130	20171201	          4.01	--  	--  	14.14	12.06	          0.00	14.72	10.35	0.53	0.62	2.08	3.38	0.56	0.32	9.02	5.28	2.12	0.28	2.18	1.86	1.86	4.31	0.64	-2.38	12119.00	          4011	6.96万	35.09	18.16	          5.77	109.29	7.71	17.42	          3.01	0.00	          0.84	          1.07	         85.28	  15.45㈢	         41.47	         23.53	         20.64	603848	20171219	22.14	-20.93	
603208	江山欧派	-2.84	0.83	家居用品	3	30.88	31.50	0.83	6799	357	          2.21	4.19	32.24	31.50	1.335㈢	    17.70	21339884	  0.67	          9.71亿	浙江	32.00	31.39	4463	2336	  1.91	31.39	114	 -1.64	          0.31	-0.92	         25.46亿	    711	--  	     10	        0.0031	20190213	20170210	          0.81	--  	--  	19.41	10.53	          0.71	42.12	12.07	3.06	1.71	6.22	5.18	2.08	2.53	8.61	5.67	1.23	0.10	1.22	1.07	1.08	4.04	0.89	-4.97	6789.00	          3590	11.31万	21.22	25.76	          2.31	28.51	2.96	32.42	         13.61	13.61	          6.40	          5.00	         54.23	  10.25㈢	         34.19	         14.25	         12.53	603208	--  	--  	--  	
300749	顶固集创	-2.13	0.65	家居用品	1	33.40	35.47	0.65	62315	664	         21.87	7.67	36.18	35.46	0.452㈢	    58.89	218278480	  0.70	         10.11亿	广东	35.10	35.03	34911	27404	  1.27	35.46	43	 -0.31	          0.29	-0.77	         40.42亿	   2859	--  	     22	        0.0076	20190213	20180925	          1.14	--  	--  	10.26	7.15	          0.00	30.34	6.87	2.14	0.82	3.05	3.42	1.53	0.78	5.46	3.39	0.61	0.01	0.60	0.51	0.51	2.32	0.21	2.89	14034.00	          2031	7.20万	0.00	0.00	          5.66	192.47	7.40	36.23	          6.27	0.00	          3.00	          2.04	         69.65	   7.20㈢	         37.93	         11.09	          9.43	300749	20181022	33.35	6.33	
603898	好莱客	-3.07	0.63	家居用品	104	17.43	17.69	0.63	30378	686	          0.98	4.50	18.25	17.67	0.970㈢	    13.59	53775628	  0.88	         54.71亿	广东	18.13	17.70	18385	11993	  1.53	17.67	2	 -1.87	          3.10	-0.56	         55.54亿	   1741	--  	     17	        0.0006	20190226	20150217	          3.14	--  	--  	27.44	22.90	          0.00	16.53	14.87	4.84	1.49	4.39	9.47	0.81	0.26	15.18	9.05	3.17	0.28	3.66	3.07	3.07	9.91	2.44	-0.65	10615.00	          9688	17.12万	37.30	21.29	          2.42	22.75	3.66	18.23	          7.29	0.00	          3.01	          3.15	         83.47	  13.39㈢	         40.37	         20.88	         20.19	603898	--  	--  	--  	
002631	德尔未来	4.14	0.59	家居用品	3473	8.10	8.56	0.59	195511	4266	          3.02	5.60	8.56	8.55	0.190㈢	    33.82	164686400	  1.65	         55.29亿	江苏	8.11	8.42	78235	117275	  0.67	8.55	1105	  5.96	          6.47	0.34	         57.10亿	   3369	--  	     58	        0.0009	20190213	20111111	          6.68	--  	--  	24.26	17.51	          0.86	24.31	15.82	4.52	2.02	5.83	1.98	4.15	0.00	12.74	8.52	1.63	0.17	1.66	1.22	1.27	8.04	0.74	1.43	48012.00	          4754	4.06万	1.14	13.68	          3.26	76.66	4.48	8.21	          2.62	0.00	          0.30	          1.20	         72.16	   7.23㈢	         33.14	         12.82	          9.94	002631	20180723	9.28	-7.87	
002853	皮阿诺	-1.22	0.36	家居用品	10	19.30	19.45	0.36	15065	169	          2.60	4.22	20.13	19.45	0.656㈢	    22.23	29595476	  0.65	         11.29亿	广东	19.70	19.65	8907	6158	  1.45	19.43	8	  0.60	          0.58	-0.24	         30.21亿	   1262	--  	     12	        0.0021	20190213	20170310	          1.55	--  	--  	15.42	9.88	          0.71	31.32	11.21	1.72	1.03	4.42	4.88	1.61	3.42	7.77	5.02	1.19	0.15	1.19	1.01	1.02	3.02	-0.57	1.08	19647.00	          2954	5.74万	45.91	40.21	          3.06	-53.00	3.89	19.69	          6.36	0.00	          3.14	          1.94	         64.08	  10.32㈢	         35.41	         15.32	         13.12	002853	20170808	82.76	-40.40	
002240	威华股份	0.41	0.31	家居用品	1239	9.48	9.80	0.31	176427	2119	          3.60	5.53	10.02	9.80	0.299㈣	    32.79	171918592	  0.84	         48.08亿	广东	9.78	9.74	90096	86330	  1.04	9.79	352	  2.23	          4.91	0.04	         52.46亿	   2809	--  	     63	        0.0013	20190213	20080523	          5.35	--  	--  	36.64	21.62	          0.82	38.74	17.48	14.86	1.43	12.38	15.12	10.11	0.00	25.24	21.74	1.52	-0.08	1.58	1.53	1.60	0.68	-0.01	-1.47	31300.00	         11505	11.27万	509.31	25.04	          2.43	-3681.92	2.08	9.76	          4.04	0.00	          2.82	          0.13	         59.01	   7.40㈣	         13.87	          6.01	          6.34	002240	--  	--  	--  	
603615	茶花股份	-1.48	0.30	家居用品	214	9.76	10.01	0.30	36576	316	          4.89	3.35	10.10	10.01	0.240㈢	    31.29	36280688	  0.77	          7.49亿	福建	9.97	9.92	20849	15726	  1.33	9.99	80	 -0.28	          0.75	-0.15	         24.02亿	   1220	--  	     30	        0.0040	20190213	20170213	          2.40	--  	--  	14.19	13.36	          0.00	5.88	9.56	3.44	0.48	0.79	6.70	1.41	0.92	5.58	4.07	0.75	0.13	0.77	0.58	0.58	3.88	0.89	-5.86	23843.00	          3140	3.14万	-16.36	5.86	          1.80	27.07	4.30	10.16	          5.57	0.00	          2.79	          1.62	         94.12	   4.31㈢	         27.10	         13.48	         10.32	603615	--  	--  	--  	
