代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
000016	深康佳Ａ	1.97	1.52	家用电器	1628	4.38	4.67	1.52	423613	8989	          2.65	6.77	4.69	4.67	0.179㈢	    19.62	192750736	  0.93	         74.56亿	深圳	4.56	4.55	223878	199735	  1.12	4.66	3278	  3.78	         15.97	0.09	        112.45亿	   2894	--  	    146	        0.0009	20190306	19920327	         24.08	          8.11	--  	314.59	80.16	         14.24	69.99	220.23	23.05	4.99	205.88	1.05	58.34	47.71	297.62	280.64	4.15	8.02	4.46	5.79	4.30	43.00	-28.97	7.82	88015.00	         21407	10.00万	233.60	47.60	          1.40	-3.88	0.38	4.58	          3.33	0.00	          0.04	          1.79	         25.48	   5.36㈢	          5.71	          1.40	          1.44	000016	--  	--  	--  	
002035	华帝股份	0.44	1.14	家用电器	474	11.20	11.50	1.14	156503	1922	          2.00	4.19	11.68	11.50	0.500㈢	    17.19	179465136	  0.57	         90.03亿	广东	11.40	11.47	79917	76586	  1.04	11.49	684	  2.25	          7.83	0.05	        101.39亿	   3257	--  	     48	        0.0006	20190312	20040901	          8.82	--  	--  	51.58	24.73	          0.86	50.38	39.29	5.66	1.97	25.68	1.34	3.51	9.61	46.46	24.89	5.38	0.19	5.41	4.53	4.42	13.12	2.47	6.10	35722.00	         18530	21.31万	41.91	13.78	          3.90	41.03	2.18	11.45	          2.95	2.95	          0.15	          1.49	         47.94	  17.89㈢	         46.43	         11.59	          9.52	002035	--  	--  	--  	
002723	金莱特	-5.07	0.68	家用电器	448	10.06	10.30	0.68	58099	1026	          3.35	7.47	10.87	10.30	-0.080㈢	--  	60276260	  0.63	         17.89亿	广东	10.78	10.37	32336	25762	  1.26	10.29	96	 -3.25	          1.74	-0.55	         19.67亿	   1729	--  	     34	        0.0019	20190213	20140129	          1.91	--  	--  	10.60	6.40	          0.00	39.65	4.54	4.34	0.54	4.15	2.28	1.96	1.67	6.82	6.24	-0.16	-0.04	-0.16	-0.14	-0.14	1.89	-0.54	-0.16	13452.00	          5167	5.32万	-196.41	-14.40	          3.01	-36.39	2.89	10.85	          3.43	3.43	          1.20	          0.99	         60.35	  -2.24㈢	          8.45	         -2.38	         -2.11	002723	--  	--  	--  	
002759	天际股份	1.26	0.62	家用电器	266	9.15	9.68	0.62	125611	4715	          6.68	6.80	9.80	9.68	0.108㈢	    66.94	120332616	  1.17	         18.21亿	广东	9.51	9.58	57603	68008	  0.85	9.67	295	  3.07	          1.88	0.12	         43.77亿	   2249	--  	     56	        0.0030	20181221	20150528	          4.52	--  	--  	38.57	33.74	          0.00	12.51	7.57	6.03	1.38	4.61	26.14	1.84	2.40	6.16	4.48	0.59	0.00	0.59	0.49	0.49	2.73	0.97	0.08	19728.00	          6129	5.93万	-68.77	-4.36	          1.30	45.34	7.11	9.56	          7.46	0.00	          5.78	          0.60	         87.49	   1.45㈢	         27.26	          9.53	          7.97	002759	--  	--  	--  	
603996	中新科技	-2.88	0.58	家用电器	326	10.25	10.46	0.58	74087	1213	          2.47	5.67	10.86	10.45	0.298㈢	    26.34	77809448	  0.50	         31.37亿	浙江	10.62	10.50	41581	32506	  1.28	10.45	142	 -1.68	          3.00	-0.31	         31.37亿	   2123	--  	     35	        0.0012	20190215	20151222	          3.00	--  	--  	49.21	15.71	          0.00	68.08	42.93	5.15	0.52	31.34	5.57	12.38	19.62	57.00	51.26	1.02	0.00	1.05	0.89	0.89	6.33	-2.06	-1.81	26053.00	          3928	4.10万	27.56	38.21	          2.00	-15.24	0.55	10.76	          5.23	0.00	          1.86	          2.11	         31.92	   5.69㈢	         10.07	          1.79	          1.57	603996	--  	--  	--  	
002677	浙江美大	1.81	0.57	家用电器	300	12.05	12.38	0.57	69404	2126	          2.43	2.96	12.41	12.38	0.383㈢	    24.25	85039072	  0.71	         35.40亿	浙江	12.12	12.25	34795	34609	  1.01	12.37	597	  3.62	          2.86	0.22	         79.98亿	   2362	--  	     29	        0.0010	20190312	20120525	          6.46	--  	--  	16.73	12.35	          0.00	26.15	9.12	3.32	1.01	4.34	1.04	1.03	0.35	9.33	4.54	2.91	0.08	2.90	2.47	2.47	4.16	2.56	-1.45	24207.00	          9040	11.19万	36.87	42.46	          5.87	31.28	8.57	12.16	          2.11	2.11	          0.16	          0.64	         73.85	  20.02㈢	         51.33	         31.15	         26.50	002677	--  	--  	--  	
603355	莱克电气	0.95	0.55	家用电器	114	24.72	25.46	0.55	15336	31	          0.38	4.48	25.85	25.46	0.844㈢	    22.63	38714420	  0.82	        102.09亿	江苏	25.29	25.24	7415	7920	  0.94	25.45	29	  2.15	          4.01	0.24	        102.09亿	   2512	--  	      6	        0.0002	20190213	20150513	          4.01	--  	--  	51.84	35.02	          0.02	32.39	39.70	7.99	1.57	16.67	7.95	6.84	9.94	42.62	32.27	3.80	-0.01	3.87	3.38	3.38	21.05	5.82	0.77	13440.00	          7820	19.91万	23.37	5.88	          2.91	17.56	2.40	25.22	          8.73	0.00	          1.98	          5.25	         67.57	   9.66㈢	         24.28	          8.91	          7.94	603355	--  	--  	--  	
002242	九阳股份	-1.62	0.54	家用电器	35	20.00	20.61	0.54	81834	911	          1.07	5.25	21.10	20.61	0.742㈢	    20.84	167117904	  0.76	        157.04亿	山东	20.83	20.42	39367	42467	  0.93	20.60	281	  0.19	          7.62	-0.34	        158.18亿	   3087	--  	     27	        0.0003	20190121	20080528	          7.68	--  	--  	51.92	35.87	          0.28	30.37	33.63	7.16	1.49	15.73	8.19	5.82	2.24	54.38	36.77	6.50	1.31	6.53	5.65	5.69	16.16	4.18	-0.64	35352.00	          7051	14.53万	5.68	7.35	          4.41	37.80	2.91	20.95	          4.67	0.00	          1.07	          2.11	         69.08	  15.87㈢	         32.39	         11.95	         10.47	002242	--  	--  	--  	
300403	汉宇集团	-1.50	0.51	家用电器	132	5.80	5.91	0.51	53044	1035	          1.39	4.83	6.09	5.91	0.210㈢	    21.14	31342132	  0.60	         22.51亿	广东	5.98	5.91	31316	21727	  1.44	5.89	96	  0.32	          3.81	-0.09	         35.64亿	   1248	--  	     43	        0.0011	20190311	20141030	          6.03	--  	--  	15.77	12.95	          0.04	17.71	8.31	2.51	1.07	2.59	1.78	1.46	2.00	5.90	3.70	1.38	0.05	1.45	1.22	1.26	4.21	0.94	-2.73	15174.00	         14169	8.37万	-5.67	3.11	          2.67	37.78	6.04	6.00	          2.21	2.21	          0.30	          0.70	         82.07	   9.77㈢	         37.23	         23.34	         21.42	300403	20180510	7.81	-19.01	
000810	创维数字	-4.26	0.50	家用电器	1270	9.80	10.13	0.50	347872	2697	          3.58	9.08	10.76	10.12	0.220㈢	    35.42	354613472	  0.61	         98.21亿	四川	10.47	10.19	188924	158947	  1.19	10.12	113	 -2.44	          9.70	-0.45	        108.70亿	   3738	--  	     93	        0.0010	20190102	19980602	         10.74	--  	--  	80.37	29.65	          0.63	62.32	66.98	6.61	1.67	48.56	4.43	12.02	43.27	54.73	45.87	2.02	-0.00	2.00	2.23	2.30	15.81	-4.89	-3.03	44531.00	          7344	7.43万	370.55	6.41	          3.67	-22.21	1.99	10.57	          2.76	0.00	          0.41	          1.47	         36.89	   7.76㈢	         16.20	          3.68	          4.21	000810	20180313	7.58	33.51	
