代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000038	深大通	1.31	0.08	广告包装	1117	12.78	--  	13.14	41676	579	          2.14	2.85	13.15	13.13	0.421㈢	    23.39	54221008	  0.71	         25.60亿	深圳	12.83	13.01	19427	22249	  0.87	13.13	156	 -2.46	
000607	华媒控股	2.09	0.19	广告包装	1086	5.20	--  	5.37	101508	1594	          1.15	3.80	5.40	5.37	0.060㈢	    67.10	54032412	  0.67	         47.52亿	浙江	5.33	5.32	51752	49756	  1.04	5.36	2367	 -1.68	
000659	珠海中富	1.16	0.29	广告包装	1784	3.39	--  	3.48	114356	1300	          0.89	2.91	3.49	3.48	0.019㈢	   139.78	39424284	  0.98	         44.74亿	广东	3.44	3.45	59307	55048	  1.08	3.47	2144	 -2.61	
000812	陕西金叶	2.38	0.00	广告包装	1670	4.52	--  	4.74	253738	2861	          3.79	6.26	4.81	4.74	0.033㈢	   109.28	118645240	  0.60	         31.72亿	陕西	4.67	4.68	131570	122168	  1.08	4.73	1371	 -1.40	
002117	东港股份	2.56	0.10	广告包装	69	18.85	--  	19.64	136652	1250	          3.76	4.96	19.80	19.64	0.706㈣	    27.83	263945552	  1.68	         71.42亿	山东	19.35	19.32	66531	70121	  0.95	19.63	840	 -1.22	
002188	*ST巴士	0.24	-0.22	广告包装	1377	4.16	--  	4.27	41497	916	          1.88	4.94	4.37	4.26	-2.168㈣	--  	17724492	  0.57	          9.39亿	浙江	4.22	4.27	22871	18626	  1.23	4.26	500	 -3.54	
002191	劲嘉股份	-2.61	-0.06	广告包装	1006	13.11	--  	14.19	938134	10303	          7.37	9.75	14.53	14.19	0.372㈢	    28.58	1307882240	  0.87	        180.54亿	深圳	14.10	13.94	508477	429657	  1.18	14.18	1021	 -6.38	
002228	合兴包装	0.00	-0.15	广告包装	896	5.89	--  	6.08	358201	5075	          3.07	4.45	6.16	6.07	0.199㈣	    30.46	215343952	  1.04	         70.74亿	福建	6.00	6.01	184132	174069	  1.06	6.07	566	 -3.77	
002229	鸿博股份	2.00	0.23	广告包装	286	8.25	--  	8.65	169293	4269	          4.11	4.83	8.66	8.65	-0.011㈢	--  	143809648	  0.75	         35.61亿	福建	8.52	8.49	80274	89019	  0.90	8.64	238	 -1.77	
002400	省广集团	5.56	0.76	广告包装	17976	3.73	--  	3.99	527948	11082	          3.19	6.88	3.99	3.99	0.085㈢	    35.22	203555056	  1.07	         66.12亿	广东	3.78	3.86	197283	330665	  0.60	3.98	3949	  1.78	
002599	盛通股份	2.51	-0.43	广告包装	9	10.90	--  	11.43	36128	341	          1.79	5.39	11.50	11.42	0.223㈢	    38.45	40441940	  1.20	         23.10亿	北京	11.21	11.19	18796	17332	  1.08	11.42	26	 -1.26	
002701	奥瑞金	2.39	1.01	广告包装	3175	5.82	--  	6.00	418972	15658	          1.78	2.91	5.99	5.99	0.298㈢	    15.07	247297696	  1.01	        140.97亿	北京	5.93	5.90	200614	218358	  0.92	5.99	5801	 -1.38	
002712	思美传媒	-1.21	0.00	广告包装	1759	8.40	--  	8.99	321844	4759	         10.36	7.69	9.10	8.99	0.350㈢	    19.60	282260256	  0.97	         27.92亿	浙江	8.79	8.77	167815	154029	  1.09	8.98	695	 -4.98	
002752	昇兴股份	2.16	0.00	广告包装	373	7.36	--  	7.57	25831	303	          1.52	2.83	7.57	7.57	0.047㈢	   122.01	19314124	  0.65	         12.89亿	福建	7.40	7.48	12077	13754	  0.88	7.56	98	 -1.62	
002787	华源控股	1.07	-0.10	广告包装	184	9.11	--  	9.44	71247	1739	          4.59	4.18	9.50	9.44	0.190㈢	    39.93	66841136	  0.48	         14.65亿	江苏	9.39	9.38	38315	32931	  1.16	9.43	102	 -2.70	
002799	环球印务	1.92	0.00	广告包装	20	14.62	--  	15.37	16772	405	          2.18	5.50	15.45	15.37	0.107㈢	   107.37	25512694	  0.80	         11.82亿	陕西	15.08	15.21	7764	9007	  0.86	15.33	144	 -1.85	
002803	吉宏股份	1.20	-0.16	广告包装	126	21.88	--  	22.84	68038	917	          8.72	6.21	23.28	22.83	0.666㈢	    25.71	154019024	  0.80	         17.82亿	福建	22.40	22.64	32289	35749	  0.90	22.83	79	 -2.58	
002812	恩捷股份	-0.47	0.41	广告包装	46	59.55	--  	60.88	25962	362	          2.04	3.29	61.56	60.80	0.780㈢	    66.97	156693008	  1.14	         77.25亿	云南	61.56	60.35	14806	11156	  1.33	60.80	84	 -4.25	
002831	裕同科技	2.76	-0.03	广告包装	7	55.36	--  	56.90	32841	585	          2.75	3.25	57.16	56.88	2.364㈣	    24.06	186005792	  0.68	         67.91亿	深圳	55.99	56.64	14372	18468	  0.78	56.88	20	 -1.01	
002836	新宏泽	2.97	0.18	广告包装	512	15.02	--  	16.28	82128	1083	         14.57	9.87	16.58	16.28	0.156㈢	    78.14	128542168	  1.29	          9.18亿	广东	15.36	15.65	45880	36247	  1.27	16.27	47	 -0.80	
002846	英联股份	0.00	0.80	广告包装	65	13.32	--  	13.78	70509	1436	         13.31	4.64	13.96	13.78	0.127㈢	    81.26	96298520	  1.09	          7.30亿	广东	13.58	13.66	35470	35039	  1.01	13.70	372	 -3.77	
002951	金时科技	2.08	0.12	广告包装	2083	32.20	--  	34.42	316113	3404	         70.25	14.00	36.92	34.42	0.483㈣	    71.34	1066863872	 33.77	         15.49亿	四川	33.00	33.75	155665	160447	  0.97	34.41	36	 -1.70	
300057	万顺股份	5.97	0.13	广告包装	298	7.58	--  	7.99	214277	2781	          5.63	6.63	8.08	7.99	0.160㈢	    44.32	168249968	  0.96	         30.41亿	广东	7.65	7.85	92668	121608	  0.76	7.98	2324	  2.19	
300058	蓝色光标	2.81	0.18	广告包装	4888	5.20	--  	5.48	531649	3694	          3.20	6.00	5.52	5.48	0.190㈢	    21.72	287309760	  0.77	         91.10亿	北京	5.32	5.40	232234	299415	  0.78	5.47	625	 -0.96	
300071	华谊嘉信	3.13	0.00	广告包装	451	3.65	--  	3.95	197392	3751	          4.73	8.36	3.97	3.95	0.064㈢	    46.47	75457840	  1.32	         16.47亿	北京	3.84	3.82	90228	107163	  0.84	3.94	1348	 -0.64	
300501	海顺新材	3.21	0.00	广告包装	54	21.28	--  	22.20	10156	211	          1.87	4.51	22.25	22.20	0.660㈣	    35.02	22321396	  1.03	         12.03亿	上海	22.25	21.98	4035	6120	  0.66	22.18	40	 -0.57	
300612	宣亚国际	5.85	-0.79	广告包装	37	23.80	--  	26.05	79183	1514	         17.47	10.98	26.50	26.04	0.046㈢	   420.85	200209744	  1.59	         11.81亿	北京	24.09	25.28	36591	42592	  0.86	26.04	4	  2.08	
600210	紫江企业	2.21	0.00	广告包装	3335	4.40	--  	4.63	400783	1909	          2.64	5.31	4.64	4.62	0.258㈢	    13.44	182145136	  0.60	         70.07亿	上海	4.52	4.54	186849	213934	  0.87	4.62	2069	 -0.99	
600836	界龙实业	2.54	0.19	广告包装	863	5.00	--  	5.24	158995	2212	          2.40	5.28	5.27	5.24	0.007㈢	   557.52	81982104	  0.84	         34.73亿	上海	5.11	5.16	81985	77010	  1.06	5.23	1446	 -0.66	
600880	博瑞传播	2.53	-0.66	广告包装	337	4.31	--  	4.47	173985	2764	          1.59	4.14	4.49	4.46	0.021㈢	   156.31	76872024	  0.44	         48.75亿	四川	4.33	4.42	86350	87634	  0.99	4.46	219	 -0.67	
601515	东风股份	-6.49	-0.22	广告包装	394	12.75	--  	13.26	711695	12122	          6.40	9.74	14.13	13.25	0.673㈣	    19.70	926950336	  1.14	        147.34亿	广东	12.78	13.02	288342	423353	  0.68	13.25	1306	 -9.69	
601968	宝钢包装	2.02	0.00	广告包装	1802	4.89	--  	5.05	47604	211	          0.57	3.24	5.05	5.04	0.034㈢	   109.89	23730828	  0.60	         42.00亿	上海	4.92	4.99	20906	26698	  0.78	5.04	1974	 -1.18	
603022	新通联	1.51	0.00	广告包装	122	9.09	--  	9.41	27355	257	          1.37	3.99	9.46	9.41	0.159㈢	    44.33	25505134	  0.48	         18.82亿	上海	9.28	9.32	14203	13151	  1.08	9.40	118	 -1.69	
603058	永吉股份	1.82	0.00	广告包装	198	10.72	--  	11.20	39352	493	          1.76	4.73	11.24	11.20	0.210㈢	    39.17	43315284	  0.92	         25.01亿	贵州	11.06	11.01	19128	20223	  0.95	11.19	785	 -1.38	
603429	集友股份	-0.30	0.25	广告包装	5	34.60	--  	36.39	31983	446	          3.28	6.44	36.95	36.39	0.606㈣	    60.04	114280096	  0.70	         35.51亿	安徽	36.20	35.73	13556	18426	  0.74	36.38	44	 -3.50	
603499	翔港科技	2.85	0.00	广告包装	32	28.53	--  	29.95	33907	174	         13.56	4.98	29.98	29.93	0.480㈣	    63.09	99742288	  1.81	          7.48亿	上海	28.63	29.42	14622	19284	  0.76	29.93	39	 -0.35	
603729	龙韵股份	3.25	0.05	广告包装	35	20.88	--  	21.90	44019	837	          4.72	4.81	21.90	21.89	0.205㈢	    79.98	94800808	  0.88	         20.43亿	上海	21.09	21.54	20730	23288	  0.89	21.89	320	  0.06	
数据来源:通达信
