代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
603398	邦宝益智	-1.26	1.13	文教休闲	3	12.31	12.56	1.13	32594	870	          1.54	5.11	12.96	12.56	0.145㈢	    64.81	41110336	  0.56	         26.59亿	广东	12.61	12.61	18273	14320	  1.28	12.53	141	 -0.06	          2.12	-0.16	         26.72亿	   1685	--  	     19	        0.0009	20190213	20151209	          2.13	--  	--  	9.69	6.42	          0.00	33.80	3.39	2.34	0.05	3.23	2.25	1.30	0.89	2.54	1.68	0.33	0.02	0.35	0.31	0.31	1.84	0.13	-2.78	17223.00	          3803	4.78万	-33.21	8.45	          4.17	206.73	10.54	12.72	          3.02	0.00	          1.06	          0.86	         66.20	   4.82㈢	         33.78	         12.98	         12.20	603398	20180612	15.86	-20.25	
002105	信隆健康	-2.62	1.05	文教休闲	39	4.70	4.84	1.05	44011	337	          1.19	5.04	4.95	4.83	0.014㈢	   256.97	21187018	  0.87	         17.80亿	深圳	4.93	4.81	21594	22416	  0.96	4.83	843	 -0.81	          3.69	-0.13	         17.80亿	   1200	--  	     37	        0.0010	20190301	20070112	          3.69	--  	--  	16.28	5.12	          0.52	65.36	9.83	5.12	0.68	9.76	0.61	2.62	3.63	10.55	9.20	-0.08	-0.02	0.01	-0.06	0.05	0.21	0.66	0.55	27168.00	          6973	3.37万	-88.19	-21.87	          3.43	26.89	1.69	4.96	          1.41	1.41	          0.17	          0.06	         31.47	   1.01㈢	         12.80	         -0.75	          0.49	002105	--  	--  	--  	
300651	金陵体育	2.72	0.96	文教休闲	4	53.55	55.50	0.96	7837	161	          3.15	6.02	56.80	55.50	0.357㈢	   116.69	43079404	  0.82	         13.80亿	江苏	53.58	54.97	3657	4180	  0.87	55.45	86	  4.54	          0.25	1.47	         42.03亿	    747	--  	     10	        0.0042	20190213	20170509	          0.76	--  	--  	9.54	6.39	          0.00	32.95	4.88	2.37	0.56	3.10	2.49	1.45	1.51	2.57	1.54	0.33	0.01	0.33	0.27	0.27	2.91	0.26	0.02	3861.00	          6441	35.75万	32.37	29.50	          6.57	162.32	16.36	54.03	          8.44	0.00	          3.28	          3.84	         67.05	   4.22㈢	         39.97	         12.94	         10.52	300651	20171116	38.67	43.52	
600679	上海凤凰	-5.23	0.87	文教休闲	731	11.38	11.59	0.87	50097	502	          2.17	6.30	12.15	11.59	0.066㈢	   131.00	58705304	  0.84	         26.73亿	上海	12.08	11.72	32156	17941	  1.79	11.58	15	 -4.04	          2.31	-0.64	         46.61亿	   1796	--  	     28	        0.0012	20181207	19931008	          4.02	          1.72	--  	18.23	13.51	          0.70	22.06	6.50	1.30	0.37	3.47	7.63	0.50	2.54	6.15	5.08	0.34	0.14	0.39	0.35	0.27	1.06	-0.62	-1.67	46506.00	          5279	6.12万	-58.32	-43.44	          3.45	-75.26	7.59	12.23	          3.36	0.00	          1.90	          0.26	         74.11	   1.98㈢	         17.41	          5.56	          4.34	600679	20180801	15.47	-25.08	
600234	ST山水	-4.23	0.69	文教休闲	112	7.19	7.25	0.69	8003	13	          0.40	5.15	7.58	7.25	-0.013㈢	--  	5870088	  0.71	         14.68亿	山西	7.58	7.33	4415	3588	  1.23	7.20	7	 -3.03	          2.02	-0.32	         14.68亿	    285	--  	     28	        0.0014	20190311	20000615	          2.02	--  	--  	5.32	0.69	          0.24	82.57	0.73	0.03	0.00	3.22	3.29	0.08	0.33	1.15	0.77	0.06	0.00	0.06	0.02	-0.03	-4.76	0.04	0.09	10155.00	         14229	10.32万	74.18	972.48	         21.29	413.20	12.74	7.57	          0.34	0.00	          1.62	         -2.35	         12.97	  -3.88㈢	         33.33	          5.49	         -2.32	600234	--  	--  	--  	
002678	珠江钢琴	-0.72	0.58	文教休闲	1542	6.66	6.94	0.58	58920	371	          0.43	6.15	7.09	6.94	0.105㈢	    49.48	40445164	  0.75	         94.18亿	广东	6.94	6.86	31105	27815	  1.12	6.93	728	  1.10	         13.57	-0.05	         94.27亿	   1436	--  	     41	        0.0003	20190213	20120530	         13.58	--  	--  	40.86	32.57	          0.34	19.46	23.89	6.99	2.06	6.38	9.81	8.15	3.06	15.52	10.82	1.72	0.08	1.69	1.41	1.43	7.79	-0.21	-1.30	19232.00	         17667	12.26万	11.49	16.16	          2.89	-446.49	6.07	6.99	          2.40	0.00	          0.72	          0.57	         79.70	   4.39㈢	         30.27	         11.05	          9.21	002678	--  	--  	--  	
000017	深中华A	-4.60	0.58	文教休闲	569	5.05	5.19	0.58	180772	3466	          5.97	7.54	5.46	5.19	0.002㈢	  1978.90	94071968	  0.75	         15.72亿	深圳	5.38	5.20	108049	72722	  1.49	5.18	495	 -2.78	          3.03	-0.25	         28.61亿	   2592	--  	     70	        0.0023	20190213	19920331	          5.51	          2.48	--  	0.70	0.17	          0.03	71.35	0.64	0.04	0.02	0.50	6.28	0.06	0.22	1.01	0.91	0.01	0.00	0.02	0.01	0.01	-11.95	0.00	0.00	54872.00	          8890	4.61万	179.54	6.00	        168.49	23416.49	28.26	5.44	          0.03	0.00	          1.14	         -2.17	         24.21	   6.39㈢	         10.16	          1.41	          1.07	000017	20180307	6.09	-14.78	
002348	高乐股份	-1.48	0.50	文教休闲	334	3.82	3.99	0.50	229442	2798	          3.09	6.67	4.09	3.99	0.042㈢	    70.66	90843784	  0.65	         29.65亿	广东	3.97	3.96	133173	96268	  1.38	3.98	2348	  0.33	          7.43	-0.06	         37.79亿	   2033	--  	    113	        0.0015	20190304	20100203	          9.47	--  	--  	18.56	13.15	          1.25	22.48	7.18	6.50	1.18	2.28	0.10	1.16	4.71	6.65	4.69	0.62	0.01	0.60	0.52	0.40	2.90	-0.30	-0.11	38269.00	         14528	5.80万	-3.13	45.22	          2.92	-125.86	5.68	4.05	          1.37	1.37	          0.01	          0.31	         70.82	   3.05㈢	         29.56	          9.30	          6.03	002348	--  	--  	--  	
002878	元隆雅图	-2.39	0.46	文教休闲	92	27.80	28.16	0.46	13136	150	          3.60	5.34	29.34	28.15	0.530㈢	    40.77	37135496	  0.61	         10.27亿	北京	29.28	28.27	7827	5309	  1.47	28.15	5	 -0.58	          0.37	-0.69	         36.71亿	   1244	--  	     11	        0.0029	20190312	20170606	          1.30	--  	--  	7.42	5.62	          0.05	23.52	6.92	0.07	0.02	1.72	2.58	0.36	2.96	6.79	5.10	0.81	0.04	0.81	0.68	0.68	1.76	0.03	-0.51	7165.00	          5094	14.34万	31.14	18.16	          6.11	1204.42	5.41	28.84	          4.61	4.61	          1.98	          1.35	         75.76	  12.01㈢	         24.90	         11.93	          9.95	002878	20170823	35.20	37.09	
000526	紫光学大	-1.00	0.46	文教休闲	97	23.02	23.80	0.46	22531	879	          2.34	4.04	23.99	23.79	0.710㈢	    25.13	52868400	  0.82	         22.88亿	福建	23.88	23.46	11877	10654	  1.11	23.79	115	  0.82	          0.96	-0.24	         22.88亿	   1020	--  	     22	        0.0023	20190213	19931101	          0.96	--  	--  	37.86	1.37	         -0.07	96.56	16.58	1.52	0.65	36.40	0.58	0.00	0.27	23.44	16.63	1.24	0.22	1.19	0.66	0.68	-0.22	3.36	1.25	12160.00	          4724	11.24万	7.31	2.64	         16.66	6.80	0.98	24.03	          1.43	0.00	          0.60	         -0.23	          3.63	  49.72㈢	         29.04	          5.30	          2.91	000526	--  	--  	--  	
300703	创源文化	-2.14	0.44	文教休闲	3	15.72	16.00	0.44	34648	673	          5.20	4.28	16.42	16.00	0.537㈢	    22.34	55468956	  0.70	         10.66亿	浙江	16.40	16.01	17760	16887	  1.05	15.99	87	 -0.33	          0.67	-0.35	         19.20亿	   2311	--  	     15	        0.0023	20190213	20170919	          1.20	--  	--  	9.32	6.19	          0.04	33.18	6.89	1.76	0.15	3.05	3.36	0.77	1.46	6.11	4.22	0.79	0.08	0.85	0.64	0.64	1.39	0.18	0.40	14246.00	          4045	6.47万	63.06	20.69	          3.10	104.26	3.14	16.35	          5.16	0.00	          2.80	          1.16	         66.41	  10.41㈢	         30.92	         12.97	         10.55	300703	20180601	32.37	-50.57	
002575	群兴玩具	-7.83	0.34	文教休闲	227	8.74	8.95	0.34	369245	2931	          6.27	8.65	9.58	8.95	0.012㈣	   761.24	333875968	  0.85	         52.69亿	广东	9.42	9.04	220744	148501	  1.49	8.94	1094	 -6.01	          5.89	-0.76	         52.69亿	   3599	--  	    103	        0.0017	20190305	20110422	          5.89	--  	--  	9.07	8.99	          0.00	0.98	3.08	0.00	0.42	0.05	1.54	0.00	0.00	0.19	0.16	0.07	0.16	0.07	0.07	0.07	1.21	0.19	-0.49	33500.00	          9812	8.78万	132.33	-64.69	          5.86	278.90	276.65	9.71	          1.53	0.00	          0.26	          0.21	         99.02	   0.77㈣	         18.27	         38.40	         36.34	002575	20180403	10.01	-10.59	
300329	海伦钢琴	-4.19	0.24	文教休闲	251	8.40	8.48	0.24	43895	326	          1.75	5.09	8.85	8.47	0.164㈢	    38.82	37484344	  0.61	         21.25亿	浙江	8.80	8.54	23436	20458	  1.15	8.47	102	 -2.37	          2.51	-0.37	         21.48亿	   1465	--  	     30	        0.0012	20190213	20120619	          2.54	--  	--  	10.96	8.79	          0.04	19.42	6.97	1.86	0.22	2.13	3.57	2.19	1.29	3.85	2.73	0.48	0.09	0.49	0.42	0.42	2.35	-0.15	-0.61	27881.00	          4972	4.21万	34.02	15.22	          2.45	-145.32	5.58	8.84	          3.46	0.00	          1.41	          0.93	         80.18	   4.72㈢	         29.03	         12.48	         10.78	300329	--  	--  	--  	
002301	齐心集团	-3.12	0.20	文教休闲	406	10.12	10.26	0.20	42369	411	          0.66	4.15	10.56	10.26	0.218㈢	    35.27	43484072	  0.49	         65.71亿	深圳	10.56	10.26	22955	19413	  1.18	10.25	44	 -1.30	          6.40	-0.33	         65.85亿	   1229	--  	     34	        0.0005	20190213	20091021	          6.42	--  	--  	61.71	25.26	          0.00	59.08	43.71	4.29	0.94	35.92	11.57	2.67	9.54	27.53	22.53	1.54	0.17	1.59	1.42	1.40	7.00	-2.21	0.10	11216.00	         29204	29.96万	43.60	24.91	          2.61	-29.79	2.39	10.59	          3.94	0.00	          1.80	          1.09	         40.92	   5.54㈢	         18.17	          5.60	          5.09	002301	--  	--  	--  	
