代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
000523	广州浪奇	0.40	0.40	日用化工	2	4.99	5.09	0.40	70967	922	          1.13	2.77	5.13	5.08	0.034㈢	   113.73	35810840	  0.63	         31.85亿	广东	5.01	5.05	41634	29332	  1.42	5.08	749	  2.21	          6.27	0.02	         31.88亿	   1205	--  	     59	        0.0009	20190213	19931108	          6.28	--  	--  	64.46	18.85	         -0.07	70.87	56.02	4.21	0.56	45.21	9.89	7.83	33.97	88.11	83.53	0.22	-0.01	0.25	0.19	0.21	2.08	-0.61	-1.68	36240.00	          9636	4.90万	-6.59	6.39	          1.69	-52.53	0.36	5.06	          3.00	0.00	          1.58	          0.33	         29.24	   1.12㈢	          5.20	          0.24	          0.24	000523	--  	--  	--  	
603630	拉芳家化	-4.32	0.30	日用化工	212	16.21	16.61	0.30	77552	563	          9.58	7.78	17.56	16.60	0.583㈢	    21.34	129309312	  0.59	         13.44亿	广东	17.38	16.67	39864	37688	  1.06	16.60	8	 -3.12	          0.81	-0.75	         37.64亿	   2031	--  	     38	        0.0047	20190213	20170313	          2.27	--  	--  	20.22	18.14	          0.10	9.84	16.69	0.61	0.49	1.87	8.21	3.41	1.01	7.09	2.85	1.51	0.24	1.54	1.32	1.32	6.99	0.45	4.11	19376.00	          4179	6.94万	34.03	-1.60	          2.08	84.31	5.31	17.35	          8.00	0.00	          3.62	          3.08	         89.68	   7.29㈢	         59.87	         21.25	         18.65	603630	--  	--  	--  	
600249	两面针	-4.00	0.21	日用化工	988	4.61	4.81	0.21	186492	1695	          3.39	7.20	4.97	4.80	0.004㈢	   922.95	89381120	  0.38	         26.40亿	广西	4.91	4.79	107929	78562	  1.37	4.80	450	 -2.80	          5.50	-0.20	         26.40亿	   2485	--  	     75	        0.0014	20190213	20040130	          5.50	--  	--  	26.01	18.33	         -1.13	33.89	7.76	8.96	2.40	7.19	8.57	3.59	1.41	8.95	7.20	-0.00	0.34	-0.04	-0.07	0.02	0.44	-0.06	-0.69	62315.00	          5355	2.57万	103.05	-16.97	          1.44	-479.52	2.95	5.00	          3.33	0.00	          1.56	          0.08	         70.47	   0.12㈢	         19.55	         -0.01	          0.24	600249	20180314	6.44	-25.47	
603605	珀莱雅	-3.43	0.02	日用化工	139	53.10	53.64	0.02	16225	126	          2.61	6.61	56.76	53.50	0.910㈢	    44.45	87985488	  0.71	         33.22亿	浙江	55.95	54.23	10660	5565	  1.92	53.50	9	 -2.23	          0.62	-1.90	        107.73亿	   2130	--  	      8	        0.0012	20181229	20171115	          2.01	--  	--  	25.94	15.88	         -0.01	38.83	15.96	2.48	3.31	8.29	8.05	2.56	0.61	15.60	5.75	2.28	0.12	2.30	1.81	1.82	5.53	1.86	-1.81	11892.00	          5221	27.93万	44.57	28.58	          6.78	57.80	6.91	55.40	          7.90	7.90	          4.00	          2.75	         61.20	  11.45㈢	         63.14	         14.60	         11.65	603605	--  	--  	--  	
300740	御家汇	-6.17	0.00	日用化工	351	17.18	17.49	0.00	87577	1442	          6.07	8.00	18.67	17.48	0.430㈢	    32.37	156093216	  0.63	         25.22亿	湖南	18.35	17.82	51173	36404	  1.41	17.48	120	 -4.36	          1.44	-1.15	         47.55亿	   3206	--  	     27	        0.0019	20190306	20180208	          2.72	--  	--  	20.80	13.78	         -0.01	33.78	19.26	1.13	0.09	6.59	7.55	7.20	1.41	16.06	7.54	1.36	0.15	1.37	1.09	1.10	3.39	-0.34	-0.20	22000.00	          5901	10.31万	0.00	0.00	          3.39	-138.26	2.96	18.63	          5.15	5.15	          2.77	          1.25	         66.25	   7.99㈢	         53.03	          8.45	          6.86	300740	--  	--  	--  	
002637	赞宇科技	-4.94	0.00	日用化工	10	8.31	8.47	0.00	103441	1495	          4.00	6.29	8.87	8.47	0.356㈢	    17.85	88252856	  1.27	         21.90亿	浙江	8.78	8.53	65057	38384	  1.69	8.46	358	 -3.12	          2.59	-0.44	         35.87亿	   2296	--  	     45	        0.0017	20190213	20111125	          4.23	--  	--  	65.86	22.21	          6.05	57.09	27.43	17.09	3.05	33.03	11.63	9.35	7.07	49.05	41.95	2.28	0.09	2.28	1.87	1.51	6.21	1.95	-0.62	15629.00	         14594	12.36万	82.73	-7.15	          1.61	18.37	0.73	8.91	          5.25	0.00	          2.75	          1.47	         33.73	   6.78㈢	         14.47	          4.66	          3.07	002637	20180613	9.65	-12.23	
002094	青岛金王	-3.49	0.00	日用化工	576	5.43	5.53	0.00	170284	914	          2.82	5.58	5.75	5.53	0.310㈢	    17.69	94485272	  0.68	         33.34亿	山东	5.67	5.55	99416	70868	  1.40	5.52	1224	 -1.68	          6.03	-0.20	         38.30亿	   2165	--  	     79	        0.0013	20181228	20061215	          6.93	--  	--  	60.96	29.35	          4.52	44.43	37.38	2.09	1.35	17.36	11.16	10.74	8.16	40.16	31.46	2.43	0.15	2.44	1.90	1.62	10.27	-6.67	-0.10	27701.00	         16424	9.08万	-57.44	24.01	          1.30	-5.74	0.95	5.73	          4.24	0.00	          1.61	          1.48	         48.15	   5.53㈢	         21.67	          6.04	          4.04	002094	--  	--  	--  	
000737	*ST南风	-4.09	0.00	日用化工	212	3.95	4.00	0.00	105284	515	          1.92	5.29	4.17	3.99	0.487㈣	     8.20	42436012	  0.98	         21.90亿	山西	4.14	4.03	67007	38277	  1.75	3.99	858	 -2.27	          5.49	-0.17	         21.90亿	   1104	--  	     95	        0.0017	20190305	19970428	          5.49	--  	--  	15.72	3.81	          0.13	74.91	7.98	4.24	2.15	9.85	9.91	2.14	0.00	18.27	13.75	2.89	3.45	2.84	2.61	2.67	-12.47	-2.11	2.66	42400.00	          8933	3.56万	163.50	-2.42	          5.75	-10.38	1.20	4.16	          0.69	0.00	          1.81	         -2.27	         24.23	  70.10㈣	         24.75	         15.80	         14.62	000737	20180125	4.84	-17.56	
600315	上海家化	-2.98	-0.09	日用化工	213	31.16	31.54	-0.09	64166	256	          0.96	4.22	32.53	31.53	0.805㈣	    39.17	204563648	  1.01	        211.64亿	上海	32.50	31.88	32118	32048	  1.00	31.53	94	 -1.79	          6.71	-0.97	        211.64亿	   2800	--  	     23	        0.0003	20190313	20010315	          6.71	--  	--  	101.60	58.13	          0.00	42.79	47.77	11.89	8.16	26.91	8.58	8.75	0.00	71.38	26.56	6.46	1.30	6.46	5.40	5.40	37.95	8.95	-1.67	22500.00	         15738	49.62万	38.63	10.01	          3.64	23.66	2.97	32.50	          8.66	0.00	          1.28	          5.65	         57.21	   9.30㈣	         62.79	          9.05	          7.57	600315	--  	--  	--  	
002919	名臣健康	-3.62	-0.58	日用化工	640	21.81	22.18	-0.58	14958	440	          5.31	5.76	23.13	22.08	0.313㈢	    52.90	33439418	  0.55	          6.22亿	广东	22.88	22.36	8758	6200	  1.41	22.08	28	 -1.81	          0.28	-0.83	         17.98亿	   1065	--  	     14	        0.0050	20181217	20171218	          0.81	--  	--  	6.56	5.47	          0.00	16.62	5.83	0.49	0.06	1.09	3.64	1.74	0.32	3.75	2.35	0.28	0.06	0.30	0.25	0.25	0.91	-0.43	-2.65	14557.00	          1936	4.28万	-28.98	-18.88	          3.29	-41.74	4.80	22.91	          6.71	0.00	          4.47	          1.12	         83.38	   4.66㈢	         37.36	          7.37	          6.81	002919	--  	--  	--  	
