代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600283	钱江水利	-6.56	0.53	水务	34	12.95	13.25	0.53	102012	1538	          2.89	8.25	14.12	13.25	0.255㈢	    39.01	136557904	  0.95	         46.77亿	浙江	13.96	13.39	61555	40456	  1.52	13.24	56	 -5.36	          3.53	-0.93	         46.77亿	   2388	--  	     43	        0.0012	20190213	20001018	          3.53	--  	--  	54.85	19.06	          3.88	58.18	15.04	24.00	4.66	21.89	11.62	2.97	0.70	7.86	4.79	1.46	0.43	1.48	1.17	0.90	2.54	3.49	2.26	24955.00	          4890	6.48万	46.78	8.59	          2.45	13.39	5.95	14.18	          5.40	0.00	          3.29	          0.72	         34.75	   4.72㈢	         39.07	         18.65	         11.45	600283	--  	--  	--  	
600168	武汉控股	-3.81	0.29	水务	67	6.78	6.83	0.29	71194	373	          1.00	4.80	7.12	6.82	0.321㈢	    15.95	49256276	  0.39	         48.39亿	湖北	7.03	6.92	42720	28474	  1.50	6.82	75	 -2.61	          7.10	-0.27	         48.39亿	   1513	--  	     47	        0.0007	20190213	19980427	          7.10	--  	--  	119.82	49.43	          2.42	56.73	35.03	55.95	4.43	32.14	15.13	0.20	22.00	10.50	7.03	2.41	0.05	2.62	2.27	2.28	24.72	2.65	4.90	39913.00	          7073	4.82万	-13.41	17.55	          0.98	18.25	4.61	7.09	          6.97	0.00	          2.13	          3.48	         41.26	   4.60㈢	         33.04	         22.95	         21.67	600168	--  	--  	--  	
600323	瀚蓝环境	-3.33	0.25	水务	194	16.03	16.25	0.25	114338	613	          1.49	4.46	16.78	16.24	0.971㈢	    12.55	186390320	  1.08	        124.44亿	广东	16.66	16.30	62520	51817	  1.21	16.24	245	 -2.14	          7.66	-0.56	        124.44亿	   2848	--  	     40	        0.0005	20190213	20001225	          7.66	--  	--  	151.37	57.01	          5.88	58.45	23.00	33.06	65.54	32.75	15.21	2.07	5.59	35.85	23.59	9.53	0.93	9.57	7.50	7.44	29.65	9.42	-1.40	30981.00	         13528	21.97万	36.30	17.16	          2.18	13.21	3.47	16.80	          7.44	0.00	          1.99	          3.87	         37.67	  13.04㈢	         34.20	         26.57	         20.74	600323	--  	--  	--  	
601199	江南水务	-4.41	0.24	水务	142	4.09	4.12	0.24	109717	1085	          1.17	4.87	4.30	4.12	0.150㈢	    20.01	45837524	  0.88	         38.53亿	江苏	4.30	4.18	75443	34274	  2.20	4.11	230	 -3.21	          9.35	-0.19	         38.53亿	   1517	--  	     72	        0.0008	20190215	20110317	          9.35	--  	--  	42.75	26.91	          0.61	35.61	13.37	19.38	1.54	10.46	3.92	0.53	1.77	6.53	3.36	1.91	0.16	1.91	1.44	1.44	11.55	2.84	4.10	41609.00	          8200	3.38万	-30.81	-20.39	          1.44	13.59	5.90	4.31	          2.87	2.87	          0.42	          1.24	         62.95	   5.37㈢	         48.49	         29.31	         22.12	601199	--  	--  	--  	
000598	兴蓉环境	-1.05	0.21	水务	17	4.66	4.73	0.21	246771	2037	          0.83	3.56	4.83	4.72	0.331㈣	    14.27	116853320	  0.65	        140.95亿	四川	4.74	4.74	140005	106766	  1.31	4.72	4254	  0.77	         29.86	-0.05	        140.95亿	   2827	--  	     87	        0.0003	20190311	19960529	         29.86	--  	--  	209.22	104.44	          7.08	46.69	38.87	80.16	41.56	58.50	17.80	5.08	0.00	41.60	24.63	11.92	-0.00	12.02	10.09	9.88	53.16	19.11	-1.02	145200.00	         11891	5.61万	10.30	11.48	          1.35	7.38	3.39	4.77	          3.50	0.00	          0.60	          1.78	         49.92	   9.46㈣	         40.79	         28.64	         23.75	000598	--  	--  	--  	
000605	渤海股份	-4.00	0.20	水务	188	9.89	10.10	0.20	81801	1096	          3.00	7.42	10.67	10.09	0.104㈢	    72.47	83787120	  0.81	         27.54亿	北京	10.27	10.24	44907	36894	  1.22	10.09	396	 -2.18	          2.73	-0.42	         35.58亿	   2276	--  	     36	        0.0013	20190213	19960913	          3.53	--  	--  	62.38	20.61	          5.06	58.85	23.32	10.50	17.05	23.96	12.11	6.29	7.54	11.17	7.73	0.72	-0.02	0.70	0.41	0.37	4.49	-3.08	0.26	25188.00	          5859	5.91万	-45.17	-2.40	          1.73	-11.56	3.18	10.51	          5.85	0.00	          3.43	          1.27	         33.05	   1.79㈢	         30.80	          6.49	          3.30	000605	20180329	18.98	-25.31	
600461	洪城水业	-2.95	0.17	水务	449	5.88	5.94	0.17	98667	926	          1.66	3.27	6.08	5.93	0.301㈢	    14.75	58833864	  0.67	         35.22亿	江西	6.05	5.96	64894	33773	  1.92	5.93	343	 -1.75	          5.94	-0.18	         46.82亿	   1692	--  	     58	        0.0010	20190213	20040601	          7.90	--  	--  	98.62	34.33	          3.46	61.68	29.36	27.96	29.47	47.12	13.45	3.45	6.03	32.99	25.39	4.00	0.04	4.03	3.04	2.38	11.58	7.01	2.83	22428.00	         16587	9.84万	14.19	37.45	          1.36	6.68	1.42	6.11	          4.35	0.00	          1.70	          1.47	         34.81	   6.93㈢	         23.06	         12.11	          7.21	600461	--  	--  	--  	
601368	绿城水务	-3.16	0.00	水务	234	6.38	6.44	0.00	41441	219	          0.56	4.52	6.68	6.43	0.298㈢	    16.16	26906350	  0.81	         47.31亿	广西	6.58	6.49	27497	13944	  1.97	6.43	96	 -1.96	          7.36	-0.21	         47.31亿	   1305	--  	     32	        0.0004	20190213	20150612	          7.36	--  	--  	86.07	31.83	          0.00	63.02	14.05	40.56	4.01	12.73	9.10	0.42	2.09	9.73	5.21	2.60	0.00	2.61	2.20	2.20	13.14	6.70	-1.41	41006.00	          6540	4.21万	-21.69	5.54	          1.49	7.06	4.86	6.64	          4.33	0.00	          1.24	          1.79	         36.98	   6.90㈢	         46.46	         26.69	         22.58	601368	--  	--  	--  	
601158	重庆水务	-1.63	0.00	水务	472	6.02	6.05	0.00	61120	473	          0.13	2.93	6.20	6.05	0.290㈢	    15.65	37321332	  0.82	        290.40亿	重庆	6.18	6.11	28238	32882	  0.86	6.04	1054	 -0.43	         48.00	-0.10	        290.40亿	   2607	--  	     23	        0.0000	20190213	20100329	         48.00	--  	--  	186.50	141.22	          0.47	24.03	64.61	75.09	10.09	24.62	46.23	5.04	8.31	36.14	19.65	14.42	1.58	14.91	13.93	13.92	33.29	16.07	-28.89	46204.00	         11883	7.19万	-6.99	16.09	          2.06	18.07	8.04	6.15	          2.94	0.00	          0.96	          0.69	         75.72	   9.86㈢	         45.63	         39.89	         38.51	601158	--  	--  	--  	
600187	国中水务	-7.20	0.00	水务	4056	3.52	3.62	0.00	1548295	5231	         10.64	13.88	4.06	3.61	0.006㈢	   471.23	592836608	  2.19	         52.55亿	黑龙江	4.06	3.83	744343	803952	  0.93	3.61	3838	 -6.00	         14.56	-0.28	         59.71亿	   3496	--  	    443	        0.0030	20190213	19981111	         16.54	--  	--  	54.47	34.27	          0.79	35.63	21.55	4.76	10.67	16.56	20.63	1.34	3.50	2.93	1.91	0.19	0.33	0.15	0.08	0.10	-2.36	0.44	-1.55	137450.00	          8936	3.23万	-53.69	-4.65	          1.74	134.69	20.34	3.89	          2.07	0.00	          1.25	         -0.14	         62.92	   0.28㈢	         34.94	          6.42	          3.24	600187	20180322	5.42	-33.39	
