代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600131	岷江水电	-6.50	1.38	水力发电	200	20.48	21.28	1.38	667068	12145	         16.36	6.68	22.00	21.28	0.218㈢	    73.25	1389395072	  1.08	         86.75亿	四川	21.11	20.83	373931	293136	  1.28	21.27	33	 -5.30	          4.08	-1.48	        107.28亿	   4424	--  	    151	        0.0037	20190213	19980402	          5.04	--  	--  	23.94	12.35	         -0.05	48.62	2.20	13.71	0.23	4.00	0.97	0.01	0.03	7.98	6.72	1.15	0.77	1.16	1.07	1.10	4.72	2.05	0.55	41677.00	          6789	14.45万	85.14	42.58	          8.68	52.30	13.44	22.76	          2.45	0.00	          0.19	          0.94	         51.60	   8.89㈢	         15.79	         14.39	         13.76	600131	--  	--  	--  	
000862	银星能源	-3.95	0.86	新型电力	5293	6.76	7.05	0.86	761283	9856	         15.18	7.63	7.32	7.05	0.085㈢	    62.50	533936128	  0.54	         35.35亿	宁夏	7.06	7.01	403610	357672	  1.13	7.04	1783	 -2.14	          5.01	-0.29	         49.78亿	   4426	--  	    172	        0.0034	20190311	19980915	          7.06	--  	--  	91.50	26.46	          1.51	69.43	18.96	70.52	0.68	14.36	27.05	1.31	11.57	8.24	4.85	0.85	0.06	0.70	0.68	0.60	-7.90	3.93	-0.13	89859.00	          4697	3.31万	188.67	17.93	          1.88	12.66	6.04	7.34	          3.75	0.00	          3.83	         -1.12	         28.92	   2.26㈢	         41.20	         10.34	          7.25	000862	20180403	4.24	66.27	
600868	梅雁吉祥	-5.21	0.76	水力发电	8014	3.89	4.01	0.76	906239	11802	          4.77	8.77	4.26	4.00	0.010㈢	   310.76	364142048	  0.49	         75.93亿	广东	4.15	4.02	488907	417332	  1.17	4.00	1288	 -4.02	         18.98	-0.22	         75.93亿	   4163	--  	    218	        0.0011	20190213	19940912	         18.98	--  	--  	23.68	22.84	          0.21	2.65	2.54	16.26	0.27	0.61	4.10	0.00	0.36	1.70	1.08	0.27	-0.02	0.26	0.22	0.18	-0.85	0.57	-0.81	352233.00	          5119	2.05万	-84.60	-10.23	          3.32	133.22	44.62	4.22	          1.20	0.00	          0.22	         -0.04	         96.45	   0.80㈢	         36.55	         16.16	         10.77	600868	--  	--  	--  	
000690	宝新能源	-0.87	0.63	火力发电	1553	7.83	8.00	0.63	271471	8477	          1.33	4.09	8.16	7.99	0.282㈢	    21.26	216375248	  0.94	        162.93亿	广东	8.04	7.97	146116	125355	  1.17	7.99	2373	  0.95	         20.39	-0.07	        173.85亿	   3022	--  	     90	        0.0004	20190213	19970128	         21.76	--  	--  	210.45	89.68	          0.02	57.38	62.56	34.94	5.92	12.60	29.46	3.23	2.52	27.75	18.08	8.29	2.39	8.10	6.13	6.13	30.61	8.74	18.50	84714.00	         19088	15.25万	91.79	53.46	          1.94	19.90	6.26	8.06	          4.12	0.00	          1.35	          1.41	         42.61	   6.84㈢	         34.87	         29.87	         22.09	000690	--  	--  	--  	
600452	涪陵电力	-3.86	0.50	水力发电	45	21.70	22.19	0.50	43677	550	          1.95	8.67	23.70	22.17	0.940㈢	    17.69	98476048	  0.73	         49.66亿	重庆	23.25	22.55	26306	17370	  1.51	22.17	149	 -2.66	          2.24	-0.89	         49.66亿	   2095	--  	     21	        0.0009	20190213	20040303	          2.24	--  	--  	50.89	13.28	          0.00	73.90	11.08	37.01	0.80	24.61	4.24	0.04	4.32	18.11	14.86	2.12	0.21	2.15	2.11	2.11	6.00	0.90	0.63	9212.00	         11758	26.07万	17.21	17.24	          3.38	55.43	2.74	23.06	          6.55	6.55	          1.89	          2.68	         26.10	  15.85㈢	         17.93	         11.73	         11.62	600452	--  	--  	--  	
000591	太阳能	-2.17	0.50	新型电力	3722	3.99	4.05	0.50	444845	5465	          2.18	5.07	4.20	4.05	0.239㈢	    12.71	181333008	  0.53	         82.50亿	重庆	4.10	4.08	266904	177941	  1.50	4.04	1824	 -0.36	         20.37	-0.09	        121.79亿	   2790	--  	    159	        0.0008	20190213	19960208	         30.07	--  	--  	328.41	125.90	          1.44	61.23	79.29	216.03	3.91	67.62	66.93	2.51	58.27	30.01	14.51	7.59	0.14	7.61	7.13	7.19	28.25	7.21	2.26	57848.00	         35215	14.26万	4.58	-20.11	          0.97	16.90	4.06	4.14	          4.19	0.00	          2.23	          0.94	         38.34	   5.71㈢	         51.64	         25.31	         23.95	000591	--  	--  	--  	
000966	长源电力	-2.59	0.49	火力发电	1384	4.02	4.14	0.49	251556	2212	          2.27	8.47	4.38	4.14	0.153㈢	    20.29	104817328	  0.92	         45.88亿	湖北	4.23	4.17	145131	106424	  1.36	4.13	597	 -0.77	         11.08	-0.11	         45.88亿	   2262	--  	    111	        0.0010	20190213	20000316	         11.08	--  	--  	95.15	34.17	          1.72	62.28	14.90	65.36	2.63	38.36	9.52	2.17	6.52	47.26	42.16	2.41	0.03	2.47	1.75	1.70	12.27	5.73	0.48	50684.00	         11329	4.69万	193.83	16.00	          1.34	8.01	0.97	4.25	          3.08	0.00	          0.86	          1.11	         35.91	   4.96㈢	         10.78	          5.10	          3.59	000966	--  	--  	--  	
600674	川投能源	0.76	0.43	水力发电	1	9.22	9.33	0.43	116406	2025	          0.26	1.40	9.35	9.33	0.630㈢	    11.12	108244224	  0.66	        410.72亿	四川	9.26	9.30	43527	72878	  0.60	9.31	2494	  1.95	         44.02	0.07	        410.72亿	   3105	--  	     37	        0.0001	20190213	19930924	         44.02	--  	--  	312.85	240.55	          4.42	21.70	8.84	31.46	0.31	55.28	40.52	0.88	2.70	6.00	2.83	28.26	28.40	28.35	28.03	27.71	112.28	3.50	-3.24	63070.00	         29609	27.63万	-3.02	8.65	          1.65	117.48	68.40	9.26	          5.64	5.64	          0.92	          2.55	         76.89	  11.52㈢	         52.88	        470.60	        461.50	600674	--  	--  	--  	
000601	韶能股份	-2.74	0.43	水力发电	786	4.52	4.63	0.43	78214	987	          0.72	5.26	4.77	4.62	0.249㈢	    13.93	36217380	  0.58	         49.89亿	广东	4.70	4.63	45592	32621	  1.40	4.62	401	 -0.92	         10.80	-0.13	         49.92亿	   1234	--  	     63	        0.0006	20190304	19960830	         10.81	--  	--  	97.22	44.87	          2.96	50.81	15.23	70.50	2.51	20.77	15.84	2.83	5.03	25.14	19.16	3.43	0.00	3.66	2.78	2.69	11.67	5.15	1.04	61640.00	         10991	5.08万	-38.18	-7.47	          1.11	9.69	1.99	4.75	          4.15	0.00	          1.47	          1.08	         46.15	   5.99㈢	         23.79	         13.64	         10.69	000601	--  	--  	--  	
600726	华电能源	-4.81	0.39	火力发电	928	2.53	2.57	0.39	118562	869	          0.77	6.67	2.71	2.57	-0.266㈢	--  	30742610	  0.44	         39.44亿	黑龙江	2.70	2.59	71873	46688	  1.54	2.56	1135	 -3.62	         15.35	-0.13	         50.54亿	   1838	--  	     65	        0.0004	20190213	19960701	         19.67	          4.32	--  	242.94	17.88	          3.43	91.23	39.86	173.24	6.31	139.77	16.89	4.67	11.91	68.17	66.40	-5.54	-0.84	-5.72	-5.86	-5.23	-20.72	12.21	0.44	190168.00	          5708	1.47万	-31.79	9.45	          2.83	4.14	0.74	2.70	          0.91	0.00	          0.86	         -1.05	          7.36	 -29.26㈢	          2.61	         -8.13	         -7.68	600726	--  	--  	--  	
