代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
300217	东方电热	-3.08	1.61	电器仪表	260	3.05	3.15	1.61	419784	4677	          4.74	7.08	3.28	3.15	0.104㈢	    22.70	132370840	  0.72	         27.89亿	江苏	3.25	3.15	253676	166108	  1.53	3.14	2174	 -1.26	          8.86	-0.10	         40.12亿	   2377	--  	    177	        0.0020	20190213	20110518	         12.73	--  	--  	35.90	19.98	          2.03	38.69	24.90	5.98	1.67	12.17	0.42	7.50	6.00	18.16	14.37	1.76	0.07	1.78	1.50	1.33	6.17	-2.85	-0.93	39477.00	         22431	7.07万	110.49	50.65	          2.01	-14.05	2.21	3.25	          1.57	0.00	          0.03	          0.48	         55.65	   6.63㈢	         20.87	          9.71	          7.30	300217	--  	--  	--  	
002058	威 尔 泰	-7.42	0.67	电器仪表	358	13.13	13.48	0.67	44716	634	          3.12	8.38	14.35	13.47	0.008㈢	  1214.23	61016484	  0.76	         19.32亿	上海	14.20	13.65	27549	17167	  1.60	13.47	95	 -5.61	          1.43	-1.08	         19.32亿	   1980	--  	     23	        0.0016	20190213	20060802	          1.43	--  	--  	2.21	1.87	          0.00	15.13	1.86	0.18	0.06	0.30	0.00	0.59	0.35	0.78	0.49	0.02	0.01	0.03	0.01	0.01	0.27	-0.10	-0.15	11212.00	          8428	11.35万	154.61	14.90	         10.31	-190.03	24.66	14.55	          1.31	0.00	          0.00	          0.19	         84.87	   0.64㈢	         37.16	          3.09	          1.52	002058	20171123	20.79	-35.16	
300012	华测检测	2.49	0.58	电器仪表	18	8.22	8.64	0.58	317034	4337	          2.11	5.23	8.66	8.63	0.097㈢	    66.44	268809600	  1.01	        129.85亿	深圳	8.47	8.48	145431	171602	  0.85	8.63	379	  4.31	         15.05	0.21	        143.04亿	   3765	--  	     84	        0.0006	20190213	20091030	         16.58	--  	--  	39.16	26.11	          0.57	31.87	18.41	11.30	1.29	11.62	0.45	0.23	5.94	18.33	10.30	1.94	0.24	2.05	1.71	1.61	8.04	2.68	-0.10	27321.00	         47963	41.39万	60.71	29.75	          5.48	53.36	7.80	8.42	          1.58	0.00	          0.03	          0.49	         66.68	   6.18㈢	         43.80	         10.58	          8.81	300012	--  	--  	--  	
300259	新天科技	-7.71	0.51	电器仪表	190	3.86	3.96	0.51	473359	3430	          6.53	7.01	4.16	3.95	0.092㈢	    32.10	189209392	  1.09	         28.61亿	河南	4.10	4.00	263428	209931	  1.25	3.95	833	 -5.89	          7.24	-0.33	         46.44亿	   3039	--  	    156	        0.0022	20190213	20110831	         11.76	--  	--  	23.16	19.01	          0.58	15.42	15.98	3.32	0.70	3.40	0.47	2.70	3.82	5.44	2.68	1.14	0.27	1.22	1.07	1.09	6.05	-0.31	-1.38	24279.00	         25514	10.08万	10.80	16.32	          2.44	-149.64	8.53	4.28	          1.62	0.00	          0.04	          0.51	         82.09	   5.71㈢	         50.74	         20.94	         19.93	300259	20180312	9.35	-5.99	
300567	精测电子	-3.55	0.46	电器仪表	25	69.90	70.44	0.46	16120	108	          1.93	4.93	73.50	70.42	1.190㈢	    45.29	115314384	  0.77	         58.93亿	湖北	72.05	71.54	8092	8027	  1.01	70.42	9	 -1.73	          0.84	-2.59	        115.22亿	   1879	--  	      9	        0.0010	20190312	20161122	          1.64	--  	--  	22.14	10.07	          0.46	52.42	18.48	0.70	0.60	11.06	4.11	3.95	6.54	8.79	4.32	2.37	0.03	2.38	2.06	1.91	4.70	-0.91	0.95	6711.00	         11100	78.17万	66.38	70.28	         10.06	-126.80	13.11	73.01	          7.00	7.00	          2.52	          2.87	         45.49	  18.94㈢	         50.88	         26.97	         21.71	300567	20170829	92.29	53.15	
002849	威星智能	-4.29	0.44	电器仪表	631	15.90	16.08	0.44	26589	378	          4.63	5.06	16.75	16.07	0.370㈢	    33.16	43247180	  0.57	          9.24亿	浙江	16.50	16.26	16194	10395	  1.56	16.07	35	 -2.47	          0.57	-0.72	         21.28亿	   1392	--  	     19	        0.0033	20181121	20170217	          1.32	--  	--  	11.47	5.88	          0.14	47.51	9.96	1.01	0.30	5.43	2.23	2.93	4.90	5.75	3.96	0.69	0.00	0.69	0.57	0.48	2.11	-1.25	-1.27	13425.00	          4282	6.88万	40.80	80.42	          3.55	-16.96	3.70	16.79	          4.52	4.52	          1.69	          1.60	         51.26	   8.18㈢	         31.10	         11.99	          8.36	002849	--  	--  	--  	
300066	三川智慧	-2.45	0.42	电器仪表	1423	4.52	4.78	0.42	422295	4877	          4.24	7.36	4.88	4.77	0.080㈢	    44.84	197471728	  0.55	         47.51亿	江西	4.88	4.68	233979	188315	  1.24	4.77	2666	 -0.64	          9.96	-0.12	         49.61亿	   3126	--  	    135	        0.0014	20190311	20100326	         10.40	--  	--  	18.68	15.83	          0.94	10.23	12.00	2.58	0.69	1.63	0.68	1.54	3.24	4.96	3.29	0.89	0.31	0.96	0.86	0.83	3.79	0.07	-4.09	50038.00	         11417	5.45万	30.42	16.81	          3.10	735.64	10.00	4.89	          1.54	1.54	          0.07	          0.36	         84.73	   5.24㈢	         33.66	         17.83	         16.72	300066	20180312	4.86	-1.44	
300105	龙源技术	-3.36	0.41	电器仪表	1261	4.75	4.89	0.41	127222	1110	          2.48	5.73	5.04	4.89	-0.010㈢	--  	62292584	  0.73	         25.10亿	山东	4.92	4.90	69593	57628	  1.21	4.88	213	 -1.54	          5.13	-0.17	         25.10亿	   1361	--  	     93	        0.0018	20190213	20100820	          5.13	--  	--  	22.27	19.28	          0.03	13.30	11.87	1.46	0.44	2.80	6.77	1.90	4.53	2.76	1.93	-0.07	0.15	-0.06	-0.06	-0.05	6.27	-0.06	-8.06	25493.00	         11676	5.71万	-339.71	-27.24	          1.30	-435.96	9.10	5.06	          3.76	0.00	          1.32	          1.22	         86.58	  -0.27㈢	         30.19	         -2.67	         -1.91	300105	20170824	7.98	-38.72	
300165	天瑞仪器	-1.15	0.39	电器仪表	310	5.00	5.14	0.39	164811	1606	          5.23	8.65	5.45	5.14	0.104㈢	    37.17	85832376	  1.11	         16.20亿	江苏	5.27	5.21	84166	80644	  1.04	5.13	1360	  0.66	          3.15	-0.06	         23.73亿	   1845	--  	     89	        0.0028	20190311	20110125	          4.62	--  	--  	21.83	16.16	          0.59	23.27	12.88	2.04	0.23	4.88	7.50	3.73	2.79	6.55	3.55	0.68	0.04	0.62	0.51	0.48	3.45	-0.64	-3.09	22882.00	         12228	6.28万	-28.74	47.24	          1.48	-37.13	3.63	5.20	          3.47	3.47	          1.62	          0.75	         74.04	   2.96㈢	         45.76	         10.38	          7.32	300165	--  	--  	--  	
603556	海兴电力	-6.43	0.38	电器仪表	70	15.85	16.00	0.38	82513	866	          4.92	8.30	17.27	16.00	0.630㈢	    21.27	134219648	  0.89	         26.84亿	浙江	16.75	16.27	50841	31672	  1.61	15.99	17	 -5.23	          1.68	-1.10	         79.11亿	   2993	--  	     28	        0.0016	20190212	20161110	          4.94	--  	--  	63.96	49.01	          0.05	23.29	50.25	4.35	1.65	12.68	25.16	3.69	11.89	18.40	10.44	3.17	0.06	3.19	2.77	2.79	18.25	3.56	-6.73	26867.00	          6244	9.99万	-32.19	-10.72	          1.61	22.23	4.30	17.10	          9.91	0.00	          5.09	          3.69	         76.63	   5.69㈢	         43.27	         17.24	         15.16	603556	--  	--  	--  	
