代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
300018	中元股份	-6.91	1.97	电气设备	331	5.99	6.21	1.97	412640	8732	         11.31	11.86	6.78	6.20	0.006㈢	   729.04	258670624	  1.00	         22.62亿	湖北	6.39	6.27	223936	188704	  1.19	6.20	1144	 -5.09	          3.65	-0.46	         30.04亿	   3322	--  	    124	        0.0034	20181210	20091030	          4.84	--  	--  	16.62	14.59	          0.54	9.01	9.38	0.53	0.33	1.47	6.21	1.11	2.86	2.50	1.25	0.10	0.01	0.14	0.11	0.03	3.32	-0.08	-1.37	24523.00	         13883	8.61万	-93.61	2.68	          2.06	-395.37	12.01	6.66	          3.01	0.00	          1.28	          0.68	         87.74	   0.21㈢	         49.92	          4.14	          1.24	300018	--  	--  	--  	
002112	三变科技	1.21	1.45	电气设备	1271	8.03	8.38	1.45	138291	8190	          7.52	6.65	8.58	8.37	-0.223㈢	--  	114317000	  0.58	         15.38亿	浙江	8.31	8.27	73577	64713	  1.14	8.37	493	  3.02	          1.84	0.10	         16.87亿	   2555	--  	     54	        0.0029	20190213	20070208	          2.02	--  	--  	10.65	3.33	          0.00	68.71	7.19	1.89	0.41	6.79	0.84	2.24	3.31	4.17	3.75	-0.45	0.01	-0.45	-0.45	-0.45	0.12	-0.32	-0.42	23239.00	          6103	5.11万	17.71	11.98	          5.06	-53.11	4.05	8.27	          1.65	0.00	          0.42	          0.06	         31.29	 -13.48㈢	         10.08	        -10.73	        -10.77	002112	20180910	7.70	8.70	
603063	禾望电气	-5.68	1.36	电气设备	96	9.99	10.48	1.36	150516	1321	          5.90	8.02	10.88	10.47	0.103㈢	    76.03	156718944	  0.66	         26.73亿	深圳	10.66	10.41	83307	67209	  1.24	10.47	135	 -4.48	          2.55	-0.63	         43.97亿	   2833	--  	     53	        0.0021	20181030	20170728	          4.20	--  	--  	28.21	23.69	          0.01	15.97	25.18	0.38	0.18	4.16	9.38	3.19	9.86	4.50	2.30	0.48	0.29	0.49	0.43	0.43	9.37	-1.63	-2.02	22696.00	         11249	11.78万	-75.78	-28.96	          1.86	-26.99	9.78	11.10	          5.64	0.00	          2.23	          2.23	         83.98	   1.83㈢	         48.92	         10.75	          9.65	603063	20180330	16.54	-35.85	
002452	长高集团	-7.60	1.09	电气设备	2236	4.51	4.63	1.09	307393	2948	          7.67	7.00	4.86	4.62	-0.063㈢	--  	143104304	  1.05	         18.53亿	湖南	4.77	4.66	200521	106871	  1.88	4.62	152	 -5.78	          4.01	-0.38	         24.46亿	   3108	--  	     99	        0.0025	20190215	20100720	          5.29	--  	--  	26.72	13.21	          0.25	49.61	19.77	2.62	0.41	10.92	2.44	8.01	5.90	5.79	4.43	-0.35	-0.02	-0.34	-0.35	-0.33	4.81	-1.00	-0.57	40761.00	          8898	4.11万	-145.48	-41.75	          1.85	-24.43	4.22	5.00	          2.50	0.00	          0.46	          0.91	         49.44	  -2.52㈢	         23.51	         -6.08	         -5.74	002452	20180305	6.16	-24.51	
000533	顺钠股份	-4.49	1.06	电气设备	1560	3.66	3.83	1.06	420820	4244	          6.14	7.73	3.97	3.83	-0.032㈢	--  	159820480	  0.64	         26.23亿	广东	3.95	3.80	235717	185103	  1.27	3.82	1642	 -2.67	          6.85	-0.18	         26.46亿	   2899	--  	    145	        0.0021	20190227	19940103	          6.91	--  	--  	37.78	15.45	          5.98	43.26	28.87	2.29	2.55	16.22	0.41	3.72	11.78	91.25	88.90	0.18	0.03	0.32	-0.16	-0.22	7.22	-0.52	0.02	47638.00	          8810	3.37万	-191.36	91.80	          1.71	-50.76	0.29	4.01	          2.24	0.00	          0.06	          1.05	         40.90	  -1.42㈢	          2.57	          0.20	         -0.24	000533	--  	--  	--  	
300593	新雷能	-4.43	1.04	电气设备	159	19.09	19.40	1.04	39472	247	          5.90	7.73	20.66	19.40	0.290㈢	    51.52	78335856	  1.31	         12.98亿	北京	20.40	19.85	23294	16177	  1.44	19.34	1	 -2.62	          0.67	-0.90	         22.89亿	   2464	--  	     16	        0.0024	20181227	20170113	          1.18	--  	--  	12.89	5.84	          1.53	42.80	8.16	2.77	0.40	2.95	2.27	2.82	2.69	3.33	1.81	0.34	0.01	0.34	0.34	0.33	2.25	0.41	-0.40	12705.00	          5266	10.22万	10.05	23.15	          3.84	55.95	6.87	20.30	          5.06	5.06	          1.92	          1.91	         45.33	   5.70㈢	         45.49	         10.27	         10.01	300593	--  	--  	--  	
600379	宝光股份	-4.40	1.01	电气设备	56	7.84	8.04	1.01	51632	1186	          2.19	6.07	8.35	8.03	0.144㈢	    41.68	41626416	  0.76	         18.94亿	陕西	8.34	8.06	31997	19635	  1.63	8.03	188	 -3.21	          2.36	-0.37	         18.94亿	   1491	--  	     35	        0.0015	20190213	20020116	          2.36	--  	--  	7.85	5.25	          0.00	33.10	5.54	2.01	0.03	2.38	0.08	1.48	2.53	6.56	5.08	0.38	0.00	0.39	0.34	0.34	2.46	0.35	0.20	14068.00	          9026	7.25万	-1.10	9.20	          3.61	53.65	2.89	8.40	          2.23	0.00	          0.03	          1.04	         66.90	   6.49㈢	         22.51	          5.82	          5.20	600379	--  	--  	--  	
002346	柘中股份	-5.44	0.99	电气设备	309	13.93	14.25	0.99	120408	1293	          3.07	13.41	15.95	14.24	0.118㈢	    90.30	179306960	  0.95	         55.86亿	上海	15.26	14.89	66579	53829	  1.24	14.24	66	 -3.63	          3.92	-0.82	         62.88亿	   2905	--  	     41	        0.0011	20190213	20100128	          4.42	--  	--  	24.16	20.22	          0.03	16.17	6.44	3.37	0.89	3.22	5.21	0.41	3.47	4.42	3.46	0.57	0.35	0.55	0.52	0.52	7.59	1.21	0.56	34230.00	          3395	4.83万	-78.63	101.31	          3.11	52.03	14.21	15.06	          4.58	0.00	          1.18	          1.72	         83.71	   2.58㈢	         21.81	         12.97	         11.80	002346	20170222	36.61	-60.28	
300265	通光线缆	-6.63	0.96	电气设备	253	9.22	9.44	0.96	144323	3231	          4.29	9.60	10.19	9.43	0.091㈢	    77.64	137917632	  0.77	         31.76亿	江苏	9.94	9.56	78236	66086	  1.18	9.43	158	 -4.82	          3.37	-0.67	         31.83亿	   3475	--  	     42	        0.0012	20190213	20110916	          3.38	--  	--  	22.25	9.89	          0.35	54.01	15.35	3.15	1.16	11.12	1.95	2.34	10.64	11.57	9.29	0.38	0.15	0.37	0.34	0.31	4.17	-0.90	-1.30	22067.00	          4939	4.66万	-56.25	3.26	          3.22	-35.45	2.75	10.10	          2.93	0.00	          0.58	          1.23	         44.43	   3.11㈢	         19.72	          3.29	          2.66	300265	--  	--  	--  	
600468	百利电气	-3.82	0.80	电气设备	200	6.15	6.30	0.80	88972	1020	          1.10	7.02	6.61	6.30	0.058㈢	    82.10	56003668	  0.59	         51.10亿	天津	6.46	6.29	49812	39159	  1.27	6.29	85	 -2.62	          8.11	-0.25	         51.10亿	   1396	--  	     64	        0.0008	20190213	20010615	          8.11	--  	--  	28.12	18.30	          1.37	30.05	19.64	3.33	1.33	8.03	7.53	3.32	7.22	10.39	8.23	0.64	0.25	0.65	0.55	0.47	2.33	-0.79	-1.18	22402.00	         17726	11.17万	-1.58	9.14	          2.79	-64.66	4.92	6.55	          2.26	0.00	          0.93	          0.29	         65.07	   2.55㈢	         20.79	          6.13	          4.49	600468	--  	--  	--  	
