代码	名称	涨幅%%	涨速%%	细分行业	买量	最低	未匹配量	卖价	总量	现量	换手%%	振幅%%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%%	
000555	神州信息	1.23	-0.07	软件服务	18	12.20	--  	13.13	327758	3022	          3.51	7.63	13.19	13.13	0.044㈣	   300.50	417558368	  1.30	        122.75亿	深圳	12.62	12.74	167925	159833	  1.05	13.12	403	 -2.54	
000662	天夏智慧	1.56	-0.27	软件服务	1579	6.79	--  	7.15	122760	1898	          3.28	5.55	7.18	7.14	0.124㈢	    43.16	86320656	  0.99	         26.72亿	广西	7.02	7.03	56552	66208	  0.85	7.14	646	 -2.21	
000711	京蓝科技	4.16	0.28	软件服务	2395	6.86	--  	7.26	218094	3163	          5.37	5.74	7.26	7.26	0.170㈢	    36.51	154749360	  1.20	         29.50亿	黑龙江	6.95	7.10	100724	117370	  0.86	7.25	330	  0.39	
000851	高鸿股份	2.07	0.15	软件服务	1078	6.45	--  	6.90	382709	5686	          4.47	7.84	6.98	6.90	0.039㈢	   131.45	258309440	  0.84	         59.12亿	贵州	6.77	6.75	185470	197238	  0.94	6.89	3051	 -1.70	
000938	紫光股份	4.94	-0.10	软件服务	267	41.11	--  	43.59	134352	866	          4.66	6.67	43.88	43.59	0.796㈢	    41.05	576138304	  1.51	        125.76亿	北京	41.54	42.88	52351	82000	  0.64	43.58	15	  1.16	
000948	南天信息	1.04	0.00	软件服务	159	15.59	--  	16.52	99481	712	          4.04	6.12	16.59	16.52	0.303㈣	    54.49	160652560	  1.02	         40.72亿	云南	16.41	16.15	51961	47520	  1.09	16.51	376	 -2.73	
000997	新 大 陆	3.39	0.00	软件服务	161	16.98	--  	17.71	123762	2030	          1.23	4.50	17.75	17.70	0.470㈢	    28.92	216075216	  1.00	        177.79亿	福建	17.15	17.46	49114	74647	  0.66	17.70	523	 -0.39	
002063	远光软件	3.05	0.38	软件服务	497	9.75	--  	10.46	354395	3443	          4.65	7.39	10.50	10.46	0.154㈢	    50.92	359369984	  0.98	         79.65亿	广东	10.10	10.14	162026	192368	  0.84	10.45	263	 -0.72	
002065	东华软件	3.87	0.11	软件服务	804	8.42	--  	8.85	391242	4631	          1.39	5.16	8.86	8.85	0.210㈢	    31.60	340092672	  0.88	        248.48亿	北京	8.56	8.69	185423	205819	  0.90	8.84	6335	  0.10	
002073	软控股份	2.83	0.32	软件服务	2119	5.93	--  	6.18	300372	3518	          3.67	4.33	6.19	6.18	0.084㈢	    55.38	183099008	  0.43	         50.61亿	山东	5.97	6.10	148562	151810	  0.98	6.17	868	 -0.95	
002090	金智科技	1.58	0.23	软件服务	80	20.50	--  	21.81	38231	287	          1.65	6.24	21.84	21.80	0.338㈢	    48.32	81301832	  1.35	         50.46亿	江苏	21.46	21.27	19177	19054	  1.01	21.80	252	 -2.19	
002153	石基信息	3.42	-0.11	软件服务	95	30.90	--  	32.66	85986	686	          1.77	6.18	32.85	32.65	0.296㈢	    82.68	276350464	  1.39	        158.17亿	北京	31.41	32.14	39926	46060	  0.87	32.65	29	 -0.35	
002184	海得控制	1.84	0.16	软件服务	288	11.49	--  	12.17	77982	1680	          5.74	5.69	12.17	12.17	-0.203㈢	--  	92320544	  1.25	         16.54亿	上海	11.95	11.84	36623	41359	  0.89	12.16	42	 -1.93	
002195	二三四五	5.03	0.17	软件服务	23406	5.66	--  	6.06	3495630	34562	          8.07	8.49	6.15	6.06	0.250㈢	    18.68	2081310592	  1.00	        262.35亿	上海	5.77	5.95	1685273	1810357	  0.93	6.05	22757	  1.25	
002230	科大讯飞	3.13	0.06	软件服务	333	34.57	--  	36.29	496526	9184	          2.72	5.37	36.46	36.29	0.110㈢	   259.94	1774593152	  1.24	        661.30亿	安徽	35.20	35.74	227003	269523	  0.84	36.28	550	 -0.65	
002232	启明信息	-0.70	-0.19	软件服务	241	9.70	--  	9.86	193264	1261	          4.79	6.14	10.31	9.86	0.098㈢	    75.25	191862272	  1.27	         39.81亿	吉林	9.85	9.93	92989	100275	  0.93	9.85	4	 -4.48	
002247	聚力文化	0.85	0.21	软件服务	2057	4.42	--  	4.77	325672	2277	          5.98	7.40	4.77	4.77	0.411㈢	     8.69	150176192	  1.92	         25.96亿	浙江	4.68	4.61	162830	162841	  1.00	4.76	1192	 -2.93	
002253	川大智胜	2.04	0.00	软件服务	154	16.26	--  	17.02	54850	1201	          2.65	4.92	17.08	17.02	0.244㈣	    69.90	91937336	  0.88	         35.19亿	四川	16.65	16.76	26474	28375	  0.93	17.01	711	 -1.74	
002268	卫 士 通	4.28	-0.16	软件服务	895	28.65	--  	29.95	166968	1129	          2.06	6.96	30.65	29.95	-0.088㈢	--  	495773504	  1.22	        242.57亿	四川	29.12	29.69	70784	96184	  0.74	29.94	26	  0.51	
002279	久其软件	2.07	0.00	软件服务	2589	8.50	--  	8.89	169762	1393	          2.84	4.37	8.88	8.88	0.240㈢	    28.31	148788832	  1.08	         53.14亿	北京	8.78	8.76	74547	95214	  0.78	8.88	1113	 -1.71	
002280	联络互动	2.55	-0.20	软件服务	379	4.57	--  	4.84	413023	3693	          2.41	5.73	4.84	4.83	0.065㈢	    55.83	196026384	  1.06	         82.68亿	浙江	4.74	4.75	179674	233349	  0.77	4.83	1697	 -1.23	
002298	中电兴发	4.19	0.00	软件服务	213	7.60	--  	7.97	88882	915	          1.71	4.84	7.97	7.96	0.170㈢	    35.06	69503344	  1.14	         41.28亿	安徽	7.69	7.82	35668	53214	  0.67	7.96	1105	  0.41	
002316	亚联发展	3.18	0.22	软件服务	505	8.63	--  	9.09	63377	972	          2.16	5.22	9.09	9.09	0.155㈢	    44.03	56493056	  0.82	         26.67亿	深圳	8.80	8.91	31781	31596	  1.01	9.08	852	 -0.60	
002322	理工环科	7.09	0.07	软件服务	776	13.98	--  	14.81	84116	862	          2.33	7.09	14.96	14.81	0.370㈢	    30.77	121540216	  1.17	         53.44亿	浙江	13.98	14.45	28351	55764	  0.51	14.80	633	  3.31	
002331	皖通科技	1.72	0.17	软件服务	269	11.42	--  	11.82	53454	1067	          1.72	3.70	11.85	11.82	0.180㈢	    53.18	62558712	  0.75	         36.68亿	安徽	11.79	11.70	26586	26867	  0.99	11.81	126	 -2.05	
002368	太极股份	10.00	0.00	软件服务	3159	33.33	--  	--  	257327	1615	          6.43	11.94	37.39	37.39	0.780㈣	    48.95	926148416	  1.21	        149.69亿	北京	34.38	35.99	116152	141175	  0.82	37.39	0	  6.23	
002373	千方科技	1.56	-0.04	软件服务	855	18.50	--  	18.94	308620	5018	          3.68	4.61	19.36	18.93	0.360㈢	    43.03	584267456	  1.11	        158.88亿	北京	19.00	18.93	155510	153109	  1.02	18.93	488	 -2.22	
002401	中远海科	2.28	0.00	软件服务	194	11.06	--  	11.68	87406	572	          2.91	5.52	11.69	11.67	0.232㈢	    37.71	99781744	  1.07	         35.06亿	上海	11.48	11.42	34584	52821	  0.65	11.67	60	 -1.50	
002405	四维图新	6.18	0.49	软件服务	600	21.20	--  	22.68	534653	9966	          5.13	6.98	22.69	22.68	0.167㈢	   101.61	1186257024	  1.56	        236.43亿	北京	21.43	22.19	231846	302806	  0.77	22.67	651	  2.41	
002410	广联达	4.56	-0.06	软件服务	63	28.58	--  	29.82	151433	503	          1.71	4.77	29.94	29.81	0.390㈣	    76.48	445584352	  1.52	        264.24亿	北京	28.58	29.42	55535	95898	  0.58	29.81	55	  0.79	
