代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600896	*ST海投	-4.26	0.61	水运	634	4.91	4.96	0.61	48923	841	          0.85	6.58	5.25	4.95	0.042㈢	    88.86	24568962	  1.09	         28.57亿	海南	5.18	5.02	33852	15070	  2.25	4.95	209	 -3.06	          5.77	-0.22	         43.02亿	    666	--  	     73	        0.0013	20190213	19960503	          8.69	--  	--  	34.44	17.10	          3.04	41.53	23.72	0.41	1.16	7.31	18.22	14.96	0.05	0.40	0.74	0.43	-1.55	0.44	0.41	0.36	-11.19	-0.28	0.17	41953.00	          9947	4.92万	126.11	20.32	          2.52	-155.34	107.14	5.17	          1.97	0.00	          2.10	         -1.29	         49.64	   2.12㈢	        -85.14	        106.49	         90.43	600896	20180411	7.71	-35.80	
603032	德新交运	2.39	0.57	公路	703	35.19	36.83	0.57	161719	2330	         20.63	7.37	37.84	36.82	0.035㈢	   797.97	594840064	  0.86	         28.87亿	新疆	36.41	36.78	79540	82179	  0.97	36.82	11	  3.59	          0.78	0.86	         58.91亿	   4071	--  	     40	        0.0051	20190213	20170105	          1.60	--  	--  	4.93	4.31	          0.01	12.40	4.08	0.42	0.17	0.42	1.17	0.01	0.09	1.02	0.72	0.06	0.10	0.07	0.05	0.06	1.26	0.05	0.12	25321.00	          1959	7.21万	-74.07	-34.68	         13.66	1146.00	57.68	35.96	          2.70	0.00	          0.73	          0.79	         87.40	   1.28㈢	         29.67	          5.85	          5.42	603032	20181012	26.90	36.88	
600751	海航科技	-5.47	0.53	水运	889	3.70	3.81	0.53	543234	9347	          2.11	7.46	4.00	3.80	0.015㈢	   189.45	207584064	  0.69	         97.78亿	天津	3.97	3.82	266552	276681	  0.96	3.80	1138	 -4.27	         25.73	-0.22	        110.17亿	   3811	--  	    143	        0.0006	20190223	19960909	         28.99	          3.26	--  	1210.80	134.24	         45.03	85.19	886.76	25.92	93.93	894.53	102.07	304.36	463.84	2325.89	2172.76	2.21	0.71	1.95	0.89	0.44	1.81	77.15	-4.00	89892.00	         16017	6.09万	-64.01	3.88	          0.82	1.43	0.05	4.02	          4.63	0.00	          3.52	          0.06	         11.09	   0.32㈢	          6.58	          0.10	          0.02	600751	--  	--  	--  	
600798	宁波海运	-2.30	0.52	水运	27	3.77	3.83	0.52	143818	1459	          1.40	4.85	3.96	3.83	0.110㈢	    29.57	55182704	  0.63	         39.48亿	浙江	3.90	3.84	82938	60879	  1.36	3.82	2980	 -1.10	         10.31	-0.09	         46.21亿	   1797	--  	     80	        0.0008	20190213	19970423	         12.07	--  	--  	62.82	28.99	          6.01	44.28	6.69	21.02	34.66	8.16	11.68	0.42	1.98	14.71	11.18	2.06	-0.01	2.08	1.56	1.17	4.65	5.02	1.82	81916.00	          8128	3.11万	15.58	24.96	          1.36	9.20	3.14	3.92	          2.81	2.81	          0.97	          0.39	         46.15	   4.04㈢	         23.96	         14.02	          7.97	600798	20170330	6.60	-40.76	
600115	东方航空	6.70	0.49	空运	3899	5.85	6.22	0.49	1718823	17734	          1.75	8.59	6.35	6.21	0.310㈢	    15.01	1057231360	  2.58	        609.11亿	上海	5.85	6.15	669002	1049820	  0.64	6.21	2333	  7.90	         98.08	0.39	        609.11亿	   4530	--  	    379	        0.0004	20190227	19971105	        144.68	--  	         46.59	2396.15	579.09	         38.07	74.24	209.98	1718.78	19.99	769.84	267.60	22.87	0.00	878.78	744.19	57.59	1.75	63.09	49.38	44.90	179.92	210.72	-9.11	209255.00	         22631	14.05万	-43.27	13.38	          1.55	4.26	1.02	5.82	          4.00	0.00	          1.85	          1.24	         24.17	   7.75㈢	         15.32	          6.55	          5.11	600115	--  	--  	--  	
603860	中公高科	-2.98	0.44	公路	6	27.11	27.35	0.44	6899	62	          2.85	4.44	28.36	27.32	0.219㈢	    93.61	19033416	  0.87	          6.61亿	北京	27.98	27.59	3694	3205	  1.15	27.32	93	 -1.79	          0.24	-0.84	         18.22亿	    728	--  	      9	        0.0039	20181123	20170802	          0.67	--  	--  	6.60	5.64	          0.06	13.60	4.04	1.77	0.36	0.49	2.21	0.33	1.21	1.20	0.65	0.17	0.00	0.18	0.15	0.15	2.45	-0.22	-2.04	6009.00	          4024	10.99万	-12.24	9.93	          3.23	-81.75	15.16	28.16	          8.46	0.00	          3.31	          3.68	         85.48	   2.59㈢	         46.15	         13.80	         12.15	603860	--  	--  	--  	
600221	海航控股	-0.88	0.44	空运	24341	2.24	2.26	0.44	1607086	13289	          0.98	3.51	2.32	2.26	0.043㈢	    39.08	366817408	  0.56	        371.45亿	海南	2.25	2.28	799257	807829	  0.99	2.25	11427	  0.32	        164.36	-0.02	        379.82亿	   3818	--  	    421	        0.0003	20181031	19991125	        168.06	          3.69	--  	1879.19	572.71	        162.40	60.88	390.65	727.95	6.12	625.44	178.82	2.14	24.49	523.55	457.74	9.16	3.04	10.51	7.72	7.29	160.71	38.39	-69.53	449377.00	         26377	5.96万	-73.57	15.88	          0.73	9.89	0.73	2.28	          3.11	3.11	          1.06	          0.96	         30.48	   1.27㈢	         12.57	          1.75	          1.39	600221	--  	--  	--  	
601919	中远海控	-0.81	0.41	水运	1033	4.87	4.92	0.41	205783	1195	          0.27	3.02	5.02	4.92	0.080㈢	    52.44	101417624	  0.53	        375.68亿	天津	4.95	4.93	115875	89908	  1.29	4.91	3426	  0.39	         76.36	-0.04	        476.20亿	   2841	--  	     72	        0.0001	20190213	20070626	        122.60	--  	         25.81	2278.72	223.30	        326.56	75.87	643.50	1053.21	79.25	958.23	277.87	39.18	0.00	821.30	761.21	15.65	16.21	26.34	21.30	8.63	-156.43	44.74	76.17	298472.00	         10313	5.07万	-68.47	21.50	          2.25	13.48	0.73	4.96	          2.19	2.19	          2.27	         -1.28	          9.80	   3.86㈢	          7.32	          1.91	          1.05	601919	--  	--  	--  	
000885	城发环境	-1.37	0.35	公路	557	8.47	8.62	0.35	89172	1771	          1.99	3.78	8.80	8.61	0.880㈢	     7.34	76990288	  0.92	         38.61亿	河南	8.68	8.63	52686	36486	  1.44	8.61	527	  0.44	          4.48	-0.12	         42.74亿	   2041	--  	     44	        0.0010	20190213	19990319	          4.96	--  	--  	80.80	22.98	          1.55	69.65	8.19	55.95	0.09	22.95	0.55	0.14	1.49	14.08	5.35	6.24	0.09	5.99	4.46	4.37	13.64	8.29	0.74	47271.00	          2570	2.21万	-26.24	-62.95	          1.86	5.16	3.04	8.73	          4.63	0.00	          0.11	          2.75	         28.44	  19.01㈢	         62.04	         44.34	         31.02	000885	20171129	17.15	-49.74	
002928	华夏航空	2.55	0.32	空运	249	21.12	22.13	0.32	146503	1754	         10.76	7.69	22.78	22.13	0.630㈣	    35.82	324485856	  1.42	         30.12亿	贵州	21.32	22.15	71770	74733	  0.96	22.12	566	  4.36	          1.36	0.55	         88.63亿	   3418	--  	     43	        0.0031	20190311	20180302	          4.00	--  	--  	77.85	21.24	          0.00	72.72	24.55	38.94	0.95	23.29	9.64	0.74	0.00	42.60	36.58	2.30	0.00	2.95	2.47	2.47	6.72	5.21	0.61	24000.00	          5672	12.55万	-33.87	23.54	          4.17	17.00	2.08	21.58	          5.30	0.00	          2.41	          1.68	         27.28	  11.65㈣	         14.14	          5.40	          5.81	002928	20180309	47.46	-53.14	
603069	海汽集团	-2.34	0.27	公路	79	7.42	7.52	0.27	37910	267	          2.18	4.81	7.79	7.52	0.161㈢	    35.04	28824404	  0.61	         13.07亿	海南	7.73	7.60	20961	16948	  1.24	7.50	18	 -1.14	          1.74	-0.18	         23.76亿	   1322	--  	     29	        0.0016	20190213	20160712	          3.16	--  	--  	19.04	11.05	          0.09	41.47	6.89	6.75	2.29	6.66	3.76	0.18	0.51	8.23	6.40	0.66	0.09	0.66	0.51	0.51	3.59	1.56	0.14	25753.00	          4448	3.34万	7.60	-1.26	          2.15	15.25	2.89	7.70	          3.50	0.00	          1.19	          1.13	         58.03	   4.60㈢	         22.29	          7.98	          6.18	603069	--  	--  	--  	
000099	中信海直	1.71	0.26	空运	412	7.49	7.75	0.26	140912	1343	          2.33	5.51	7.91	7.75	0.145㈢	    40.03	108317432	  0.81	         46.97亿	深圳	7.55	7.69	74100	66812	  1.11	7.74	2053	  3.52	          6.06	0.13	         46.97亿	   2245	--  	     63	        0.0010	20190213	20000731	          6.06	--  	--  	54.68	30.26	          1.25	42.37	17.51	28.01	0.94	7.67	10.33	3.37	6.29	9.89	7.48	1.25	0.00	1.25	0.97	0.88	11.65	0.78	-3.65	61614.00	          6037	4.68万	4.79	11.19	          1.55	59.93	4.75	7.62	          4.99	0.00	          1.70	          1.92	         55.34	   2.91㈢	         24.35	         12.69	          8.90	000099	20180416	9.48	-18.09	
601006	大秦铁路	-0.59	0.24	铁路	731	8.38	8.41	0.24	391366	2773	          0.26	1.42	8.50	8.41	0.816㈢	     7.73	330150240	  0.66	       1250.30亿	山西	8.45	8.44	196159	195207	  1.00	8.40	265	  0.61	        148.67	-0.05	       1250.30亿	   3737	--  	    105	        0.0001	20190213	20060801	        148.67	--  	--  	1329.26	1046.07	         15.11	20.17	268.98	706.33	64.87	159.15	247.19	15.27	60.27	568.62	427.64	156.69	23.81	155.59	121.18	121.34	534.40	107.36	46.36	139235.00	         40900	34.40万	7.98	36.23	          1.20	11.65	2.20	8.46	          7.04	0.00	          1.66	          3.59	         78.70	  11.60㈢	         24.79	         27.56	         21.34	601006	--  	--  	--  	
