代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
002689	远大智能	-5.56	0.59	运输设备	2890	5.00	5.10	0.59	229646	3757	          2.21	7.22	5.39	5.10	-0.012㈢	--  	117851240	  0.41	         53.08亿	辽宁	5.39	5.13	123780	105865	  1.17	5.09	244	 -3.74	         10.41	-0.30	         53.21亿	   2989	--  	     77	        0.0007	20190213	20120717	         10.43	--  	--  	24.72	13.63	         -0.05	45.03	15.63	4.76	2.71	9.58	0.24	3.97	8.24	7.24	5.41	-0.14	0.00	-0.15	-0.14	-0.13	2.16	-0.25	-1.61	56613.00	          7743	3.95万	-134.22	-15.26	          3.90	-216.29	7.35	5.40	          1.31	0.00	          0.02	          0.21	         55.15	  -0.92㈢	         25.20	         -1.99	         -1.73	002689	20180312	4.87	17.25	
000008	神州高铁	-2.41	0.45	运输设备	1872	4.38	4.46	0.45	592213	5603	          2.32	4.38	4.58	4.46	0.044㈢	    75.28	263602496	  0.61	        114.08亿	北京	4.53	4.45	332065	260147	  1.28	4.45	2156	 -0.59	         25.58	-0.11	        124.02亿	   3452	--  	    172	        0.0007	20190110	19920507	         27.81	--  	--  	98.88	71.03	          0.76	27.40	50.96	2.44	2.13	23.91	29.02	7.98	26.95	12.90	6.63	1.72	0.22	1.75	1.32	1.24	14.83	-8.93	-4.86	80438.00	         25689	11.46万	1.34	31.70	          1.75	-13.89	9.62	4.57	          2.55	0.00	          1.04	          0.53	         71.84	   1.74㈢	         48.57	         13.32	          9.58	000008	--  	--  	--  	
603111	康尼机电	-5.22	0.38	运输设备	1485	5.17	5.27	0.38	189088	1693	          2.26	6.65	5.54	5.27	-0.550㈢	--  	100365248	  0.44	         44.06亿	江苏	5.50	5.31	106024	83063	  1.28	5.26	128	 -4.02	          8.36	-0.29	         52.35亿	   2769	--  	     68	        0.0008	20190311	20140801	          9.93	--  	--  	74.11	43.20	          0.47	41.07	43.07	5.47	1.34	25.22	31.76	6.98	24.18	27.09	18.58	-0.47	0.03	-5.10	-5.71	-5.32	0.45	-6.37	-6.02	35642.00	         19535	10.29万	-402.76	69.79	          1.21	-8.22	1.93	5.56	          4.35	0.00	          3.20	          0.04	         58.29	 -12.32㈢	         31.42	         -1.75	        -19.65	603111	--  	--  	--  	
603321	梅轮电梯	-3.99	0.37	运输设备	75	8.04	8.19	0.37	49457	827	          4.26	6.57	8.60	8.19	0.150㈢	    40.95	40806988	  0.66	          9.51亿	浙江	8.55	8.25	31009	18448	  1.68	8.18	208	 -2.79	          1.16	-0.34	         25.14亿	   1510	--  	     33	        0.0028	20181027	20170915	          3.07	--  	--  	15.37	10.21	          0.00	33.58	11.60	2.80	0.45	5.04	3.45	0.98	2.73	5.08	3.75	0.49	0.15	0.53	0.46	0.46	3.27	0.37	0.41	26867.00	          3504	2.87万	-27.48	-8.38	          2.46	68.23	4.95	8.53	          3.32	0.00	          1.12	          1.07	         66.42	   4.51㈢	         26.13	          9.64	          9.06	603321	20180118	14.28	-41.95	
603680	今创集团	-1.67	0.23	运输设备	54	16.70	17.10	0.23	33054	378	          1.79	5.35	17.63	17.10	0.580㈢	    23.40	56323892	  0.66	         31.54亿	江苏	17.03	17.04	19202	13852	  1.39	17.09	7	 -0.47	          1.84	-0.29	        104.08亿	   1714	--  	     19	        0.0010	20190226	20180227	          6.09	--  	--  	74.51	36.33	          0.53	50.53	56.42	7.52	2.60	28.52	17.44	16.99	20.29	22.24	14.27	4.04	0.90	4.02	3.39	3.34	11.84	-2.77	-1.02	24953.00	          2356	4.03万	-17.03	8.20	          2.66	-37.62	4.68	17.39	          6.42	6.42	          2.86	          1.95	         48.76	   9.18㈢	         35.82	         18.16	         15.00	603680	--  	--  	--  	
601766	中国中车	-1.51	0.11	运输设备	360	9.10	9.17	0.11	908356	9298	          0.40	3.01	9.38	9.16	0.262㈢	    26.18	837696256	  0.68	       2099.26亿	北京	9.30	9.22	469121	439235	  1.07	9.16	2282	 -0.31	        229.18	-0.14	       2228.43亿	   4493	--  	    202	        0.0001	20190213	20080818	        286.99	--  	         43.71	3981.30	1245.19	        213.48	63.36	2773.35	553.86	172.10	2303.29	405.82	807.50	0.00	1353.66	1043.59	100.67	13.90	104.29	86.90	75.32	527.78	-7.31	-160.25	839601.00	         10574	9.69万	10.61	-3.77	          2.11	-359.58	1.94	9.30	          4.34	0.00	          1.41	          1.84	         31.28	   6.05㈢	         22.91	          7.44	          5.56	601766	--  	--  	--  	
002367	康力电梯	-4.29	0.11	运输设备	937	9.02	9.38	0.11	444191	2912	          8.47	11.54	10.15	9.37	0.078㈢	    90.15	423920576	  0.89	         49.13亿	江苏	9.63	9.54	226544	217646	  1.04	9.37	616	 -2.47	          5.24	-0.42	         74.74亿	   3366	--  	    132	        0.0025	20190213	20100312	          7.98	--  	--  	54.57	32.19	          0.31	40.43	36.17	12.91	2.12	21.08	11.82	8.46	8.11	22.72	16.87	0.77	0.60	0.73	0.62	0.62	10.08	2.29	-0.78	40007.00	         10864	10.18万	-77.36	-6.95	          2.32	32.64	3.29	9.79	          4.04	0.00	          1.48	          1.26	         59.00	   1.93㈢	         25.75	          3.37	          2.74	002367	20180315	10.03	0.90	
600967	内蒙一机	-4.83	0.09	运输设备	305	11.18	11.43	0.09	353989	2671	          3.69	7.25	12.05	11.42	0.207㈢	    41.43	407684320	  1.07	        109.69亿	内蒙	11.91	11.52	194032	159957	  1.21	11.42	188	 -3.64	          9.60	-0.58	        192.96亿	   3876	--  	     91	        0.0010	20190213	20040518	         16.90	--  	--  	187.96	82.73	          0.62	55.65	139.03	21.56	24.52	99.21	41.14	32.91	12.34	71.61	63.77	4.16	0.18	4.13	3.52	3.49	22.73	16.30	16.15	39313.00	         19406	22.16万	9.06	-1.84	          2.33	11.84	2.69	12.00	          4.90	0.00	          2.44	          1.35	         44.02	   4.22㈢	         10.94	          5.81	          4.88	600967	--  	--  	--  	
600894	广日股份	-3.27	0.00	运输设备	339	7.03	7.10	0.00	113504	379	          1.32	4.50	7.36	7.09	0.303㈢	    17.58	81076208	  0.92	         60.97亿	广东	7.28	7.14	74506	38997	  1.91	7.09	134	 -2.08	          8.60	-0.24	         60.97亿	   1699	--  	     67	        0.0008	20190213	19960328	          8.60	--  	--  	95.87	69.20	          2.01	25.72	47.70	11.86	1.76	24.40	24.41	8.30	14.12	40.44	34.88	2.53	1.85	2.76	2.62	2.60	33.06	0.22	-4.76	32104.00	         11637	8.25万	-29.10	15.60	          0.88	278.62	1.51	7.33	          8.05	0.00	          2.84	          3.84	         72.19	   3.76㈢	         13.75	          6.26	          6.43	600894	--  	--  	--  	
600495	晋西车轴	-0.94	0.00	运输设备	1697	5.20	5.28	0.00	300522	1924	          2.49	5.08	5.47	5.27	0.033㈢	   119.89	160368528	  0.76	         63.67亿	山西	5.30	5.34	140321	160201	  0.88	5.27	1202	  0.26	         12.08	-0.05	         63.67亿	   3578	--  	     84	        0.0007	20190213	20040526	         12.08	--  	--  	39.48	31.50	          0.00	20.20	23.04	10.02	0.98	7.29	11.60	6.01	1.69	9.12	7.40	0.56	0.43	0.56	0.40	0.40	5.80	2.78	2.77	139698.00	          5986	3.15万	99.96	-13.43	          2.02	22.89	6.98	5.32	          2.61	0.00	          0.96	          0.48	         79.80	   1.26㈢	         18.81	          6.20	          4.37	600495	--  	--  	--  	
