代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600764	中国海防	-3.44	2.08	通信设备	10	29.00	29.99	2.08	21791	399	          0.66	7.98	31.48	29.99	0.064㈢	   353.01	65283084	  0.72	         98.60亿	北京	30.75	29.96	11560	10231	  1.13	29.62	80	 -2.25	          3.29	-1.07	        118.40亿	   1898	--  	     11	        0.0003	20181219	19961104	          3.95	--  	--  	14.45	10.46	          0.00	27.63	10.81	3.03	0.59	2.69	4.39	1.40	3.22	1.73	0.94	0.29	0.00	0.31	0.25	0.25	1.93	-1.19	-2.18	13386.00	          9000	26.99万	-56.85	-4.42	         11.32	-99.08	68.64	31.06	          2.65	0.00	          1.11	          0.49	         72.37	   2.41㈢	         45.60	         16.90	         14.58	600764	--  	--  	--  	
002583	海能达	-2.17	0.93	通信设备	50	10.51	10.80	0.93	184376	1330	          1.76	6.25	11.20	10.80	0.070㈢	   113.21	197695472	  0.82	        113.36亿	深圳	11.01	10.72	86508	97868	  0.88	10.78	505	 -0.36	         10.50	-0.24	        198.42亿	   4000	--  	     46	        0.0004	20181109	20110527	         18.37	--  	--  	144.10	57.84	          0.00	59.86	72.03	14.73	33.06	69.83	26.88	20.69	37.48	45.31	24.95	1.25	0.00	1.21	1.31	1.31	11.58	-5.06	-8.74	39207.00	         20722	22.38万	155.76	42.77	          3.39	-39.18	4.38	11.04	          3.18	3.18	          1.46	          0.63	         40.14	   2.27㈢	         44.94	          2.76	          2.90	002583	20171027	18.53	-41.58	
002547	春兴精工	-3.45	0.90	通信设备	4083	7.60	7.84	0.90	602769	8943	          7.56	7.03	8.17	7.83	0.039㈢	   150.02	471531936	  0.69	         62.46亿	江苏	8.09	7.82	302955	299813	  1.01	7.83	316	 -1.64	          7.98	-0.28	         88.33亿	   4386	--  	    137	        0.0017	20190213	20110218	         11.28	--  	--  	85.56	27.51	          1.83	65.71	42.25	21.21	1.45	55.67	14.40	8.80	15.83	36.11	29.61	1.16	-0.07	1.20	0.74	0.44	1.23	3.63	0.23	81447.00	          9794	7.67万	3.57	41.62	          3.21	24.31	2.45	8.11	          2.44	0.00	          1.28	          0.11	         32.15	   1.61㈢	         18.00	          3.22	          1.22	002547	20171116	9.20	-14.89	
002519	银河电子	-8.51	0.83	通信设备	364	4.76	4.84	0.83	337479	4548	          4.06	9.07	5.24	4.84	0.117㈢	    31.00	165886560	  0.54	         40.25亿	江苏	5.12	4.92	181893	155585	  1.17	4.83	91	 -6.69	          8.32	-0.45	         54.52亿	   3376	--  	    100	        0.0012	20190308	20101207	         11.26	--  	--  	50.20	37.44	          0.06	25.30	28.45	5.67	1.96	12.14	18.70	5.58	10.26	11.11	7.52	1.54	0.31	1.53	1.30	1.32	8.11	0.03	-0.83	33829.00	         17826	8.63万	0.15	-2.75	          2.19	2026.89	4.91	5.29	          2.21	2.21	          1.66	          0.72	         74.58	   3.52㈢	         32.33	         13.84	         11.87	002519	20170817	8.07	-40.02	
300079	数码科技	-9.34	0.80	通信设备	1291	6.26	6.31	0.80	1948138	37429	         16.11	4.89	6.60	6.31	0.059㈢	    80.64	1237896192	  0.84	         76.29亿	北京	6.50	6.35	1012740	935397	  1.08	6.30	6920	 -7.52	         12.09	-0.65	         90.46亿	   4152	--  	    469	        0.0039	20190213	20100430	         14.34	--  	--  	45.52	36.57	         -0.01	19.67	29.72	4.58	5.35	8.82	8.04	5.30	8.42	9.96	5.95	0.78	0.09	0.82	0.84	0.84	13.69	-1.94	0.25	89495.00	         13510	8.52万	0.04	2.77	          2.47	-46.63	9.08	6.96	          2.55	0.00	          0.56	          0.96	         80.36	   2.30㈢	         40.27	          7.81	          8.44	300079	--  	--  	--  	
000889	中嘉博创	-0.31	0.78	通信设备	2	12.74	13.00	0.78	48396	364	          0.78	6.98	13.65	13.00	0.260㈢	    40.40	63743928	  0.67	         80.81亿	河北	12.91	13.17	29270	19125	  1.53	12.97	4	  1.51	          6.22	-0.04	         86.98亿	   2008	--  	     24	        0.0004	20181211	19971218	          6.69	--  	--  	50.34	35.19	          0.00	30.09	17.82	1.85	0.84	15.06	17.77	0.40	13.05	22.15	18.18	1.88	0.01	1.91	1.62	1.61	9.84	-3.11	-0.86	16899.00	         15694	20.40万	-8.98	57.67	          2.47	-28.01	3.93	13.04	          5.26	0.00	          2.66	          1.47	         69.91	   4.59㈢	         17.94	          8.47	          7.29	000889	--  	--  	--  	
300211	亿通科技	-5.17	0.76	通信设备	134	6.46	6.61	0.76	93194	1076	          5.02	7.18	6.96	6.60	0.009㈢	   528.46	62254148	  0.55	         12.26亿	江苏	6.96	6.68	59023	34170	  1.73	6.60	174	 -3.36	          1.86	-0.36	         19.98亿	   1903	--  	     49	        0.0026	20190213	20110505	          3.03	--  	--  	5.50	4.89	          0.00	11.11	3.45	1.38	0.16	0.58	0.37	0.15	1.22	0.99	0.78	0.03	0.02	0.03	0.03	0.03	1.28	0.33	0.38	11182.00	         13332	8.80万	-25.60	-16.36	          4.09	60.11	20.25	6.96	          1.61	0.00	          0.12	          0.42	         88.89	   0.58㈢	         21.39	          3.12	          2.87	300211	20180312	6.69	-0.60	
300134	大富科技	5.73	0.71	通信设备	1211	15.54	16.99	0.71	385318	8020	          5.41	8.97	16.98	16.98	-0.091㈢	--  	629975552	  0.79	        120.97亿	深圳	15.82	16.35	176917	208401	  0.85	16.98	626	  7.54	          7.12	0.92	        130.32亿	   4221	--  	     91	        0.0013	20190213	20101026	          7.67	--  	--  	66.54	52.54	          0.22	20.71	36.98	14.60	3.73	13.17	48.47	5.06	6.66	13.32	11.50	-0.88	0.06	-0.86	-0.72	-0.70	-4.65	-0.23	4.94	59301.00	          6434	10.93万	81.01	2.00	          2.48	-566.82	9.79	16.06	          6.85	0.00	          6.31	         -0.61	         78.96	  -1.32㈢	         13.66	         -6.59	         -5.23	300134	20170906	17.03	-0.29	
300299	富春股份	-5.81	0.69	通信设备	514	5.71	5.85	0.69	347778	3851	          5.69	8.55	6.24	5.84	0.048㈢	    90.91	205400528	  0.69	         35.70亿	福建	6.18	5.91	198227	149550	  1.33	5.84	1867	 -3.99	          6.11	-0.36	         42.51亿	   3113	--  	    112	        0.0018	20190131	20120319	          7.28	--  	--  	21.56	12.26	          0.03	43.02	5.32	0.25	0.12	7.51	4.32	0.00	2.83	3.75	1.55	0.42	0.28	0.42	0.35	0.35	0.55	-0.37	-2.35	35065.00	         12174	7.11万	-55.57	3.25	          3.47	-113.40	11.34	6.20	          1.68	0.00	          0.59	          0.08	         56.86	   2.86㈢	         58.58	         11.27	          9.36	300299	20180208	8.17	-7.07	
300590	移为通信	4.99	0.65	通信设备	14	39.64	43.14	0.65	73443	251	          7.57	13.05	45.00	43.13	0.520㈢	    63.34	309040480	  1.19	         41.84亿	上海	41.10	42.08	34645	38797	  0.89	43.13	1	  6.81	          0.97	2.05	         69.65亿	   3217	--  	     23	        0.0024	20190223	20170111	          1.61	--  	--  	9.91	8.20	          0.00	17.30	8.74	0.95	0.00	1.65	4.36	1.05	0.53	3.05	1.62	0.91	0.10	0.95	0.82	0.82	1.92	0.83	-1.57	17630.00	          2484	10.72万	36.10	43.73	          8.06	83.59	22.86	41.08	          5.35	5.35	          2.70	          1.19	         82.70	  10.06㈢	         46.89	         29.74	         27.07	300590	--  	--  	--  	
