代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
002552	宝鼎科技	-5.79	1.01	机械基件	129	6.88	7.00	1.01	60421	808	          3.02	5.92	7.32	7.00	0.094㈣	    74.72	42600112	  0.53	         14.01亿	浙江	7.32	7.05	34578	25843	  1.34	6.99	538	 -3.97	          2.00	-0.43	         21.44亿	   1598	--  	     38	        0.0019	20190221	20110225	          3.06	--  	--  	7.79	6.06	          0.00	22.17	3.15	2.87	0.34	1.59	4.09	1.06	0.00	3.11	2.43	0.28	0.17	0.29	0.29	0.29	-1.35	0.34	-0.10	15068.00	          5809	4.07万	121.24	30.31	          3.53	63.94	6.90	7.43	          1.98	0.00	          1.33	         -0.44	         77.83	   4.73㈣	         21.89	          8.95	          9.23	002552	--  	--  	--  	
000678	襄阳轴承	0.24	0.84	机械基件	535	8.25	8.45	0.84	59927	482	          1.40	4.15	8.60	8.45	-0.041㈢	--  	50303864	  0.72	         36.26亿	湖北	8.47	8.39	31212	28715	  1.09	8.44	597	  2.05	          4.29	0.02	         38.84亿	   1294	--  	     46	        0.0011	20190213	19970106	          4.60	--  	--  	27.89	12.27	          0.72	53.43	11.03	11.81	3.30	11.76	7.70	5.07	3.39	11.72	10.63	-0.16	0.00	-0.14	-0.16	-0.19	-0.80	0.32	-0.02	36619.00	          5940	5.02万	-367.31	-0.95	          3.17	120.08	3.31	8.43	          2.67	0.00	          1.68	         -0.17	         43.99	  -1.54㈢	          9.32	         -1.34	         -1.61	000678	--  	--  	--  	
300718	长盛轴承	-1.24	0.78	机械基件	5	16.47	16.76	0.78	28348	1038	          5.73	3.71	17.10	16.76	0.527㈢	    23.83	47430732	  0.53	          8.30亿	浙江	17.00	16.73	17957	10391	  1.73	16.71	100	  0.58	          0.50	-0.21	         33.18亿	   1132	--  	     25	        0.0051	20190311	20171106	          1.98	--  	--  	11.96	10.83	          0.14	8.29	8.05	2.60	0.31	0.89	4.11	0.73	1.38	5.02	3.28	1.23	0.12	1.27	1.06	1.04	4.24	0.84	-0.22	14134.00	          3502	5.87万	10.24	19.83	          2.95	39.43	6.62	16.97	          5.69	5.69	          2.07	          2.14	         90.54	   9.64㈢	         34.54	         24.60	         20.82	300718	--  	--  	--  	
300435	中泰股份	-4.87	0.74	机械基件	85	10.78	10.95	0.74	24456	363	          2.38	4.95	11.35	10.95	0.237㈢	    34.70	26986842	  0.71	         11.26亿	浙江	11.30	11.03	16249	8207	  1.98	10.94	82	 -3.05	          1.03	-0.56	         27.32亿	   1085	--  	     23	        0.0022	20190309	20150326	          2.50	--  	--  	15.08	8.04	          0.02	46.57	11.61	0.75	0.33	6.79	2.00	3.42	3.12	4.12	3.02	0.62	0.22	0.66	0.57	0.59	3.30	0.26	-0.19	10097.00	          8885	9.73万	20.26	34.14	          3.37	103.52	6.64	11.51	          3.25	3.25	          0.80	          1.32	         53.31	   7.35㈢	         26.60	         15.15	         14.34	300435	20180522	13.65	-18.32	
603677	奇精机械	-1.30	0.73	机械基件	100	14.91	15.18	0.73	27641	524	          4.84	5.20	15.71	15.18	0.410㈣	    38.32	42312820	  0.75	          8.67亿	浙江	15.57	15.31	14380	13260	  1.08	15.17	19	 -0.10	          0.57	-0.20	         29.78亿	   1164	--  	     24	        0.0042	20190311	20170206	          1.96	--  	--  	20.04	10.41	          0.00	48.05	12.96	4.05	0.75	7.08	4.89	3.53	0.00	13.81	11.40	0.98	0.02	0.97	0.78	0.78	2.77	0.77	0.83	8347.00	          6840	10.38万	-22.38	6.89	          3.09	38.57	2.16	15.38	          4.91	4.91	          2.49	          1.41	         51.95	   7.46㈣	         17.44	          7.10	          5.62	603677	--  	--  	--  	
601882	海天精工	-4.30	0.70	机床制造	181	8.56	8.68	0.70	45777	405	          3.63	5.96	9.10	8.67	0.157㈢	    41.43	40130132	  0.92	         10.92亿	浙江	9.10	8.77	27780	17997	  1.54	8.67	270	 -3.11	          1.26	-0.39	         45.26亿	   1696	--  	     27	        0.0021	20190213	20161107	          5.22	--  	--  	22.71	12.19	          0.00	46.32	14.39	7.07	0.77	9.43	2.90	6.47	0.74	10.09	7.78	0.85	0.00	0.97	0.83	0.82	3.64	2.72	-0.21	21396.00	          5886	5.10万	8.74	9.36	          3.71	16.66	4.49	9.06	          2.33	0.00	          0.56	          0.70	         53.68	   6.72㈢	         22.87	          8.45	          8.12	601882	--  	--  	--  	
002150	通润装备	0.62	0.62	机械基件	147	7.81	8.06	0.62	44336	834	          1.62	4.49	8.17	8.06	0.335㈢	    18.04	35366292	  0.88	         22.10亿	江苏	8.13	7.98	20502	23834	  0.86	8.05	178	  2.44	          2.74	0.05	         22.10亿	   1295	--  	     34	        0.0012	20190312	20070810	          2.74	--  	--  	15.49	11.65	          0.73	20.09	11.64	3.23	0.44	3.06	4.24	1.96	2.20	9.35	7.07	1.40	0.02	1.39	1.04	0.92	3.99	0.36	0.67	14109.00	          8821	7.11万	43.20	4.67	          1.85	61.88	2.37	8.01	          4.35	4.35	          1.54	          1.45	         75.19	   7.89㈢	         24.33	         14.93	          9.83	002150	20180711	6.85	17.66	
603320	迪贝电气	-3.93	0.60	机械基件	51	19.60	20.04	0.60	25732	396	          7.92	7.91	21.25	20.04	0.428㈣	    46.79	51860052	  0.38	          6.51亿	浙江	20.86	20.15	13919	11812	  1.18	20.02	79	 -2.73	          0.33	-0.82	         20.04亿	   1616	--  	     16	        0.0049	20190313	20170502	          1.00	--  	--  	7.13	6.20	          0.00	12.98	4.77	1.29	0.66	0.89	2.18	1.23	0.00	6.35	5.42	0.50	0.05	0.50	0.43	0.43	2.77	0.55	-0.63	10000.00	          3250	6.51万	-16.87	-2.86	          3.23	36.47	3.16	20.86	          6.20	0.00	          2.18	          2.77	         87.02	   6.91㈣	         14.59	          7.89	          6.75	603320	20180514	26.24	-23.03	
603667	五洲新春	5.16	0.58	机械基件	518	9.45	10.41	0.58	68768	2958	          6.06	13.65	10.80	10.40	0.370㈢	    27.03	69027680	  1.57	         11.80亿	浙江	9.87	10.04	32029	36739	  0.87	10.40	114	  6.35	          1.13	0.51	         30.40亿	   1525	--  	     45	        0.0040	20190309	20161025	          2.92	--  	--  	21.29	12.34	          1.00	37.34	11.92	6.28	1.63	7.35	5.03	5.67	3.64	9.85	7.72	1.01	0.05	1.01	0.84	0.84	4.24	0.11	-0.07	28771.00	          3944	4.10万	7.96	16.61	          2.22	289.36	3.09	9.89	          4.69	4.69	          1.72	          1.45	         57.96	   6.84㈢	         21.56	         10.21	          8.57	603667	20180921	11.20	-7.14	
601002	晋亿实业	0.98	0.56	机械基件	811	6.98	7.20	0.56	233610	6723	          2.95	5.06	7.34	7.19	0.151㈢	    35.76	166691344	  0.73	         56.99亿	浙江	7.04	7.14	110292	123318	  0.89	7.19	3075	  2.18	          7.93	0.07	         56.99亿	   2956	--  	     79	        0.0010	20190213	20070126	          7.93	--  	--  	49.45	25.13	          2.42	44.29	34.65	12.22	1.07	13.66	11.01	19.12	8.05	24.48	19.75	1.73	0.03	1.70	1.28	1.20	4.36	-0.08	0.79	83720.00	          5553	3.99万	-11.08	15.97	          2.27	-707.46	2.33	7.12	          3.17	0.00	          1.39	          0.55	         50.81	   4.76㈢	         19.34	          7.05	          4.88	601002	20171026	10.28	-29.09	
