代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
601007	金陵饭店	-2.26	0.32	酒店餐饮	89	9.45	9.51	0.32	21947	113	          0.73	3.80	9.82	9.51	0.200㈢	    35.69	21011546	  0.65	         28.53亿	江苏	9.74	9.57	13070	8877	  1.47	9.48	46	 -1.06	          3.00	-0.22	         28.53亿	   1101	--  	     20	        0.0007	20190213	20070406	          3.00	--  	--  	29.78	14.55	          6.98	27.72	8.60	12.80	3.79	4.88	4.04	3.36	0.60	7.87	2.93	1.05	0.18	1.07	0.86	0.60	6.52	2.70	-0.60	20177.00	          8697	8.27万	-17.66	15.29	          1.96	10.57	3.63	9.73	          4.85	0.00	          1.35	          2.17	         48.84	   4.12㈢	         62.70	         13.34	          7.62	601007	20180611	11.03	-13.78	
000428	华天酒店	-1.56	0.32	酒店餐饮	104	3.11	3.17	0.32	81220	1536	          0.80	4.67	3.26	3.16	-0.202㈢	--  	25762644	  0.90	         32.20亿	湖南	3.21	3.17	43787	37433	  1.17	3.16	847	  0.26	         10.19	-0.05	         32.20亿	   1317	--  	     62	        0.0006	20190313	19960808	         10.19	--  	--  	75.03	28.05	          0.62	61.79	15.82	33.40	5.48	27.99	14.53	6.80	0.00	7.05	3.26	-2.82	0.03	-2.82	-2.84	-2.06	2.67	1.52	-5.37	32977.00	         11765	3.72万	-38.64	0.39	          1.15	21.12	4.56	3.21	          2.75	0.00	          1.43	          0.26	         37.38	  -7.33㈢	         53.72	        -39.92	        -29.13	000428	--  	--  	--  	
000524	岭南控股	-1.90	0.26	酒店餐饮	555	7.65	7.76	0.26	31660	270	          1.16	4.05	7.97	7.76	0.242㈢	    24.08	24613434	  0.52	         21.14亿	广东	7.90	7.77	18467	13193	  1.40	7.75	117	 -0.08	          2.72	-0.15	         52.01亿	   1026	--  	     31	        0.0011	20190213	19931118	          6.70	--  	--  	46.74	25.15	          0.39	45.36	16.01	5.54	5.68	17.83	12.15	0.23	1.91	52.77	44.39	2.28	0.40	2.28	1.71	1.62	4.15	2.93	-3.89	24864.00	          5209	4.04万	14.74	9.86	          2.07	17.74	0.99	7.91	          3.75	0.00	          1.81	          0.62	         53.81	   6.44㈢	         15.89	          4.32	          3.07	000524	--  	--  	--  	
000007	全新好	-7.95	0.14	酒店餐饮	1279	6.94	7.07	0.14	218844	2926	          7.08	10.43	7.74	7.06	-0.025㈢	--  	159553280	  0.84	         21.81亿	深圳	7.41	7.29	127487	91356	  1.40	7.06	115	 -6.14	          3.09	-0.61	         24.46亿	   3004	--  	     73	        0.0024	20190213	19920413	          3.46	--  	--  	4.25	3.78	          0.03	10.25	1.41	0.67	0.00	0.42	1.57	0.00	0.00	0.32	0.09	-0.12	0.05	-0.13	-0.09	-0.09	-1.34	-0.06	-0.01	13946.00	         16775	11.84万	-183.86	-5.28	          6.47	-397.48	75.82	7.67	          1.09	0.00	          0.45	         -0.39	         88.93	  -2.29㈢	         70.70	        -36.56	        -26.84	000007	--  	--  	--  	
600754	锦江股份	-1.49	0.08	酒店餐饮	4	23.62	23.87	0.08	32141	39	          0.50	2.97	24.34	23.86	0.910㈢	    19.66	76863792	  0.74	        154.74亿	上海	24.05	23.91	15536	16605	  0.94	23.86	12	 -0.29	          6.49	-0.36	        228.56亿	   3219	--  	     10	        0.0002	20190213	19961011	          9.58	          1.56	--  	401.59	126.56	         11.78	65.55	92.61	65.83	74.02	66.86	80.44	0.83	0.00	109.57	11.28	12.98	2.71	13.19	9.88	8.72	25.01	25.23	-30.18	50802.00	          6088	14.53万	22.51	9.23	          1.81	9.06	2.09	24.22	         13.21	0.00	          8.40	          2.61	         31.51	   6.89㈢	         89.70	         11.85	          7.96	600754	--  	--  	--  	
600258	首旅酒店	3.78	0.05	酒店餐饮	54	18.15	18.93	0.05	117986	663	          1.89	4.55	18.98	18.93	0.819㈢	    17.34	220128304	  1.08	        118.24亿	北京	18.38	18.66	45573	72412	  0.63	18.92	210	  4.98	          6.25	0.69	        185.30亿	   3741	--  	     32	        0.0005	20190213	20000601	          9.79	--  	--  	169.32	80.85	          2.80	50.59	23.69	24.16	39.12	34.39	47.34	0.52	2.74	63.69	3.46	11.42	1.45	11.56	8.33	8.01	21.33	14.26	-2.25	19445.00	         22125	41.88万	45.62	0.90	          2.29	12.99	2.91	18.24	          8.26	0.00	          4.84	          2.18	         47.75	   9.91㈢	         94.56	         17.93	         12.59	600258	--  	--  	--  	
002306	*ST云网	-4.92	0.00	酒店餐饮	0	3.67	3.67	0.00	84524	1039	          1.07	4.40	3.84	3.67	0.010㈣	   365.62	31478568	  1.24	         29.11亿	北京	3.81	3.72	48998	35525	  1.38	--  	5934	 -3.11	          7.93	-0.19	         29.36亿	    829	--  	    102	        0.0013	20190301	20091111	          8.00	--  	--  	0.91	0.24	          0.00	73.56	0.65	0.04	0.00	0.64	3.25	0.00	0.00	0.82	0.46	-0.19	0.00	0.09	0.08	0.08	-11.36	0.19	0.08	44000.00	         13826	5.07万	143.81	-15.55	        123.30	155.67	35.96	3.86	          0.03	0.00	          0.41	         -1.42	         26.09	  33.72㈣	         44.02	        -23.00	          9.83	002306	20171110	4.88	-24.80	
002186	全 聚 德	-1.62	0.00	酒店餐饮	15	12.58	12.77	0.00	24718	182	          0.81	3.78	13.07	12.77	0.417㈢	    22.98	31623882	  0.95	         39.12亿	北京	12.97	12.79	15017	9700	  1.55	12.73	6	  0.20	          3.06	-0.21	         39.39亿	   1008	--  	     25	        0.0008	20190213	20071120	          3.08	--  	--  	20.80	15.58	          0.99	20.30	12.34	5.37	1.05	4.11	5.40	0.96	0.55	13.63	5.14	1.79	0.19	1.82	1.39	1.29	5.67	1.27	-5.51	24064.00	          6539	8.35万	-3.81	-1.49	          2.59	30.93	2.89	12.98	          4.92	4.92	          1.75	          1.84	         74.92	   8.25㈢	         62.28	         13.10	          9.43	002186	--  	--  	--  	
000721	西安饮食	-5.44	0.00	酒店餐饮	2466	4.41	4.53	0.00	219516	1481	          5.04	5.65	4.68	4.52	-0.008㈢	--  	99517264	  0.96	         19.70亿	陕西	4.64	4.53	128936	90580	  1.42	4.52	75	 -3.62	          4.36	-0.26	         22.56亿	   2577	--  	     85	        0.0020	20190213	19970430	          4.99	--  	--  	10.72	6.58	          0.06	38.08	4.68	3.03	0.21	1.87	0.56	0.32	0.28	3.75	2.45	-0.03	0.00	-0.03	-0.05	-0.04	0.52	0.11	-0.07	66102.00	          5004	2.26万	-4.74	1.88	          3.43	212.23	6.01	4.78	          1.32	0.00	          0.11	          0.11	         61.36	  -0.63㈢	         34.60	         -0.68	         -1.11	000721	20180731	5.52	-18.12	
600640	号百控股	-5.33	-0.07	酒店餐饮	23	12.68	13.14	-0.07	153170	982	          2.60	10.73	14.17	13.14	0.232㈢	    42.45	204042016	  0.63	         77.45亿	上海	13.63	13.32	85286	67883	  1.26	13.13	78	 -4.13	          5.89	-0.74	        104.55亿	   2757	--  	     56	        0.0009	20190213	19930407	          7.96	--  	--  	61.72	43.99	          4.92	20.75	48.38	7.62	1.71	12.65	23.83	0.23	4.29	25.47	18.68	2.37	0.31	2.36	1.96	1.85	9.80	4.12	-13.79	27985.00	          9879	12.98万	-21.37	-33.41	          2.38	25.37	4.10	13.88	          5.53	0.00	          3.00	          1.23	         71.27	   4.20㈢	         26.67	          9.29	          7.25	600640	--  	--  	--  	
数据来源:通达信
