代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
600573	惠泉啤酒	6.33	1.08	啤酒	10	7.84	8.40	1.08	73052	3985	          2.92	7.22	8.41	8.40	0.098㈢	    64.04	59071560	  2.02	         21.00亿	福建	7.84	8.09	37091	35961	  1.03	8.39	64	  7.53	          2.50	0.50	         21.00亿	   1751	--  	     42	        0.0017	20190213	20030226	          2.50	--  	--  	12.47	11.32	          0.09	8.52	8.06	3.65	0.65	1.05	5.06	1.38	0.02	4.96	3.60	0.32	0.13	0.32	0.25	0.25	2.44	0.73	-2.94	15521.00	          8041	6.75万	202.84	-0.10	          1.86	28.59	4.24	7.90	          4.53	0.00	          2.02	          0.97	         90.77	   2.17㈢	         27.34	          6.53	          4.96	600573	--  	--  	--  	
600559	老白干酒	0.57	0.90	白酒	237	15.41	15.76	0.90	120629	2836	          1.97	2.87	15.86	15.75	0.380㈢	    33.40	189201408	  0.94	         96.59亿	河北	15.45	15.68	63205	57423	  1.10	15.75	975	  1.77	          6.13	0.09	        108.71亿	   2937	--  	     41	        0.0007	20190215	20021029	          6.90	--  	--  	57.49	26.43	          0.05	53.93	31.76	9.65	7.07	29.27	12.37	16.63	0.11	24.31	9.06	2.94	0.10	3.02	2.44	2.44	6.44	4.65	2.24	39018.00	         11184	17.61万	109.22	40.58	          3.97	23.40	4.47	15.66	          3.97	3.97	          1.79	          0.93	         45.98	   9.24㈢	         62.74	         12.10	         10.04	600559	--  	--  	--  	
600084	中葡股份	-3.43	0.90	红黄酒	274	3.21	3.39	0.90	434873	3264	          3.87	14.00	3.70	3.38	-0.075㈢	--  	148786096	  0.87	         37.98亿	新疆	3.58	3.42	237347	197525	  1.20	3.38	1374	 -2.23	         11.24	-0.12	         37.98亿	   3144	--  	    138	        0.0012	20181025	19970711	         11.24	--  	--  	28.32	22.60	         -0.13	20.64	22.20	1.93	1.24	5.79	26.80	13.25	0.64	2.84	1.85	-0.86	0.05	-0.86	-0.86	-0.84	-16.27	-1.11	-1.03	85486.00	          7144	2.41万	-14.99	-4.39	          1.68	-34.37	13.39	3.50	          2.01	0.00	          2.38	         -1.45	         79.81	  -3.71㈢	         34.69	        -30.33	        -29.58	600084	--  	--  	--  	
000929	兰州黄河	-1.71	0.54	啤酒	10	7.34	7.47	0.54	32498	54	          1.75	5.13	7.73	7.47	-0.364㈣	--  	24381252	  0.72	         13.88亿	甘肃	7.60	7.50	18575	13922	  1.33	7.45	71	  0.10	          1.86	-0.13	         13.88亿	   1123	--  	     29	        0.0016	20190213	19990623	          1.86	--  	--  	13.77	6.66	          4.24	20.91	10.30	2.38	0.63	2.84	1.93	2.21	0.00	5.09	3.50	-0.76	-0.01	-0.77	-0.66	-0.68	2.63	0.31	-4.81	16400.00	          7885	5.89万	-516.05	-14.68	          2.08	44.76	2.73	7.60	          3.58	0.00	          1.04	          1.42	         48.32	 -10.15㈣	         31.09	        -14.91	        -13.28	000929	--  	--  	--  	
002568	百润股份	-0.38	0.46	红黄酒	140	12.97	13.19	0.46	37175	248	          1.00	3.63	13.45	13.19	0.200㈢	    39.43	48892068	  0.82	         49.17亿	上海	13.30	13.15	22806	14368	  1.59	13.18	459	  1.44	          3.73	-0.05	         68.56亿	   2321	--  	     16	        0.0004	20190223	20110325	          5.20	--  	--  	22.55	18.72	          0.02	16.87	7.77	8.94	1.98	3.27	12.27	0.76	0.66	8.53	2.68	1.56	0.00	1.62	1.30	1.30	0.90	1.67	-0.92	23645.00	          9638	12.71万	11.52	6.14	          3.65	41.03	8.03	13.24	          3.61	3.61	          2.36	          0.17	         83.03	   6.97㈢	         68.62	         18.24	         15.28	002568	--  	--  	--  	
603589	口子窖	0.07	0.42	白酒	2	44.00	44.99	0.42	33080	125	          0.55	4.58	46.06	44.99	1.902㈢	    17.74	149266928	  0.95	        269.94亿	安徽	44.96	45.12	18610	14469	  1.29	44.80	12	  1.26	          6.00	0.03	        269.94亿	   3001	--  	     11	        0.0002	20190213	20150629	          6.00	--  	--  	75.88	57.76	          0.00	23.88	51.96	12.88	4.29	17.47	9.77	19.18	0.12	32.07	8.23	15.45	0.47	15.45	11.41	11.41	38.40	3.98	-5.97	12610.00	         32590	146.62万	26.68	18.13	          4.67	67.80	8.42	44.96	          9.63	0.00	          1.63	          6.40	         76.12	  19.76㈢	         74.34	         48.18	         35.58	603589	--  	--  	--  	
600199	金种子酒	-2.42	0.36	白酒	211	5.58	5.65	0.36	128577	701	          2.31	4.50	5.84	5.64	0.003㈢	  1447.08	73607856	  0.65	         31.35亿	安徽	5.75	5.72	76867	51709	  1.49	5.64	645	 -1.22	          5.56	-0.14	         31.35亿	   2182	--  	     59	        0.0011	20190213	19980812	          5.56	--  	--  	30.01	22.42	          0.06	25.12	17.64	5.74	2.85	5.89	7.01	6.76	0.92	7.98	4.25	0.09	0.00	0.11	0.02	0.02	8.46	-1.53	-2.27	72097.00	          5236	2.95万	-67.38	-3.96	          1.40	-20.48	3.93	5.78	          4.03	0.00	          1.26	          1.52	         74.69	   0.07㈢	         46.69	          1.14	          0.20	600199	--  	--  	--  	
000596	古井贡酒	4.38	0.33	白酒	2	81.50	87.00	0.33	35550	279	          0.93	7.70	87.92	87.00	2.493㈢	    26.17	303947872	  0.85	        333.73亿	安徽	82.73	85.50	14397	21152	  0.68	86.99	130	  6.19	          3.84	3.65	        438.13亿	   3297	--  	     11	        0.0003	20190213	19960927	          5.04	          1.20	--  	124.99	71.63	          4.15	39.37	86.43	17.09	7.45	47.40	12.95	22.04	0.23	67.62	14.92	17.14	1.05	17.33	12.89	12.56	51.02	25.37	12.66	21908.00	         10599	92.21万	57.46	26.54	          6.12	17.27	6.48	83.35	         14.22	0.00	          2.57	         10.13	         57.31	  17.53㈢	         77.93	         25.35	         18.57	000596	--  	--  	--  	
603919	金徽酒	4.38	0.29	白酒	123	13.41	14.06	0.29	87824	3082	          2.41	4.97	14.08	14.06	0.710㈣	    19.79	121378784	  2.13	         51.18亿	甘肃	13.53	13.82	40550	47273	  0.86	14.05	630	  5.58	          3.64	0.59	         51.18亿	   2731	--  	     32	        0.0009	20190312	20160310	          3.64	--  	--  	27.00	19.99	          0.00	25.99	10.09	11.51	1.70	4.99	6.54	7.34	0.00	14.62	5.51	3.36	0.00	3.36	2.59	2.59	8.65	0.86	-2.04	24600.00	          4892	6.88万	2.24	9.72	          2.56	59.37	3.50	13.47	          5.49	0.00	          1.80	          2.38	         74.01	  12.94㈣	         62.30	         22.95	         17.68	603919	--  	--  	--  	
600197	伊力特	1.27	0.28	白酒	85	17.10	17.62	0.28	152498	2237	          3.46	3.80	17.76	17.61	0.657㈢	    20.11	266798608	  1.21	         77.66亿	新疆	17.26	17.50	72374	80124	  0.90	17.61	217	  2.46	          4.41	0.22	         77.66亿	   3070	--  	     50	        0.0011	20190213	19990916	          4.41	--  	--  	29.91	23.55	          0.68	18.97	22.95	2.66	0.18	5.54	2.06	7.15	0.04	14.98	7.82	4.29	0.35	4.31	2.90	2.90	13.67	0.75	-1.07	32931.00	          7539	13.28万	12.90	16.50	          3.11	103.39	5.18	17.39	          5.67	5.67	          0.47	          3.10	         78.74	  12.30㈢	         47.82	         28.67	         19.34	600197	20170809	22.73	-21.43	
