代码	名称	涨幅%	涨速%	细分行业	买量	最低	卖价	涨速%	总量	现量	换手%	振幅%	最高	现价	每股收益	市盈(动)	总金额	量比	流通市值	地区	今开	均价	内盘	外盘	内外比	买价	卖量	强弱度%	流通股(亿)	涨跌	AB股总市值	活跃度	未匹配量	笔均量	笔换手	财务更新	上市日期	总股本(亿)	B/A股(亿)	H股(亿)	总资产(亿)	净资产(亿)	少数股权(亿)	资产负债率%	流动资产(亿)	固定资产(亿)	无形资产(亿)	流动负债(亿)	资本公积金(亿)	存货(亿)	应收帐款(亿)	营业收入(亿)	营业成本(亿)	营业利润(亿)	投资收益(亿)	利润总额(亿)	税后利润(亿)	净利润(亿)	未分利润(亿)	经营现金流(亿)	总现金流(亿)	股东人数	人均持股	人均市值	利润同比%	收入同比%	市净率	市现率	市销率	昨收	每股净资	调整后净资	每股公积	每股未分配	权益比%	净益率%	毛利率%	营业利润率%	净利润率%	交易代码	自选日	自选价	自选收益%	
002330	得利斯	-3.86	1.70	食品	90	5.76	5.98	1.70	81318	649	          1.62	5.48	6.10	5.97	0.011㈢	   415.74	48364476	  0.57	         29.97亿	山东	6.00	5.95	50567	30751	  1.64	5.97	1207	 -2.05	          5.02	-0.24	         29.97亿	   1711	--  	     48	        0.0009	20190220	20100106	          5.02	--  	--  	17.68	13.28	          0.04	24.66	7.05	8.44	1.55	4.34	4.87	2.10	2.15	14.72	13.16	0.03	0.00	0.04	0.05	0.05	3.19	-0.19	0.01	25590.00	          5362	3.20万	18.51	31.65	          2.26	-155.13	2.04	6.21	          2.65	0.00	          0.97	          0.64	         75.13	   0.41㈢	         10.60	          0.17	          0.37	002330	--  	--  	--  	
002286	保龄宝	-3.94	1.08	食品	311	6.46	6.58	1.08	95342	981	          2.90	7.15	6.95	6.58	0.119㈢	    41.58	63083536	  1.37	         21.62亿	山东	6.82	6.62	52972	42370	  1.25	6.57	348	 -2.13	          3.29	-0.27	         24.30亿	   2184	--  	     44	        0.0013	20190311	20090828	          3.69	--  	--  	24.67	15.41	          0.04	37.40	10.14	10.88	1.39	8.74	8.01	1.83	0.00	12.55	10.81	0.51	0.07	0.52	0.44	0.44	3.23	1.28	0.10	17060.00	         13346	8.78万	2.41	4.68	          1.57	18.97	1.94	6.85	          4.19	4.19	          2.17	          0.87	         62.46	   2.84㈢	         13.92	          4.06	          3.49	002286	--  	--  	--  	
600873	梅花生物	-3.88	0.97	食品	20	5.05	5.20	0.97	489517	6067	          1.59	5.73	5.36	5.20	0.235㈢	    16.62	252638496	  1.32	        159.83亿	西藏	5.36	5.16	305864	183652	  1.67	5.19	569	 -2.68	         30.74	-0.21	        161.63亿	   3291	--  	    149	        0.0005	20190221	19950217	         31.08	--  	--  	182.66	88.29	          2.58	50.25	46.95	98.64	12.37	58.80	21.36	8.63	5.01	93.00	70.14	8.85	0.38	8.86	7.44	7.29	32.07	21.32	-5.30	150000.00	         13141	6.83万	4.89	17.13	          1.83	7.58	1.74	5.41	          2.84	0.00	          0.69	          1.03	         48.34	   8.26㈢	         24.58	          9.51	          7.84	600873	--  	--  	--  	
002329	皇氏集团	-2.33	0.96	乳制品	138	4.08	4.20	0.96	168713	4674	          3.25	6.51	4.36	4.20	-0.053㈢	--  	70697400	  0.67	         21.78亿	广西	4.33	4.19	91136	77576	  1.17	4.19	1091	 -0.51	          5.19	-0.10	         35.18亿	   1934	--  	     87	        0.0017	20190213	20100106	          8.38	--  	--  	53.37	27.01	          2.29	45.10	26.99	6.28	1.80	14.54	11.77	1.65	9.64	16.15	11.56	-0.25	-0.59	-0.21	-0.26	-0.44	6.37	-0.85	-2.23	77065.00	          5877	2.47万	-139.04	6.47	          1.30	-41.36	2.18	4.30	          3.22	0.00	          1.40	          0.76	         50.61	  -1.64㈢	         28.40	         -1.55	         -2.73	002329	20170906	9.50	-55.68	
600191	华资实业	-4.95	0.78	食品	257	5.00	5.19	0.78	176797	1499	          3.65	10.09	5.55	5.18	-0.125㈢	--  	92297976	  0.69	         25.12亿	内蒙	5.48	5.22	106740	70056	  1.52	5.18	479	 -3.76	          4.85	-0.27	         25.12亿	   1954	--  	     90	        0.0019	20190213	19981210	          4.85	--  	--  	24.35	21.11	          0.00	13.28	2.38	1.04	0.40	1.73	6.33	0.07	0.07	0.05	0.07	-0.61	-0.23	-0.61	-0.61	-0.61	2.58	-0.16	0.22	37488.00	          5908	3.06万	-277.96	-96.85	          1.19	-159.35	485.78	5.45	          4.35	0.00	          1.31	          0.53	         86.72	  -2.88㈢	        -37.76	      -1174.30	      -1176.11	600191	20180213	7.03	-26.17	
603866	桃李面包	2.09	0.64	食品	62	51.20	53.84	0.64	9347	163	          0.20	5.69	54.20	53.80	0.983㈢	    41.04	49707776	  1.18	        253.20亿	辽宁	52.65	53.18	3844	5503	  0.70	53.80	2	  3.29	          4.71	1.10	        253.20亿	   1856	--  	      5	        0.0001	20181221	20151222	          4.71	--  	--  	37.82	32.42	          0.00	14.29	20.09	12.69	2.56	5.39	12.27	1.16	4.76	35.24	21.38	5.90	0.21	5.96	4.63	4.63	13.42	5.93	-0.21	5317.00	         22602	121.60万	29.27	19.26	          7.81	42.67	7.18	52.70	          6.89	0.00	          2.61	          2.85	         85.71	  14.27㈢	         39.34	         16.75	         13.13	603866	--  	--  	--  	
603345	安井食品	4.09	0.61	食品	42	34.30	36.10	0.61	51120	1003	          4.16	5.19	36.10	36.10	0.909㈢	    29.78	181102720	  1.87	         44.35亿	福建	34.50	35.43	17969	33151	  0.54	36.09	343	  5.29	          1.23	1.42	         77.99亿	   3070	--  	     17	        0.0014	20181030	20170222	          2.16	--  	--  	40.31	19.74	          0.00	51.03	23.30	12.24	0.99	16.42	5.95	8.77	0.90	29.41	21.67	2.47	0.11	2.56	1.96	1.96	9.63	0.35	0.56	9676.00	         10091	36.43万	41.22	20.59	          4.26	220.02	2.65	34.68	          8.47	8.47	          2.75	          4.46	         48.97	   9.95㈢	         26.30	          8.40	          6.68	603345	20170310	43.90	-16.56	
002840	华统股份	-7.99	0.56	食品	247	19.25	19.69	0.56	96773	1204	          6.60	7.85	20.93	19.68	0.369㈢	    40.03	191657088	  0.72	         28.88亿	浙江	20.50	19.80	56752	40020	  1.42	19.68	91	 -6.18	          1.47	-1.71	         52.74亿	   2893	--  	     33	        0.0023	20190213	20170110	          2.68	--  	--  	19.84	12.46	          1.04	31.92	6.28	7.21	1.64	4.04	4.31	1.56	0.28	36.71	34.74	1.05	-0.01	1.05	1.01	0.99	5.11	0.50	0.43	16075.00	          7023	13.82万	13.97	11.59	          4.23	106.00	1.44	21.39	          4.65	0.00	          1.61	          1.91	         62.84	   7.93㈢	          5.36	          2.87	          2.69	002840	--  	--  	--  	
002604	*ST龙力	-2.67	0.55	食品	7504	1.78	1.82	0.55	129110	1010	          2.54	6.42	1.90	1.82	-0.423㈢	--  	23650122	  0.59	          9.25亿	山东	1.84	1.83	80218	48892	  1.64	1.81	963	 -0.86	          5.08	-0.05	         10.91亿	   1147	--  	    113	        0.0022	20190227	20110728	          6.00	--  	--  	38.11	-6.17	          0.62	114.57	14.66	13.81	1.07	40.47	19.24	2.25	2.12	6.76	5.36	-2.56	0.00	-2.52	-2.53	-2.53	-32.32	2.96	-0.64	51100.00	          8753	1.59万	-317.98	-37.50	         -1.77	3.69	1.62	1.87	         -1.03	0.00	          3.21	         -5.39	        -16.20	--  	         20.69	        -37.84	        -37.52	002604	20170913	10.21	-82.17	
603536	惠发股份	-2.71	0.54	食品	212	9.16	9.33	0.54	27097	532	          4.50	5.11	9.65	9.33	0.271㈣	    34.48	25307864	  0.69	          5.62亿	山东	9.63	9.34	16384	10712	  1.53	9.32	108	 -1.51	          0.60	-0.26	         15.67亿	    994	--  	     27	        0.0045	20190313	20170613	          1.68	--  	--  	11.55	6.60	         -0.01	42.97	5.23	4.51	0.88	4.28	1.78	1.50	0.00	10.42	8.06	0.51	0.00	0.53	0.45	0.45	2.89	-0.01	0.16	12000.00	          5021	4.68万	-24.71	11.00	          2.38	-2374.55	1.50	9.59	          3.93	0.00	          1.06	          1.72	         57.08	   6.89㈣	         22.62	          4.85	          4.36	603536	20180518	15.61	-40.23	
